step,Mff,Mr,Mb,Mrho,d_fc
200,3.686402851139e+04,1.843198373886e+04,1.843198884690e+04,3.686402800477e+04,5.592563021128e-02
400,3.686403197256e+04,1.843198205321e+04,1.843198188275e+04,3.686403258371e+04,6.803659255820e-02
600,3.686403059514e+04,1.843197534684e+04,1.843197670498e+04,3.686403080612e+04,7.854332236093e-02
800,3.686401736095e+04,1.843196881254e+04,1.843197505387e+04,3.686401694506e+04,7.349454103314e-02
1000,3.686401483045e+04,1.843196260843e+04,1.843196942500e+04,3.686401476991e+04,8.279701348511e-02
1200,3.686401217505e+04,1.843196102637e+04,1.843196769987e+04,3.686401244891e+04,8.344880811637e-02
1400,3.686403083210e+04,1.843196238563e+04,1.843196603550e+04,3.686403159195e+04,1.024109754580e-01
1600,3.686401330164e+04,1.843196089678e+04,1.843196382703e+04,3.686401218998e+04,8.857783485655e-02
1800,3.686400771225e+04,1.843195845818e+04,1.843196057133e+04,3.686400741273e+04,8.868274329143e-02
2000,3.686400922766e+04,1.843195633207e+04,1.843195637727e+04,3.686400940639e+04,9.651831240262e-02
2200,3.686400492340e+04,1.843195127102e+04,1.843194809670e+04,3.686400572753e+04,1.055556807623e-01
2400,3.686403047116e+04,1.843193642795e+04,1.843193191060e+04,3.686403052968e+04,1.621326025015e-01
2600,3.686403468215e+04,1.843191944042e+04,1.843191550839e+04,3.686403458542e+04,1.997333418076e-01
2800,3.686403429128e+04,1.843190615612e+04,1.843190063947e+04,3.686403424907e+04,2.274956901056e-01
3000,3.686404101690e+04,1.843189349227e+04,1.843188409789e+04,3.686404048204e+04,2.634267450012e-01
3200,3.686404563590e+04,1.843188462209e+04,1.843187047997e+04,3.686404517531e+04,2.905338455967e-01
3400,3.686405702891e+04,1.843187306191e+04,1.843185429685e+04,3.686405666101e+04,3.296701500440e-01
3600,3.686407677946e+04,1.843187043971e+04,1.843185014857e+04,3.686407700211e+04,3.561911727666e-01
3800,3.686406923767e+04,1.843187395788e+04,1.843183583915e+04,3.686406930405e+04,3.594406387201e-01
