step,Mff,Mr,Mb,Mrho,d_fc
200,3.686402438258e+04,1.843199831379e+04,1.843199846012e+04,3.686402419090e+04,2.760866497556e-02
400,3.686403076951e+04,1.843199830029e+04,1.843199829955e+04,3.686403066289e+04,3.416967351586e-02
600,3.686403011185e+04,1.843199850241e+04,1.843199819751e+04,3.686403072679e+04,3.341193058441e-02
800,3.686402283151e+04,1.843199841374e+04,1.843199830610e+04,3.686402288312e+04,2.611167343275e-02
1000,3.686402257216e+04,1.843199846821e+04,1.843199813211e+04,3.686402229214e+04,2.597183960461e-02
1200,3.686401986108e+04,1.843199815821e+04,1.843199800080e+04,3.686402054006e+04,2.370207971398e-02
1400,3.686402586948e+04,1.843199807318e+04,1.843199786267e+04,3.686402599549e+04,2.993363011410e-02
1600,3.686401137308e+04,1.843199784286e+04,1.843199790014e+04,3.686401044333e+04,1.563008332232e-02
1800,3.686401253249e+04,1.843199771936e+04,1.843199773215e+04,3.686401182383e+04,1.708097563096e-02
2000,3.686400670556e+04,1.843199746267e+04,1.843199751322e+04,3.686400715244e+04,1.172966515151e-02
2200,3.686400354365e+04,1.843199639411e+04,1.843199697039e+04,3.686400351465e+04,1.017915373086e-02
2400,3.686402224623e+04,1.843199560938e+04,1.843199622675e+04,3.686402333736e+04,3.041010084053e-02
2600,3.686403250104e+04,1.843199502907e+04,1.843199587822e+04,3.686403246546e+04,4.159375074596e-02
2800,3.686404058690e+04,1.843199441948e+04,1.843199525879e+04,3.686404012716e+04,5.090862970610e-02
3000,3.686404921542e+04,1.843199377517e+04,1.843199468060e+04,3.686404921860e+04,6.075966008939e-02
3200,3.686403690041e+04,1.843199304150e+04,1.843199401880e+04,3.686403740138e+04,4.984011008492e-02
3400,3.686402846350e+04,1.843199238295e+04,1.843199346831e+04,3.686402823830e+04,4.261225006485e-02
3600,3.686403558097e+04,1.843199166931e+04,1.843199295828e+04,3.686403477269e+04,5.095337086823e-02
3800,3.686402677166e+04,1.843199165043e+04,1.843199283857e+04,3.686402709699e+04,4.228265438724e-02
4000,3.686403090988e+04,1.843199111298e+04,1.843199248869e+04,3.686403047520e+04,4.730821755220e-02
4200,3.686405297181e+04,1.843199068692e+04,1.843199186256e+04,3.686405340350e+04,7.042233646280e-02
4400,3.686404507944e+04,1.843199012079e+04,1.843199140577e+04,3.686404519022e+04,6.355287129918e-02
4600,3.686404724541e+04,1.843198944864e+04,1.843199108684e+04,3.686404726112e+04,6.670993262014e-02
4800,3.686406765025e+04,1.843198860693e+04,1.843199013520e+04,3.686406785208e+04,8.890811747551e-02
5000,3.686408001537e+04,1.843198818551e+04,1.843198931867e+04,3.686407998264e+04,1.025111932795e-01
5200,3.686407713417e+04,1.843198772386e+04,1.843198869944e+04,3.686407695723e+04,1.007108738013e-01
5400,3.686406840399e+04,1.843198675305e+04,1.843198791539e+04,3.686406810278e+04,9.373555088314e-02
5600,3.686406447912e+04,1.843198590384e+04,1.843198769182e+04,3.686406519920e+04,9.088345883356e-02
5800,3.686406945560e+04,1.843198521779e+04,1.843198698897e+04,3.686406908363e+04,9.724883482340e-02
6000,3.686407992360e+04,1.843198469102e+04,1.843198655012e+04,3.686408017397e+04,1.086824556987e-01
6200,3.686409767260e+04,1.843198428202e+04,1.843198636332e+04,3.686409788662e+04,1.270272588190e-01
6400,3.686409301959e+04,1.843198382874e+04,1.843198588907e+04,3.686409305704e+04,1.233017792838e-01
6600,3.686408496214e+04,1.843198342759e+04,1.843198530234e+04,3.686408472228e+04,1.162322043165e-01
6800,3.686408780667e+04,1.843198273985e+04,1.843198475229e+04,3.686408786476e+04,1.203145341169e-01
7000,3.686409497709e+04,1.843198229488e+04,1.843198445485e+04,3.686409469324e+04,1.282273624420e-01
7200,3.686409096207e+04,1.843198192364e+04,1.843198410944e+04,3.686409090573e+04,1.249289810366e-01
7400,3.686410063740e+04,1.843198149087e+04,1.843198360091e+04,3.686410078192e+04,1.355456172823e-01
7600,3.686409316541e+04,1.843198090188e+04,1.843198315921e+04,3.686409310144e+04,1.291043308447e-01
7800,3.686410776354e+04,1.843198057738e+04,1.843198290463e+04,3.686410736871e+04,1.442815303490e-01
8000,3.686412364785e+04,1.843198031773e+04,1.843198263034e+04,3.686412372220e+04,1.606997748349e-01
8200,3.686411880288e+04,1.843198018067e+04,1.843198264701e+04,3.686411962968e+04,1.559751959539e-01
8400,3.686412715989e+04,1.843197964087e+04,1.843198213359e+04,3.686412679869e+04,1.653854330325e-01
8600,3.686412248167e+04,1.843197902379e+04,1.843198182058e+04,3.686412265241e+04,1.616373047036e-01
8800,3.686411723501e+04,1.843197847792e+04,1.843198116593e+04,3.686411722362e+04,1.575911667242e-01
9000,3.686411188158e+04,1.843197814256e+04,1.843198063908e+04,3.686411164165e+04,1.530999366587e-01
9200,3.686410161804e+04,1.843197783498e+04,1.843198029084e+04,3.686410183400e+04,1.434922134031e-01
9400,3.686410521217e+04,1.843197736496e+04,1.843197996316e+04,3.686410411757e+04,1.478840490417e-01
9600,3.686410833237e+04,1.843197703520e+04,1.843197986913e+04,3.686410881883e+04,1.514280301162e-01
9800,3.686410386341e+04,1.843197665572e+04,1.843197947034e+04,3.686410407782e+04,1.477373538401e-01
