step,Mff,Mr,Mb,Mrho,d_fc
200,3.686402671490e+04,1.843200345813e+04,1.843200198376e+04,3.686402645659e+04,2.127301112705e-02
400,3.686402924340e+04,1.843199540364e+04,1.843199623352e+04,3.686402943587e+04,3.760624754432e-02
600,3.686403035161e+04,1.843199096635e+04,1.843199459027e+04,3.686403052509e+04,4.479499129229e-02
800,3.686402035679e+04,1.843199269072e+04,1.843199422934e+04,3.686401983750e+04,3.343673597192e-02
1000,3.686402245859e+04,1.843199381303e+04,1.843199945366e+04,3.686402203554e+04,2.919189848035e-02
1200,3.686403142743e+04,1.843202704230e+04,1.843203781827e+04,3.686403148383e+04,-3.343313246660e-02
1400,3.686404434196e+04,1.843205544153e+04,1.843206573357e+04,3.686404481810e+04,-7.683313788584e-02
1600,3.686404576233e+04,1.843207822256e+04,1.843208684613e+04,3.686404581445e+04,-1.193063603278e-01
1800,3.686405031233e+04,1.843209434586e+04,1.843210582871e+04,3.686405061185e+04,-1.498622457038e-01
2000,3.686405217126e+04,1.843211303518e+04,1.843212165165e+04,3.686405241221e+04,-1.825155715305e-01
2200,3.686406357875e+04,1.843212414917e+04,1.843213107600e+04,3.686406257564e+04,-1.916464244750e-01
2400,3.686408777054e+04,1.843214015097e+04,1.843215000496e+04,3.686408847463e+04,-2.023853946303e-01
2600,3.686409167584e+04,1.843215023142e+04,1.843215582198e+04,3.686409256184e+04,-2.143775630611e-01
2800,3.686410898260e+04,1.843215990167e+04,1.843216195988e+04,3.686410873467e+04,-2.128789613562e-01
3000,3.686411726055e+04,1.843216372499e+04,1.843216632743e+04,3.686411655748e+04,-2.127918736078e-01
3200,3.686411273780e+04,1.843216341718e+04,1.843216542781e+04,3.686411353862e+04,-2.161071821611e-01
3400,3.686411432859e+04,1.843216087758e+04,1.843217433423e+04,3.686411360413e+04,-2.208832240576e-01
3600,3.686411289055e+04,1.843216029765e+04,1.843218197961e+04,3.686411240268e+04,-2.293867066910e-01
3800,3.686412186168e+04,1.843215767685e+04,1.843219043966e+04,3.686412236047e+04,-2.262548332656e-01
