step,Mff,Mr,Mb,Mrho,d_fc
200,2.880001126104e+04,1.920001334945e+04,9.600002443695e+03,2.880001130676e+04,-4.532103506790e-03
400,2.880001139443e+04,1.920001729874e+04,9.600004649935e+03,2.880001144910e+04,-1.055424477090e-02
600,2.880001159674e+04,1.920001981986e+04,9.600008079837e+03,2.880001155639e+04,-1.630295498035e-02
800,2.880001189797e+04,1.920002345112e+04,9.600011261482e+03,2.880001184070e+04,-2.281463518193e-02
1000,2.880001199459e+04,1.920002715494e+04,9.600013368582e+03,2.880001197910e+04,-2.852893048112e-02
1200,2.880001138309e+04,1.920003192773e+04,9.600016324465e+03,2.880001141191e+04,-3.686910460601e-02
1400,2.880001101219e+04,1.920003632358e+04,9.600019320483e+03,2.880001106715e+04,-4.463186912471e-02
1600,2.880001061286e+04,1.920003929726e+04,9.600021673806e+03,2.880001064444e+04,-5.035820687772e-02
1800,2.880001016383e+04,1.920004368176e+04,9.600024503838e+03,2.880001012123e+04,-5.802177446458e-02
2000,2.880001058732e+04,1.920004698082e+04,9.600027159496e+03,2.880001063120e+04,-6.355299927054e-02
2200,2.880001105545e+04,1.920005145706e+04,9.600029414586e+03,2.880001103640e+04,-6.981619751969e-02
2400,2.880001157187e+04,1.920005479883e+04,9.600032529851e+03,2.880001160574e+04,-7.575681206436e-02
2600,2.880001150594e+04,1.920005855112e+04,9.600035627644e+03,2.880001158249e+04,-8.267282731686e-02
2800,2.880001106218e+04,1.920006272822e+04,9.600038148177e+03,2.880001107538e+04,-8.981421946737e-02
3000,2.880001099263e+04,1.920006624357e+04,9.600040643409e+03,2.880001106036e+04,-9.589435268572e-02
3200,2.880001082726e+04,1.920006949782e+04,9.600043130881e+03,2.880001078320e+04,-1.018014381316e-01
3400,2.880001141961e+04,1.920007340940e+04,9.600046086290e+03,2.880001139939e+04,-1.080760848236e-01
3600,2.880001015806e+04,1.920007610436e+04,9.600048715608e+03,2.880001018131e+04,-1.146619078390e-01
3800,2.880001037514e+04,1.920007917655e+04,9.600051690241e+03,2.880001036513e+04,-1.204916501993e-01
4000,2.880000965412e+04,1.920008194684e+04,9.600054974135e+03,2.880000964165e+04,-1.272668587699e-01
4200,2.880000933859e+04,1.920008502076e+04,9.600057738737e+03,2.880000935447e+04,-1.334209010329e-01
4400,2.880000908797e+04,1.920008882413e+04,9.600059909805e+03,2.880000902760e+04,-1.396459619027e-01
4600,2.880000907063e+04,1.920009338729e+04,9.600060845053e+03,2.880000909984e+04,-1.451617162202e-01
4800,2.880000916681e+04,1.920009790166e+04,9.600061217318e+03,2.880000910306e+04,-1.499521717233e-01
5000,2.880001041092e+04,1.920010234371e+04,9.600061449834e+03,2.880001039124e+04,-1.533826226168e-01
5200,2.880001019103e+04,1.920010807133e+04,9.600061336660e+03,2.880001015019e+04,-1.592169601900e-01
5400,2.880001095735e+04,1.920011509361e+04,9.600060375107e+03,2.880001103210e+04,-1.645113683498e-01
5600,2.880001243975e+04,1.920012191878e+04,9.600059173221e+03,2.880001247835e+04,-1.686522552300e-01
5800,2.880001125721e+04,1.920012817753e+04,9.600057285146e+03,2.880001122880e+04,-1.742054648203e-01
6000,2.880001210544e+04,1.920013584296e+04,9.600054248658e+03,2.880001206851e+04,-1.779861861141e-01
6200,2.880001353803e+04,1.920014335575e+04,9.600051202423e+03,2.880001358199e+04,-1.810201433200e-01
6400,2.880001563338e+04,1.920015086447e+04,9.600047733236e+03,2.880001563835e+04,-1.829643252240e-01
6600,2.880001615218e+04,1.920015978987e+04,9.600043663852e+03,2.880001605749e+04,-1.873015389374e-01
6800,2.880001656400e+04,1.920016953108e+04,9.600039411549e+03,2.880001649344e+04,-1.923786236785e-01
7000,2.880001759205e+04,1.920017882169e+04,9.600035044873e+03,2.880001753664e+04,-1.962745169658e-01
7200,2.880002037429e+04,1.920018969745e+04,9.600029519870e+03,2.880002032077e+04,-1.988430297461e-01
7400,2.880002597613e+04,1.920019951780e+04,9.600023737288e+03,2.880002600026e+04,-1.972789606189e-01
7600,2.880003247586e+04,1.920021249884e+04,9.600017337974e+03,2.880003248405e+04,-1.973609536526e-01
7800,2.880003343598e+04,1.920022516734e+04,9.600010390485e+03,2.880003342211e+04,-2.021218390873e-01
8000,2.880003707305e+04,1.920023796118e+04,9.600004503833e+03,2.880003707671e+04,-2.053919670780e-01
8200,2.880003751665e+04,1.920025221356e+04,9.599997665335e+03,2.880003747368e+04,-2.123622459731e-01
8400,2.880003818739e+04,1.920026432083e+04,9.599990939114e+03,2.880003817463e+04,-2.170725483593e-01
8600,2.880003942508e+04,1.920027679943e+04,9.599983829567e+03,2.880003937089e+04,-2.212039230708e-01
8800,2.880003452014e+04,1.920029109135e+04,9.599977139905e+03,2.880003446209e+04,-2.337111143825e-01
9000,2.880003205226e+04,1.920030610431e+04,9.599970885705e+03,2.880003200054e+04,-2.449377546054e-01
9200,2.880003151264e+04,1.920032086720e+04,9.599964406483e+03,2.880003149593e+04,-2.537610499185e-01
9400,2.880003279331e+04,1.920033527246e+04,9.599958021305e+03,2.880003277731e+04,-2.605004541365e-01
9600,2.880003327661e+04,1.920034805111e+04,9.599950871238e+03,2.880003331769e+04,-2.656457315497e-01
9800,2.880003283744e+04,1.920036035090e+04,9.599944777102e+03,2.880003286064e+04,-2.722905709743e-01
10000,2.880003093859e+04,1.920037286359e+04,9.599937999293e+03,2.880003092945e+04,-2.799242993133e-01
10200,2.880002894240e+04,1.920038589921e+04,9.599932443448e+03,2.880002895749e+04,-2.894002556350e-01
10400,2.880002838721e+04,1.920039863947e+04,9.599925361062e+03,2.880002842641e+04,-2.956133135922e-01
10600,2.880002876357e+04,1.920041280881e+04,9.599920030060e+03,2.880002875364e+04,-3.040752917805e-01
10800,2.880002900930e+04,1.920042386808e+04,9.599915150718e+03,2.880002899432e+04,-3.100094980691e-01
11000,2.880002868001e+04,1.920043581756e+04,9.599909499495e+03,2.880002867854e+04,-3.166370433664e-01
11200,2.880002957182e+04,1.920044554831e+04,9.599905503850e+03,2.880002955115e+04,-3.214803403225e-01
11400,2.880002944084e+04,1.920045399377e+04,9.599901582802e+03,2.880002944672e+04,-3.261357329393e-01
11600,2.880002927351e+04,1.920046174670e+04,9.599897596659e+03,2.880002921855e+04,-3.300698488383e-01
11800,2.880003041091e+04,1.920047001863e+04,9.599895081126e+03,2.880003041732e+04,-3.346888437954e-01
12000,2.880003181536e+04,1.920047933620e+04,9.599891505029e+03,2.880003180563e+04,-3.390258714717e-01
12200,2.880003127301e+04,1.920048662561e+04,9.599888677443e+03,2.880003123844e+04,-3.440300399161e-01
12400,2.880003246424e+04,1.920049288255e+04,9.599887483062e+03,2.880003248191e+04,-3.479013743890e-01
12600,2.880003526171e+04,1.920049754353e+04,9.599885979395e+03,2.880003519523e+04,-3.482612205444e-01
12800,2.880003628454e+04,1.920050517137e+04,9.599883787745e+03,2.880003621697e+04,-3.526745721647e-01
13000,2.880003830723e+04,1.920051233996e+04,9.599882572392e+03,2.880003830802e+04,-3.566051238304e-01
13200,2.880003934008e+04,1.920051910756e+04,9.599881359876e+03,2.880003932762e+04,-3.611273550414e-01
13400,2.880004249885e+04,1.920052661637e+04,9.599880056476e+03,2.880004247832e+04,-3.641739912509e-01
13600,2.880004305301e+04,1.920053340360e+04,9.599879267507e+03,2.880004310203e+04,-3.696180958123e-01
13800,2.880004627744e+04,1.920054259195e+04,9.599877946447e+03,2.880004628849e+04,-3.742609608162e-01
14000,2.880004875248e+04,1.920054882573e+04,9.599874485153e+03,2.880004873252e+04,-3.745584041317e-01
14200,2.880005076027e+04,1.920055641183e+04,9.599872097551e+03,2.880005073631e+04,-3.777491167129e-01
14400,2.880005079278e+04,1.920056450032e+04,9.599869940812e+03,2.880005074739e+04,-3.836483534942e-01
14600,2.880005319663e+04,1.920057243364e+04,9.599868843062e+03,2.880005322218e+04,-3.880800749175e-01
14800,2.880005317687e+04,1.920058133286e+04,9.599866268939e+03,2.880005317211e+04,-3.944249221531e-01
15000,2.880005325026e+04,1.920058715650e+04,9.599863539496e+03,2.880005327332e+04,-3.974457355725e-01
15200,2.880005264997e+04,1.920059407677e+04,9.599861595983e+03,2.880005263424e+04,-4.030227788135e-01
15400,2.880005205685e+04,1.920060198200e+04,9.599859470323e+03,2.880005207205e+04,-4.093954774253e-01
15600,2.880005308942e+04,1.920060788920e+04,9.599858351074e+03,2.880005309165e+04,-4.131508536848e-01
15800,2.880005254294e+04,1.920061459368e+04,9.599858200445e+03,2.880005260170e+04,-4.202511763178e-01
16000,2.880005136300e+04,1.920062221106e+04,9.599858242122e+03,2.880005139399e+04,-4.290901877030e-01
16200,2.880005108552e+04,1.920062909036e+04,9.599856931517e+03,2.880005109537e+04,-4.349363600122e-01
16400,2.880005197696e+04,1.920063677863e+04,9.599858885140e+03,2.880005203450e+04,-4.436868025914e-01
16600,2.880005161460e+04,1.920064292695e+04,9.599858558470e+03,2.880005166328e+04,-4.498708213614e-01
16800,2.880005235759e+04,1.920064921035e+04,9.599856740594e+03,2.880005232167e+04,-4.535933508741e-01
17000,2.880005179285e+04,1.920065431175e+04,9.599856714620e+03,2.880005179346e+04,-4.592335207890e-01
17200,2.880005018956e+04,1.920065804635e+04,9.599857010904e+03,2.880005016625e+04,-4.648676905417e-01
17400,2.880004812104e+04,1.920066192209e+04,9.599855920561e+03,2.880004815531e+04,-4.697216082659e-01
17600,2.880004756743e+04,1.920066535503e+04,9.599856376320e+03,2.880004759812e+04,-4.741639155418e-01
17800,2.880004789689e+04,1.920067062493e+04,9.599855968445e+03,2.880004791927e+04,-4.786964844843e-01
18000,2.880004757597e+04,1.920067527312e+04,9.599852684655e+03,2.880004760242e+04,-4.803817973916e-01
18200,2.880004744591e+04,1.920067872775e+04,9.599851157725e+03,2.880004743576e+04,-4.824395690048e-01
