step,Mff,Mr,Mb,Mrho,d_fc
200,2.880001147761e+04,1.920000953508e+04,9.600001806163e+03,2.880001146990e+04,1.363637093164e-04
400,2.880001204131e+04,1.920000657372e+04,9.599999722201e+03,2.880001205993e+04,5.745387750721e-03
600,2.880001265092e+04,1.920000297574e+04,9.599998409368e+03,2.880001265383e+04,1.126581013523e-02
800,2.880001260214e+04,1.919999918413e+04,9.599996791134e+03,2.880001262802e+04,1.662687756834e-02
1000,2.880001278339e+04,1.919999543485e+04,9.599994775426e+03,2.880001277125e+04,2.257310657296e-02
1200,2.880001240844e+04,1.919999163527e+04,9.599992788030e+03,2.880001242340e+04,2.798514012284e-02
1400,2.880001232408e+04,1.919998765724e+04,9.599990636709e+03,2.880001233703e+04,3.403013378920e-02
1600,2.880001249951e+04,1.919998310872e+04,9.599988404464e+03,2.880001251394e+04,4.098632319074e-02
1800,2.880001244871e+04,1.919997854720e+04,9.599986364624e+03,2.880001246274e+04,4.753688321034e-02
2000,2.880001254232e+04,1.919997378749e+04,9.599984495593e+03,2.880001254708e+04,5.425923214716e-02
2200,2.880001271854e+04,1.919996887120e+04,9.599982661531e+03,2.880001271623e+04,6.118580895782e-02
2400,2.880001274871e+04,1.919996384721e+04,9.599980672186e+03,2.880001277417e+04,6.822931011993e-02
2600,2.880001302777e+04,1.919995906123e+04,9.599978766828e+03,2.880001303345e+04,7.519970784961e-02
2800,2.880001275795e+04,1.919995429644e+04,9.599976786612e+03,2.880001275414e+04,8.167489633342e-02
3000,2.880001213705e+04,1.919994941021e+04,9.599974515271e+03,2.880001215291e+04,8.821157217972e-02
3200,2.880001153166e+04,1.919994418532e+04,9.599972447581e+03,2.880001154631e+04,9.489876293810e-02
3400,2.880001158096e+04,1.919993920891e+04,9.599970140730e+03,2.880001155764e+04,1.022313200519e-01
3600,2.880001169101e+04,1.919993386164e+04,9.599967866774e+03,2.880001169074e+04,1.099626022406e-01
3800,2.880001179015e+04,1.919992907151e+04,9.599965780049e+03,2.880001179671e+04,1.169385897629e-01
4000,2.880001170662e+04,1.919992424632e+04,9.599963580664e+03,2.880001169604e+04,1.238796415146e-01
4200,2.880001163233e+04,1.919991955961e+04,9.599961586984e+03,2.880001164562e+04,1.304857410396e-01
4400,2.880001194486e+04,1.919991518705e+04,9.599959440764e+03,2.880001196158e+04,1.373170462284e-01
4600,2.880001212910e+04,1.919991105748e+04,9.599957061737e+03,2.880001213312e+04,1.440098875646e-01
4800,2.880001157692e+04,1.919990736943e+04,9.599954666618e+03,2.880001157796e+04,1.495408790106e-01
5000,2.880001142252e+04,1.919990288917e+04,9.599952194085e+03,2.880001142371e+04,1.563392675271e-01
5200,2.880001092498e+04,1.919989947076e+04,9.599949534459e+03,2.880001092529e+04,1.619197558521e-01
5400,2.880001077650e+04,1.919989623091e+04,9.599946964944e+03,2.880001077151e+04,1.675806441708e-01
5600,2.880001087620e+04,1.919989324922e+04,9.599944250445e+03,2.880001087606e+04,1.733765312474e-01
5800,2.880001101336e+04,1.919989017099e+04,9.599941505964e+03,2.880001100492e+04,1.793364118421e-01
6000,2.880001089710e+04,1.919988718092e+04,9.599938514152e+03,2.880001090473e+04,1.852020305814e-01
6200,2.880001070217e+04,1.919988425158e+04,9.599935513303e+03,2.880001067764e+04,1.909372910450e-01
6400,2.880001042554e+04,1.919988131481e+04,9.599932395319e+03,2.880001041919e+04,1.967154110826e-01
6600,2.880001222033e+04,1.919987884063e+04,9.599929254301e+03,2.880001220453e+04,2.041254017749e-01
6800,2.880001271181e+04,1.919987605745e+04,9.599926218806e+03,2.880001269579e+04,2.104355576994e-01
7000,2.880001435873e+04,1.919987310485e+04,9.599923041633e+03,2.880001439059e+04,2.182122468621e-01
7200,2.880001713600e+04,1.919986969003e+04,9.599919602180e+03,2.880001713699e+04,2.278437922905e-01
7400,2.880001737427e+04,1.919986677600e+04,9.599915933952e+03,2.880001738352e+04,2.346643154124e-01
7600,2.880001824636e+04,1.919986387625e+04,9.599912324079e+03,2.880001824713e+04,2.420460283938e-01
7800,2.880001918988e+04,1.919986130956e+04,9.599909197797e+03,2.880001919693e+04,2.486825229789e-01
8000,2.880001979634e+04,1.919985844853e+04,9.599905560734e+03,2.880001980472e+04,2.557870844503e-01
8200,2.880001937157e+04,1.919985585808e+04,9.599901857215e+03,2.880001935196e+04,2.616562719522e-01
8400,2.880001853219e+04,1.919985345300e+04,9.599898321273e+03,2.880001850587e+04,2.667579196423e-01
8600,2.880001713534e+04,1.919985101458e+04,9.599894825531e+03,2.880001711655e+04,2.712952206457e-01
8800,2.880001554805e+04,1.919984825437e+04,9.599891601552e+03,2.880001553804e+04,2.756921334822e-01
9000,2.880001544589e+04,1.919984540589e+04,9.599888542726e+03,2.880001543695e+04,2.814972774904e-01
9200,2.880001516161e+04,1.919984312959e+04,9.599885424267e+03,2.880001516503e+04,2.866077518811e-01
9400,2.880001635532e+04,1.919984108454e+04,9.599882394970e+03,2.880001635283e+04,2.928758062717e-01
9600,2.880001655546e+04,1.919983920251e+04,9.599879314935e+03,2.880001654297e+04,2.980380172448e-01
9800,2.880001653051e+04,1.919983667592e+04,9.599876199156e+03,2.880001650470e+04,3.036554292230e-01
10000,2.880001457909e+04,1.919983438885e+04,9.599873367715e+03,2.880001458615e+04,3.068225245843e-01
10200,2.880001439385e+04,1.919983196234e+04,9.599870734384e+03,2.880001438242e+04,3.116971292620e-01
10400,2.880001432077e+04,1.919982968620e+04,9.599868210269e+03,2.880001429170e+04,3.164242972598e-01
10600,2.880001300529e+04,1.919982718376e+04,9.599865492764e+03,2.880001298964e+04,3.203287579254e-01
10800,2.880001185524e+04,1.919982448600e+04,9.599862802002e+03,2.880001185298e+04,3.245672325920e-01
11000,2.880001063905e+04,1.919982176103e+04,9.599859967642e+03,2.880001063609e+04,3.289103778661e-01
11200,2.880000790802e+04,1.919981895152e+04,9.599857046324e+03,2.880000788039e+04,3.319101797515e-01
11400,2.880000721217e+04,1.919981598076e+04,9.599854387009e+03,2.880000719875e+04,3.368443990403e-01
11600,2.880000689734e+04,1.919981336558e+04,9.599851879274e+03,2.880000689757e+04,3.416524821077e-01
11800,2.880000672168e+04,1.919981052652e+04,9.599849565663e+03,2.880000670707e+04,3.466295014496e-01
12000,2.880000560081e+04,1.919980840958e+04,9.599847374754e+03,2.880000560409e+04,3.498164791472e-01
12200,2.880000410379e+04,1.919980542697e+04,9.599844944028e+03,2.880000413567e+04,3.537327865633e-01
12400,2.880000352845e+04,1.919980254724e+04,9.599842830865e+03,2.880000351828e+04,3.581503428759e-01
