class,quantity,n,mean,std,frac_pos,max_abs
cc==0,sum_R_b,364800,-5.554849479576e-09,6.763020926836e-08,4.789309210526e-01,3.408640623093e-07
cc==0,sum_R_r,364800,3.154487313700e-09,6.259871233881e-08,4.946710526316e-01,3.185123205185e-07
cc==0,sum_dacc_b,364800,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,sum_dacc_r,364800,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc>0,sum_R_b,5395200,-7.480257253808e-10,5.138920742324e-08,4.818772241993e-01,3.390014171600e-07
cc>0,sum_R_r,5395200,1.309417675886e-09,7.251519717649e-08,5.225556049822e-01,3.371387720108e-07
cc>0,sum_dacc_b,5395200,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc>0,sum_dacc_r,5395200,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
mixed,sum_R_b,501600,-4.025660867337e-10,5.596813087172e-08,5.066507177033e-01,2.942979335785e-07
mixed,sum_R_r,501600,4.425744289961e-10,7.147106822747e-08,5.050956937799e-01,3.185123205185e-07
mixed,sum_dacc_b,501600,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
mixed,sum_dacc_r,501600,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
non_wall,sum_R_b,5380800,-7.308184660929e-10,5.135774597727e-08,4.819747992864e-01,3.390014171600e-07
non_wall,sum_R_r,5380800,1.332313868207e-09,7.254017493402e-08,5.227731935772e-01,3.371387720108e-07
non_wall,sum_dacc_b,5380800,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
non_wall,sum_dacc_r,5380800,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
pure,sum_R_b,5258400,-1.114451227487e-09,5.224477817444e-08,4.793096759471e-01,3.408640623093e-07
pure,sum_R_r,5258400,1.520107234785e-09,7.197195879764e-08,5.222866271109e-01,3.371387720108e-07
pure,sum_dacc_b,5258400,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
pure,sum_dacc_r,5258400,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
wall_adj,sum_R_b,379200,-5.616480699818e-09,6.741537027051e-08,4.776582278481e-01,3.408640623093e-07
wall_adj,sum_R_r,379200,2.759527307308e-09,6.260376948647e-08,4.926424050633e-01,3.185123205185e-07
wall_adj,sum_dacc_b,379200,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
wall_adj,sum_dacc_r,379200,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
