iter,dMr,dMb,sumR_r,sumR_b,sumdacc_r,sumdacc_b,resid_r,resid_b
0,2.571177901700e-07,-3.265886334702e-07,-2.259111875942e-12,-1.686777945103e-12,-5.873996289916e-14,1.459645460598e-14,2.571201080219e-07,-3.265869612887e-07
1,2.014512574533e-06,-7.280948921107e-06,-2.178640836183e-12,-1.564446041788e-12,-3.005064526753e-14,-2.651867034341e-15,2.014514783224e-06,-7.280947354009e-06
2,1.070617145160e-06,-1.420488842996e-06,-2.120376629138e-12,-1.628421254448e-12,-5.109413868561e-14,1.065949967725e-14,1.070619316631e-06,-1.420487225234e-06
3,-3.427521733101e-07,1.725336915115e-06,-2.145984449166e-12,-1.650939806616e-12,-3.415009838499e-15,-1.666600342974e-14,-3.427500239107e-07,1.725338582721e-06
4,-1.553646507091e-05,6.435922841774e-06,-2.176203071125e-12,-1.661664864950e-12,6.746034666213e-15,5.153212925824e-15,-1.553646290145e-05,6.435924498286e-06
5,-1.187700399896e-05,-1.595424691914e-06,-2.197057935388e-12,-1.494479954828e-12,-3.445038172919e-14,5.076603877942e-15,-1.187700176745e-05,-1.595423202510e-06
6,1.564470585436e-05,-3.603654477047e-06,-2.324172787058e-12,-1.548755920264e-12,3.108275491376e-15,-3.644827664781e-14,1.564470817542e-05,-3.603652891843e-06
7,2.527961987653e-05,-8.123810403049e-06,-2.191869355872e-12,-1.492404746130e-12,-8.705533581337e-15,1.271965659969e-15,2.527962207710e-05,-8.123808911916e-06
8,-1.226659878739e-05,2.744978701230e-06,-2.397034929111e-12,-1.643355414314e-12,-9.693187550362e-15,-3.503697576209e-15,-1.226659638066e-05,2.744980348089e-06
9,1.295353285968e-05,3.760451363632e-06,-2.186543705673e-12,-1.626770170394e-12,-2.405240178034e-14,4.348921599901e-14,1.295353507028e-05,3.760452946913e-06
10,-2.535707608331e-06,4.375897333375e-06,-2.262190795812e-12,-1.667829733370e-12,-2.971840167617e-14,-2.641136143339e-14,-2.535705316422e-06,4.375899027616e-06
11,8.594797691330e-06,4.306451955927e-06,-2.176617583427e-12,-1.669391233526e-12,2.335684881724e-14,1.905976766659e-14,8.594799844591e-06,4.306453606258e-06
12,2.337653495488e-05,2.768556441879e-07,-2.344383654606e-12,-1.612608270795e-12,-3.766005722875e-14,-1.871707677086e-14,2.337653733692e-05,2.768572755132e-07
