class,quantity,n,mean,std,frac_pos,max_abs
cc==0,sum_R_b,364800,8.863216776418e-09,1.404290516085e-08,6.395614035088e-01,7.450580596924e-08
cc==0,sum_R_r,364800,4.640319901271e-09,1.268744858917e-08,3.910498903509e-01,8.381903171539e-08
cc==0,sum_dacc_b,364800,-5.161808068587e-10,4.935941701065e-08,4.909758771930e-01,3.110617399216e-07
cc==0,sum_dacc_r,364800,-2.437649561005e-10,4.684958721218e-08,4.946820175439e-01,3.147870302200e-07
cc>0,sum_R_b,5395200,-1.170914024484e-10,4.257080349536e-08,4.789453588375e-01,3.334134817123e-07
cc>0,sum_R_r,5395200,-5.465144651410e-11,6.318417699495e-08,5.137177491103e-01,3.557652235031e-07
cc>0,sum_dacc_b,5395200,-5.469303081256e-10,3.956824883936e-08,4.976505041518e-01,3.594905138016e-07
cc>0,sum_dacc_r,5395200,-7.180566727153e-10,6.191195177196e-08,4.939800192764e-01,3.818422555923e-07
mixed,sum_R_b,493200,8.318938874903e-10,4.296273031838e-08,5.631163828062e-01,2.924352884293e-07
mixed,sum_R_r,493200,2.603720785218e-09,5.101322239350e-08,5.498722627737e-01,3.036111593246e-07
mixed,sum_dacc_b,493200,-9.687864628332e-10,4.204510865658e-08,4.924006488240e-01,3.091990947723e-07
mixed,sum_dacc_r,493200,-5.707711946046e-10,5.259447810504e-08,4.957623682076e-01,2.887099981308e-07
non_wall,sum_R_b,5380800,-1.332884592442e-10,4.255109762345e-08,4.786751040737e-01,3.334134817123e-07
non_wall,sum_R_r,5380800,-5.194091136873e-11,6.322291512383e-08,5.136396074933e-01,3.557652235031e-07
non_wall,sum_dacc_b,5380800,-5.419878348476e-10,3.954869610423e-08,4.977064748736e-01,3.594905138016e-07
non_wall,sum_dacc_r,5380800,-7.194777899500e-10,6.195450269456e-08,4.939994052929e-01,3.818422555923e-07
pure,sum_R_b,5266800,4.160552670003e-10,4.126118125622e-08,4.821882357409e-01,3.334134817123e-07
pure,sum_R_r,5266800,2.160289444848e-11,6.211186689044e-08,5.018356497304e-01,3.557652235031e-07
pure,sum_dacc_b,5266800,-5.052965127348e-10,4.008749325459e-08,4.976798055745e-01,3.594905138016e-07
pure,sum_dacc_r,5266800,-6.989975817271e-10,6.180245200670e-08,4.938617376775e-01,3.818422555923e-07
wall_adj,sum_R_b,379200,8.752026600866e-09,1.677067465614e-08,6.372969409283e-01,2.924352884293e-07
wall_adj,sum_R_r,379200,4.423567699483e-09,1.543143241980e-08,3.968169831224e-01,2.682209014893e-07
wall_adj,sum_dacc_b,379200,-5.874815796226e-10,4.924669790110e-08,4.904351265823e-01,3.110617399216e-07
wall_adj,sum_dacc_r,379200,-2.416105602741e-10,4.671502922333e-08,4.943802742616e-01,3.147870302200e-07
