iter,dMr,dMb,sumR_r,sumR_b,sumdacc_r,sumdacc_b,resid_r,resid_b
0,-3.216930053895e-05,-7.900292985141e-06,1.949721192460e-08,6.132614934626e-06,-3.218879775088e-05,-1.403290791977e-05,0.000000000000e+00,0.000000000000e+00
1,-1.138555307989e-05,-1.367771437799e-05,1.336494523899e-05,6.519874099706e-06,-2.475049740939e-05,-2.019758802295e-05,-9.094947017729e-13,-4.547473508865e-13
2,-2.439618037897e-05,2.648639565450e-06,-5.443671703796e-06,1.680575591895e-05,-1.895250594669e-05,-1.415711544400e-05,-2.728484105319e-12,-9.094947017729e-13
3,-2.266941373819e-05,-4.357467332738e-06,3.737521247114e-06,5.390825325684e-06,-2.640693862328e-05,-9.748294022664e-06,3.637978807092e-12,1.364242052659e-12
4,-2.274383587064e-05,-5.142777808942e-06,-7.517880648509e-06,9.339246195127e-06,-1.522595613163e-05,-1.448202309457e-05,9.094947017729e-13,-9.094947017729e-13
5,-1.506783883087e-05,-1.339672235190e-05,-3.605557505689e-06,5.867143313705e-06,-1.146228132518e-05,-1.926386521086e-05,0.000000000000e+00,-4.547473508865e-13
6,-5.531921488000e-06,-1.171963958768e-06,2.274603958369e-05,1.558503152985e-05,-2.827795743371e-05,-1.675699639811e-05,-3.637978807092e-12,9.094947017729e-13
7,-1.830195833463e-05,-6.893969839439e-06,7.537061794920e-06,9.370444975097e-06,-2.583902558652e-05,-1.626441526928e-05,5.456968210638e-12,4.547473508865e-13
8,4.608285962604e-06,6.742820914951e-06,1.140279618114e-05,1.518766323305e-05,-6.794507490051e-06,-8.444841863354e-06,-2.728484105319e-12,-4.547473508865e-13
9,-2.292413410032e-05,-3.600889613153e-06,6.697229800467e-06,7.235944336650e-06,-2.962136526503e-05,-1.083683394980e-05,1.364242052659e-12,0.000000000000e+00
10,-1.612891355762e-05,9.471277735429e-07,-8.355498427210e-06,1.720797044266e-05,-7.773411947181e-06,-1.626084312386e-05,-3.183231456205e-12,4.547473508865e-13
11,-1.858728137449e-05,5.946198143647e-06,7.797941382754e-06,1.381339637447e-05,-2.638522366674e-05,-7.867197776071e-06,9.094947017729e-13,-4.547473508865e-13
12,-1.394887658535e-05,-1.098035500036e-05,6.678456897883e-06,1.169389247269e-05,-2.062733712121e-05,-2.267424701829e-05,3.637978807092e-12,-4.547473508865e-13
13,-2.375679105171e-05,7.090096914908e-06,5.830300197478e-06,2.259367590658e-05,-2.958708761121e-05,-1.550357899167e-05,-3.637978807092e-12,0.000000000000e+00
14,8.534429071005e-06,-1.237436663359e-05,1.155152035003e-05,9.490649274281e-06,-3.017094007504e-06,-2.186501681737e-05,2.728484105319e-12,9.094947017729e-13
15,-1.973765756702e-05,-1.341966708424e-06,1.277522886427e-05,1.668449180691e-05,-3.251288279331e-05,-1.802645760584e-05,-3.637978807092e-12,-9.094947017729e-13
16,-1.969719596673e-05,-3.807326720562e-07,7.409847268565e-06,1.411317176302e-05,-2.710704869226e-05,-1.449390534457e-05,5.456968210638e-12,9.094947017729e-13
17,-2.379143552389e-05,-5.278037860990e-06,1.683894426695e-05,3.760949584808e-06,-4.063037888134e-05,-9.038987445798e-06,-9.094947017729e-13,0.000000000000e+00
18,-2.156019036192e-05,-1.558473741170e-06,2.172750281192e-06,8.091974335352e-06,-2.373293518615e-05,-9.650447167027e-06,-5.456968210638e-12,-9.094947017729e-13
19,-2.544264134485e-05,-1.361498289043e-05,3.636354888076e-06,5.557193514550e-06,-2.907900259939e-05,-1.917217685973e-05,6.366462912410e-12,4.547473508865e-13
20,-1.709967182251e-05,-3.312718035886e-06,1.357034107965e-05,1.266838547118e-05,-3.067001062842e-05,-1.598110305231e-05,-2.273736754432e-12,-4.547473508865e-13
21,-1.606249497854e-05,-4.088524292456e-07,6.851554103445e-06,1.504899396265e-05,-2.291404862724e-05,-1.545784684664e-05,-4.547473508865e-13,4.547473508865e-13
22,-2.632590621943e-06,3.565150109353e-06,1.596800105366e-06,1.960172294229e-05,-4.229387544077e-06,-1.603657328769e-05,-3.183231456205e-12,4.547473508865e-13
23,-1.109203003580e-05,-6.715041308780e-06,5.812772113120e-06,9.078555066922e-06,-1.690480260366e-05,-1.579359683045e-05,4.547473508865e-13,4.547473508865e-13
24,-4.186720616417e-06,-8.291797712445e-06,2.023660407383e-05,1.730915640294e-05,-2.442332605449e-05,-2.560095184165e-05,1.364242052659e-12,-2.273736754432e-12
25,5.909321771469e-06,9.654359018896e-07,3.958655277656e-07,1.460160433719e-05,5.513455788956e-06,-1.363616889004e-05,4.547473508865e-13,4.547473508865e-13
26,1.165734647657e-05,-6.146390660433e-06,1.244204117437e-05,1.590813981912e-05,-7.846974262828e-07,-2.205453184380e-05,2.728484105319e-12,1.364242052659e-12
27,-1.352624531137e-05,-9.421946742805e-06,1.893476325249e-06,7.550772516003e-06,-1.541971890813e-05,-1.697271971355e-05,-2.728484105319e-12,4.547473508865e-13
28,-8.822520612739e-06,-1.096618143492e-05,1.989788753913e-05,1.559865321103e-05,-2.872040906136e-05,-2.656483282697e-05,9.094947017729e-13,-1.818989403546e-12
29,-7.416805601679e-06,4.007641109638e-06,8.631235293787e-06,1.041863408949e-05,-1.604804089547e-05,-6.410993434598e-06,0.000000000000e+00,4.547473508865e-13
30,-2.021947148023e-05,-5.144911483512e-06,2.380147200354e-06,1.037014582755e-05,-2.259961777109e-05,-1.551505867530e-05,-9.094947017729e-13,1.364242052659e-12
31,-2.378394856350e-05,1.874594090623e-06,-7.605992375894e-06,1.478619014406e-05,-1.617795618761e-05,-1.291159605344e-05,0.000000000000e+00,0.000000000000e+00
32,-2.724823207245e-05,-4.696774340118e-06,6.890749401492e-06,1.411139167267e-05,-3.413898238344e-05,-1.880816419380e-05,9.094947017729e-13,-1.818989403546e-12
33,-2.210384627688e-05,-1.596068614163e-06,-1.207459822420e-05,1.458316997050e-05,-1.002924623369e-05,-1.617923949416e-05,-1.818989403546e-12,9.094947017729e-13
34,-7.125217962312e-06,-1.827743471949e-05,-2.358190994270e-06,5.817886688280e-06,-4.767026513294e-06,-2.409532186252e-05,-4.547473508865e-13,4.547473508865e-13
35,-1.275264003198e-05,-8.336495739059e-06,1.859896239731e-06,1.431781849653e-05,-1.461253763595e-05,-2.265431469033e-05,1.364242052659e-12,4.547473508865e-13
36,-2.245837822556e-05,3.004963218700e-06,5.537907039512e-06,1.374013736506e-05,-2.799628344609e-05,-1.073517414636e-05,-1.818989403546e-12,0.000000000000e+00
37,-5.383427560446e-05,-2.420485543553e-06,-5.811944331369e-06,1.231295051463e-05,-4.802233354683e-05,-1.473343514869e-05,2.273736754432e-12,-9.094947017729e-13
38,-5.878689989913e-06,2.513843355700e-06,2.447761191178e-06,1.484352346699e-05,-8.326449816850e-06,-1.232967965654e-05,-1.364242052659e-12,-4.547473508865e-13
39,-1.225955566042e-05,-5.368845449993e-06,8.021776605223e-06,1.741474847875e-05,-2.028133226564e-05,-2.278359483824e-05,0.000000000000e+00,9.094947017729e-13
40,-7.436530722771e-06,3.184315573890e-06,7.378971864655e-06,1.779930908018e-05,-1.481550349692e-05,-1.461499350629e-05,9.094947017729e-13,0.000000000000e+00
41,-2.435563874315e-05,-4.645742592402e-06,4.014124434345e-06,1.867936851738e-05,-2.836976408698e-05,-2.332511065504e-05,9.094947017729e-13,-4.547473508865e-13
42,-1.853726644185e-05,1.004292244033e-05,5.030036899108e-06,2.207094538152e-05,-2.356730197672e-05,-1.202802339594e-05,-1.364242052659e-12,4.547473508865e-13
43,-9.839597623795e-06,-8.866778443917e-06,-1.131018162151e-06,1.289205194483e-05,-8.708578097403e-06,-2.175883038875e-05,-1.364242052659e-12,0.000000000000e+00
44,-1.177055673907e-05,-1.593842171133e-06,1.466909010114e-05,1.157272112336e-05,-2.643964774970e-05,-1.316656193025e-05,9.094947017729e-13,-1.364242052659e-12
45,-3.171278513037e-05,-6.475525879068e-06,-3.465913511206e-06,5.644865404335e-06,-2.824687070967e-05,-1.212039128340e-05,-9.094947017729e-13,0.000000000000e+00
46,-2.289323674631e-05,-1.674778104643e-06,5.947934832055e-06,1.238964802862e-05,-2.884117521635e-05,-1.406442704276e-05,3.637978807092e-12,9.094947017729e-13
47,-2.175378176617e-05,3.249298970331e-06,8.223081770018e-06,1.829931180026e-05,-2.997686080770e-05,-1.505001282993e-05,-2.728484105319e-12,0.000000000000e+00
48,-1.439355037292e-05,9.435829269933e-06,-1.810187760597e-06,1.969431290045e-05,-1.258336079333e-05,-1.025848363052e-05,-1.818989403546e-12,0.000000000000e+00
49,-8.045331924222e-06,-4.195195288048e-06,2.636767251165e-05,1.675298469976e-05,-3.441300898335e-05,-2.094818044255e-05,4.547473508865e-12,4.547473508865e-13
50,1.428050381946e-05,-2.010867319768e-06,2.645540296477e-05,1.134550035083e-05,-1.217489732632e-05,-1.335636767060e-05,-1.818989403546e-12,0.000000000000e+00
51,-7.604176062159e-06,-1.992053512367e-06,5.803301184348e-06,1.899782987102e-05,-1.340747633701e-05,-2.098988247390e-05,-9.094947017729e-13,-9.094947017729e-13
52,-1.010441701510e-05,-5.351728759706e-06,5.918074968351e-06,1.514070134534e-05,-1.602249744042e-05,-2.049243192404e-05,5.456968210638e-12,1.818989403546e-12
53,-2.064500586130e-05,-1.075318141375e-05,1.359233922169e-06,1.231427309972e-05,-2.200423887397e-05,-2.306745405872e-05,-9.094947017729e-13,-4.547473508865e-13
54,-1.218748366227e-05,-8.000855814316e-06,1.084331295329e-05,1.019490091677e-05,-2.303079479657e-05,-1.819575536684e-05,-1.818989403546e-12,-1.364242052659e-12
55,-1.342100949842e-05,-3.617171387305e-06,1.271426871973e-05,1.438315895798e-05,-2.613527730865e-05,-1.800033034528e-05,-9.094947017729e-13,0.000000000000e+00
56,-1.489673377364e-05,-1.484266795160e-05,1.793015560206e-05,1.047818729328e-05,-3.282688937570e-05,-2.532085660912e-05,0.000000000000e+00,1.364242052659e-12
57,-7.888549589552e-06,1.792292096070e-06,2.869729567394e-05,2.153310745865e-05,-3.658584526349e-05,-1.974081445308e-05,0.000000000000e+00,-9.094947017729e-13
58,1.944863470271e-06,-1.001403506962e-05,2.636179332528e-05,1.748906274649e-05,-2.441692894552e-05,-2.750309781610e-05,-9.094947017729e-13,0.000000000000e+00
59,-1.245928069693e-05,4.329916919232e-06,1.539242735399e-05,2.370220467304e-05,-2.785170896042e-05,-1.937228866330e-05,9.094947017729e-13,9.094947017729e-13
60,3.269269654993e-07,6.039661457180e-06,1.670783495206e-05,2.680652542303e-05,-1.638091116979e-05,-2.076686305635e-05,3.183231456205e-12,-9.094947017729e-13
61,-9.014787792694e-06,2.735047019087e-06,2.716088836525e-05,1.395198613857e-05,-3.617567479370e-05,-1.121693866474e-05,-1.364242052659e-12,-4.547473508865e-13
62,9.593713912182e-07,8.239967428381e-07,2.324819505914e-05,1.872368628435e-05,-2.228882002994e-05,-1.789968999626e-05,-3.637978807092e-12,4.547473508865e-13
63,-6.092930561863e-06,-1.408408024872e-05,1.639753568598e-05,8.433371994630e-06,-2.249046351936e-05,-2.251745269810e-05,-2.728484105319e-12,4.547473508865e-13
64,-6.365742592607e-06,-8.779839845374e-06,1.979216487397e-05,1.140852889692e-05,-2.615791292355e-05,-2.018836828755e-05,5.456968210638e-12,-4.547473508865e-13
65,-2.060621773126e-05,-3.048007783946e-07,1.023000184387e-05,1.532809008913e-05,-3.083622139411e-05,-1.563289132228e-05,1.818989403546e-12,4.547473508865e-13
66,1.162041735370e-05,-6.096679499024e-06,3.008363571972e-05,2.101984340694e-05,-1.846321472804e-05,-2.711652199647e-05,-3.637978807092e-12,-9.094947017729e-13
67,-1.536229683552e-05,-1.954927938641e-06,1.851869879218e-05,1.535078686922e-05,-3.388099471821e-05,-1.730571571736e-05,-9.094947017729e-13,9.094947017729e-13
68,8.144648745656e-06,-3.091668986599e-06,2.298499736244e-05,1.525685919982e-05,-1.484034679779e-05,-1.834852773167e-05,-1.818989403546e-12,-4.547473508865e-13
69,-1.631378108868e-05,-2.323024091311e-06,7.424462252286e-06,2.019731629993e-05,-2.373824425046e-05,-2.252034039124e-05,9.094947017729e-13,0.000000000000e+00
70,3.119304892607e-06,-8.353168595931e-06,2.367049184205e-05,1.116002779192e-05,-2.055118785894e-05,-1.951319729735e-05,9.094947017729e-13,9.094947017729e-13
71,1.670738129178e-06,-8.264638381661e-06,2.151949556030e-05,8.921171461987e-06,-1.984875925011e-05,-1.718580893415e-05,1.818989403546e-12,-9.094947017729e-13
72,-1.746035195538e-05,-1.353012157779e-05,1.321948625757e-05,4.866076401978e-06,-3.067983457497e-05,-1.839619752502e-05,-3.637978807092e-12,-4.547473508865e-13
