class,quantity,n,mean,std,frac_pos,max_abs
ALL,R_b,1474560,3.313129146593e-09,3.293290695322e-08,7.577534993490e-01,3.576278686523e-07
ALL,R_r,1474560,4.129574708065e-09,3.126556940749e-08,7.601453993056e-01,3.576278686523e-07
ALL,Rc1_b,1474560,-1.513015344795e-09,3.231145819692e-08,5.143839518229e-02,3.576278686523e-07
ALL,Rc1_r,1474560,-6.675594427305e-10,3.047541160014e-08,5.408393012153e-02,3.576278686523e-07
ALL,Req_b,1474560,4.883260581938e-09,9.342189119377e-09,8.031778971354e-01,4.470348358154e-08
ALL,Req_r,1474560,4.854336137373e-09,9.291849383603e-09,8.020609537760e-01,4.656612873077e-08
ALL,Rrec_b,1474560,-5.711609055007e-11,4.248944328689e-10,4.335123697917e-02,5.587935447693e-09
ALL,Rrec_r,1474560,-5.720198657744e-11,4.353951380341e-10,4.269205729167e-02,5.587935447693e-09
ALL,cc,1474560,6.250000141865e-02,1.874996487861e-01,1.761284722222e-01,7.500025033951e-01
ALL,dacc_b,1474560,-8.382535080032e-10,6.949591241270e-08,4.939344618056e-01,3.576278686523e-07
ALL,dacc_r,1474560,-9.807183071162e-11,6.503251485775e-08,4.972785101997e-01,3.557652235031e-07
ALL,net_b,1474560,2.474875638593e-09,1.734583233407e-06,2.993503146701e-01,5.483627319336e-06
ALL,net_r,1474560,4.031502877353e-09,1.735155171098e-06,3.024929470486e-01,5.304813385010e-06
cc==0,R_b,1214848,4.721574425774e-09,9.321192136706e-09,8.053789445264e-01,4.470348358154e-08
cc==0,R_r,1214848,4.674928875569e-09,9.275803230286e-09,8.031786692656e-01,4.656612873077e-08
cc==0,Rc1_b,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Rc1_r,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Req_b,1214848,4.721574425774e-09,9.321192136706e-09,8.053789445264e-01,4.470348358154e-08
cc==0,Req_r,1214848,4.674928875569e-09,9.275803230286e-09,8.031786692656e-01,4.656612873077e-08
cc==0,Rrec_b,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Rrec_r,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,cc,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,dacc_b,1214848,-1.147244723786e-09,6.950829188419e-08,4.933045121694e-01,3.576278686523e-07
cc==0,dacc_r,1214848,-1.494948256768e-10,6.521541157375e-08,4.975610117480e-01,3.557652235031e-07
cc==0,net_b,1214848,1.213867691408e-07,1.616503897455e-06,2.848743217258e-01,5.185604095459e-06
cc==0,net_r,1214848,1.290785948028e-07,1.613302192756e-06,2.871297479191e-01,5.245208740234e-06
cc>0,R_b,259712,-3.275118337246e-09,7.549018877739e-08,5.349772055200e-01,3.576278686523e-07
cc>0,R_r,259712,1.578585844690e-09,7.169212831481e-08,5.588498028586e-01,3.576278686523e-07
cc>0,Rc1_b,259712,-8.590407477593e-09,7.659546919507e-08,2.920504250862e-01,3.576278686523e-07
cc>0,Rc1_r,259712,-3.790184711807e-09,7.253487571263e-08,3.070709093149e-01,3.576278686523e-07
cc>0,Req_b,259712,5.639575667274e-09,9.402938972010e-09,7.928821155742e-01,4.470348358154e-08
cc>0,Req_r,259712,5.693544773043e-09,9.320799161951e-09,7.968326453918e-01,4.470348358154e-08
cc>0,Rrec_b,259712,-3.242865269279e-10,9.687004896455e-10,2.461341793987e-01,5.587935447693e-09
cc>0,Rrec_r,259712,-3.247742165461e-10,9.946908822635e-10,2.423915722031e-01,5.587935447693e-09
cc>0,cc,259712,3.548546162360e-01,3.096152203585e-01,1.000000000000e+00,7.500025033951e-01
cc>0,dacc_b,259712,6.071065851431e-10,6.941971505538e-08,4.968811606703e-01,3.557652235031e-07
cc>0,dacc_r,259712,1.424681620011e-10,6.416951456767e-08,4.959570601281e-01,3.334134817123e-07
cc>0,net_b,259712,-5.537561648887e-07,2.117586275857e-06,3.670642865944e-01,5.483627319336e-06
cc>0,net_r,259712,-5.808979941478e-07,2.122276920645e-06,3.743569800394e-01,5.304813385010e-06
ccpos/mixed/nonwall,R_b,134731,-3.944521905433e-09,7.421855373099e-08,5.357119000082e-01,3.464519977570e-07
ccpos/mixed/nonwall,R_r,134731,1.873610339022e-09,7.218932102093e-08,5.647920671560e-01,3.576278686523e-07
ccpos/mixed/nonwall,Rc1_b,134731,-9.120245038880e-09,7.505274928895e-08,2.938893053566e-01,3.576278686523e-07
ccpos/mixed/nonwall,Rc1_r,134731,-3.339108389788e-09,7.286277136306e-08,3.224128077428e-01,3.576278686523e-07
ccpos/mixed/nonwall,Req_b,134731,5.800828730995e-09,8.788584176704e-09,7.879033036198e-01,4.470348358154e-08
ccpos/mixed/nonwall,Req_r,134731,5.838764412751e-09,8.663144526615e-09,8.003132167059e-01,4.470348358154e-08
ccpos/mixed/nonwall,Rrec_b,134731,-6.251055975477e-10,1.273110500476e-09,2.537277983538e-01,5.587935447693e-09
ccpos/mixed/nonwall,Rrec_r,134731,-6.260456839416e-10,1.310957720995e-09,2.648091382087e-01,5.587935447693e-09
ccpos/mixed/nonwall,cc,134731,5.920141487337e-01,2.324491134179e-01,1.000000000000e+00,7.500025033951e-01
ccpos/mixed/nonwall,dacc_b,134731,-5.113900356564e-11,7.014785981402e-08,4.908150314330e-01,3.557652235031e-07
ccpos/mixed/nonwall,dacc_r,134731,1.097366785021e-10,6.137413498008e-08,4.931752900223e-01,3.334134817123e-07
ccpos/mixed/nonwall,net_b,134731,-8.193672018956e-07,2.083458866218e-06,3.402631910993e-01,5.483627319336e-06
ccpos/mixed/nonwall,net_r,134731,-9.228712175908e-07,2.080658289473e-06,3.359286281554e-01,5.304813385010e-06
ccpos/pure/nonwall,R_b,124981,-2.553493353086e-09,7.683092595285e-08,5.341851961498e-01,3.576278686523e-07
ccpos/pure/nonwall,R_r,124981,1.260545941458e-09,7.115088725365e-08,5.524439714837e-01,3.483146429062e-07
ccpos/pure/nonwall,Rc1_b,124981,-8.019236303816e-09,7.822044932666e-08,2.900680903497e-01,3.576278686523e-07
ccpos/pure/nonwall,Rc1_r,124981,-4.276450335717e-09,7.217657449703e-08,2.905321608885e-01,3.576278686523e-07
ccpos/pure/nonwall,Req_b,124981,5.465742952476e-09,1.002022586093e-08,7.982493338988e-01,4.470348358154e-08
ccpos/pure/nonwall,Req_r,124981,5.536996279452e-09,9.978975063125e-09,7.930805482433e-01,4.470348358154e-08
ccpos/pure/nonwall,Rrec_b,124981,-1.746725805995e-18,6.772039379077e-16,2.379481681216e-01,1.047641689383e-14
ccpos/pure/nonwall,Rrec_r,124981,-2.276303282375e-18,6.916406114053e-16,2.182251702259e-01,1.049158047765e-14
ccpos/pure/nonwall,cc,124981,9.919382801262e-02,1.223066021833e-01,1.000000000000e+00,2.500028014183e-01
ccpos/pure/nonwall,dacc_b,124981,1.316703135117e-09,6.861904136668e-08,5.034205199190e-01,3.427267074585e-07
ccpos/pure/nonwall,dacc_r,124981,1.777530893365e-10,6.705254659377e-08,4.989558412879e-01,3.278255462646e-07
ccpos/pure/nonwall,net_b,124981,-2.674243174320e-07,2.116763619288e-06,3.959561853402e-01,4.768371582031e-06
ccpos/pure/nonwall,net_r,124981,-2.122468042254e-07,2.104911653456e-06,4.157831990463e-01,4.768371582031e-06
cczero/pure/nonwall,R_b,1214848,4.721574425774e-09,9.321192136706e-09,8.053789445264e-01,4.470348358154e-08
cczero/pure/nonwall,R_r,1214848,4.674928875569e-09,9.275803230286e-09,8.031786692656e-01,4.656612873077e-08
cczero/pure/nonwall,Rc1_b,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,Rc1_r,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,Req_b,1214848,4.721574425774e-09,9.321192136706e-09,8.053789445264e-01,4.470348358154e-08
cczero/pure/nonwall,Req_r,1214848,4.674928875569e-09,9.275803230286e-09,8.031786692656e-01,4.656612873077e-08
cczero/pure/nonwall,Rrec_b,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,Rrec_r,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,cc,1214848,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,dacc_b,1214848,-1.147244723786e-09,6.950829188419e-08,4.933045121694e-01,3.576278686523e-07
cczero/pure/nonwall,dacc_r,1214848,-1.494948256768e-10,6.521541157375e-08,4.975610117480e-01,3.557652235031e-07
cczero/pure/nonwall,net_b,1214848,1.213867691408e-07,1.616503897455e-06,2.848743217258e-01,5.185604095459e-06
cczero/pure/nonwall,net_r,1214848,1.290785948028e-07,1.613302192756e-06,2.871297479191e-01,5.245208740234e-06
mixed,R_b,134731,-3.944521905433e-09,7.421855373099e-08,5.357119000082e-01,3.464519977570e-07
mixed,R_r,134731,1.873610339022e-09,7.218932102093e-08,5.647920671560e-01,3.576278686523e-07
mixed,Rc1_b,134731,-9.120245038880e-09,7.505274928895e-08,2.938893053566e-01,3.576278686523e-07
mixed,Rc1_r,134731,-3.339108389788e-09,7.286277136306e-08,3.224128077428e-01,3.576278686523e-07
mixed,Req_b,134731,5.800828730995e-09,8.788584176704e-09,7.879033036198e-01,4.470348358154e-08
mixed,Req_r,134731,5.838764412751e-09,8.663144526615e-09,8.003132167059e-01,4.470348358154e-08
mixed,Rrec_b,134731,-6.251055975477e-10,1.273110500476e-09,2.537277983538e-01,5.587935447693e-09
mixed,Rrec_r,134731,-6.260456839416e-10,1.310957720995e-09,2.648091382087e-01,5.587935447693e-09
mixed,cc,134731,5.920141487337e-01,2.324491134179e-01,1.000000000000e+00,7.500025033951e-01
mixed,dacc_b,134731,-5.113900356564e-11,7.014785981402e-08,4.908150314330e-01,3.557652235031e-07
mixed,dacc_r,134731,1.097366785021e-10,6.137413498008e-08,4.931752900223e-01,3.334134817123e-07
mixed,net_b,134731,-8.193672018956e-07,2.083458866218e-06,3.402631910993e-01,5.483627319336e-06
mixed,net_r,134731,-9.228712175908e-07,2.080658289473e-06,3.359286281554e-01,5.304813385010e-06
mixed_tau=1e-05,R_b,92160,-5.293478659357e-09,7.642360805537e-08,5.235026041667e-01,3.455206751823e-07
mixed_tau=1e-05,R_r,92160,8.588118791872e-09,7.385402473617e-08,5.907769097222e-01,3.576278686523e-07
mixed_tau=1e-05,Rc1_b,92160,-1.038651033822e-08,7.717419225767e-08,2.916015625000e-01,3.576278686523e-07
mixed_tau=1e-05,Rc1_r,92160,3.509436889241e-09,7.400849445299e-08,3.574761284722e-01,3.576278686523e-07
mixed_tau=1e-05,Req_b,92160,6.006889129316e-09,8.251482403325e-09,7.811414930556e-01,4.470348358154e-08
