x,Req_r,R_r,dacc_r,net_r,cc,chi
0,2.829923081057e-09,1.784201313130e-09,2.215719850314e-11,-2.874540061586e-07,7.499973319160e-01,2.499997457799e-01
1,1.225743774031e-14,-3.940731765184e-15,-9.064100008261e-16,-6.008879841153e-09,2.499997540785e-01,8.193320294882e-07
2,1.700178943053e-19,-3.256630040328e-20,4.569014484355e-20,-9.441926529743e-15,8.111029702847e-07,1.345066670994e-11
3,1.166273194684e-20,1.166273194684e-20,1.545924525095e-21,-3.083305322433e-15,0.000000000000e+00,9.959186390026e-13
4,2.332325807871e-20,2.332325807871e-20,-3.255194673684e-21,-7.773773848310e-15,0.000000000000e+00,1.853931276547e-12
5,3.814001131942e-20,3.814001131942e-20,7.571827509397e-21,-8.453347544270e-15,0.000000000000e+00,2.665327664338e-12
6,5.427393020398e-20,5.427393020398e-20,-7.718587731855e-21,-8.771106091083e-15,0.000000000000e+00,3.426029049543e-12
7,4.881939095406e-20,4.881939095406e-20,5.204252778356e-21,-9.338791769851e-15,0.000000000000e+00,4.134126216742e-12
8,5.587358721791e-20,5.587358721791e-20,1.906382937780e-20,-1.027727517512e-14,0.000000000000e+00,4.786209873981e-12
9,7.231367321986e-20,7.231367321986e-20,1.744711406147e-20,-1.141996452086e-14,0.000000000000e+00,5.376643217229e-12
10,1.110160203015e-19,1.110160203015e-19,1.851355207075e-20,-1.257093073375e-14,0.000000000000e+00,5.898562285709e-12
11,1.064814529471e-19,1.064814529471e-19,-4.478686708607e-21,-1.360183778143e-14,0.000000000000e+00,6.345051494696e-12
12,1.075367148272e-19,1.075367148272e-19,-7.918581622179e-21,-1.444962424919e-14,0.000000000000e+00,6.709915119287e-12
13,1.042409331581e-19,1.042409331581e-19,-5.025140603051e-21,-1.509042455083e-14,0.000000000000e+00,6.988057682421e-12
14,9.625882406488e-20,9.625882406488e-20,-9.270305033839e-21,-1.551825840786e-14,0.000000000000e+00,7.175626648005e-12
15,8.055871545713e-20,8.055871545713e-20,-8.120928381801e-21,-1.573304463687e-14,0.000000000000e+00,7.270048462690e-12
16,8.837377083020e-20,8.837377083020e-20,-2.090112619082e-20,-1.573536471659e-14,0.000000000000e+00,7.270031053794e-12
17,9.926990854891e-20,9.926990854891e-20,-1.290901740309e-20,-1.552482549194e-14,0.000000000000e+00,7.175561698069e-12
18,1.064761589911e-19,1.064761589911e-19,-6.311571891694e-22,-1.510008187463e-14,0.000000000000e+00,6.987906488793e-12
19,1.074237771009e-19,1.074237771009e-19,-8.077400299789e-21,-1.446055332708e-14,0.000000000000e+00,6.709619473142e-12
20,1.065679208938e-19,1.065679208938e-19,6.587445816876e-21,-1.361170812460e-14,0.000000000000e+00,6.344545562731e-12
21,1.132965388685e-19,1.132965388685e-19,1.424603538163e-20,-1.257719629293e-14,0.000000000000e+00,5.897787140362e-12
22,7.720470027293e-20,7.720470027293e-20,3.250900687216e-20,-1.142031321609e-14,0.000000000000e+00,5.375560643385e-12
23,5.992228706232e-20,5.992228706232e-20,3.883293132766e-20,-1.027006549420e-14,0.000000000000e+00,4.784816461849e-12
24,4.795765257369e-20,4.795765257369e-20,6.311866000356e-21,-9.323136793982e-15,0.000000000000e+00,4.132465212094e-12
25,5.515978549465e-20,5.515978549465e-20,-1.015057225993e-20,-8.745381455776e-15,0.000000000000e+00,3.424194323056e-12
26,3.755297042959e-20,3.755297042959e-20,8.158133127574e-21,-8.409955985147e-15,0.000000000000e+00,2.663473445237e-12
27,2.333046374094e-20,2.333046374094e-20,-4.971833408020e-21,-7.695877837391e-15,0.000000000000e+00,1.852317759621e-12
28,1.133759482073e-20,1.133759482073e-20,-1.458430276626e-23,-2.975169515319e-15,0.000000000000e+00,9.950133724946e-13
29,1.776821454618e-19,-1.206175633211e-20,3.370679137923e-20,-8.829986584089e-15,8.478850273385e-07,1.443679303586e-11
30,1.201664659675e-14,1.739558861997e-16,5.184977588376e-15,-5.827928807014e-09,2.500001322258e-01,8.563290109125e-07
31,2.650732413814e-09,3.583809524483e-09,-1.467927006816e-09,-2.643985984226e-07,7.499976692928e-01,2.500001251499e-01
32,9.183713700622e-09,5.396092698599e-09,3.781234328118e-09,-6.935610953305e-07,7.499989688785e-01,2.500014977978e-01
33,1.118670398783e-08,2.587492215551e-09,-1.028011966911e-09,-8.428779741128e-07,2.500015080648e-01,9.271514016878e-07
34,1.064440261366e-08,-8.724519931194e-09,4.355388227850e-09,-7.847841415140e-07,9.187860830523e-07,1.594831575116e-11
35,1.113924857539e-08,1.113924857539e-08,2.295968847142e-09,-6.705160356230e-07,0.000000000000e+00,9.978691853290e-13
36,1.056396286003e-08,1.056396286003e-08,1.714538989796e-08,-5.397479981184e-07,0.000000000000e+00,1.865846338478e-12
37,1.052127724203e-08,1.052127724203e-08,4.643192773478e-09,-4.079141136673e-07,0.000000000000e+00,2.685354216058e-12
38,1.038489345875e-08,1.038489345875e-08,-1.433161540060e-08,-2.601287431187e-07,0.000000000000e+00,3.452437471921e-12
39,9.831354772258e-09,9.831354772258e-09,-4.947408645724e-09,-9.222680495845e-08,0.000000000000e+00,4.165880620534e-12
40,9.875899801652e-09,9.875899801652e-09,-3.595131501142e-09,8.811346358723e-08,0.000000000000e+00,4.822689445485e-12
41,9.647677264487e-09,9.647677264487e-09,6.811508986478e-09,2.685132332974e-07,0.000000000000e+00,5.417373096348e-12
42,9.244670056634e-09,9.244670056634e-09,-1.031059784711e-08,4.419901718696e-07,0.000000000000e+00,5.943049100746e-12
43,9.037224420657e-09,9.037224420657e-09,-3.857227663199e-09,5.868677463796e-07,0.000000000000e+00,6.392700098740e-12
44,8.567682622621e-09,8.567682622621e-09,-4.378024540428e-09,7.068660731117e-07,0.000000000000e+00,6.760006898419e-12
45,8.001693964211e-09,8.001693964211e-09,-3.659159928146e-09,8.051257787479e-07,0.000000000000e+00,7.039765769187e-12
46,7.233271996180e-09,7.233271996180e-09,6.456603942853e-09,8.760796238979e-07,0.000000000000e+00,7.228053319992e-12
47,7.764578589963e-09,7.764578589963e-09,8.489344812309e-09,9.139534085989e-07,0.000000000000e+00,7.322269848692e-12
48,7.482190590559e-09,7.482190590559e-09,2.160094380896e-08,9.199552651909e-07,0.000000000000e+00,7.321137447837e-12
49,7.218477549031e-09,7.218477549031e-09,-5.313874377559e-09,8.810725477007e-07,0.000000000000e+00,7.224691920366e-12
50,7.893524727681e-09,7.893524727681e-09,1.756577856011e-09,8.068176814251e-07,0.000000000000e+00,7.034277672791e-12
51,8.839075841630e-09,8.839075841630e-09,-9.901608185222e-09,7.062503654096e-07,0.000000000000e+00,6.752553054006e-12
52,8.842956352358e-09,8.842956352358e-09,-8.618776013868e-09,5.797767597768e-07,0.000000000000e+00,6.383485405045e-12
53,9.224782439156e-09,9.224782439156e-09,3.662393687086e-09,4.344826771153e-07,0.000000000000e+00,5.932313334192e-12
54,9.599090036419e-09,9.599090036419e-09,2.832853675096e-09,2.666816322340e-07,0.000000000000e+00,5.405397066687e-12
