class,quantity,n,mean,std,frac_pos,max_abs
ALL,R_b,1474560,2.012170203057e-10,8.067128002550e-08,5.441677517361e-01,3.427267074585e-07
ALL,R_r,1474560,-4.339709719359e-10,7.873783070156e-08,5.421596950955e-01,3.427267074585e-07
ALL,Rc1_b,1474560,-4.670222225052e-09,8.136716340941e-08,3.090196397569e-01,3.483146429062e-07
ALL,Rc1_r,1474560,-5.359583164303e-09,7.952560612382e-08,3.079216851128e-01,3.483146429062e-07
ALL,Req_b,1474560,4.929456926343e-09,9.809450123447e-09,7.853515625000e-01,4.470348358154e-08
ALL,Req_r,1474560,4.981980232361e-09,9.595397292803e-09,7.767530653212e-01,4.656612873077e-08
ALL,Rrec_b,1474560,-5.801768098519e-11,4.406924351247e-10,4.259982638889e-02,5.587935447693e-09
ALL,Rrec_r,1474560,-5.636803999387e-11,4.341001457419e-10,4.321560329861e-02,5.587935447693e-09
ALL,cc,1474560,6.250000152574e-02,1.874996502098e-01,1.754116482205e-01,7.500010728836e-01
ALL,dacc_b,1474560,-3.025374186122e-10,7.356716991767e-08,4.929253472222e-01,3.818422555923e-07
ALL,dacc_r,1474560,1.394721208225e-10,6.743214332734e-08,4.940205891927e-01,3.594905138016e-07
ALL,net_b,1474560,-1.013203983059e-10,1.735563223979e-06,3.046780056424e-01,5.304813385010e-06
ALL,net_r,1474560,-2.944988511132e-10,1.734754009418e-06,3.043124728733e-01,5.245208740234e-06
cc==0,R_b,1215905,3.372294528400e-10,8.142623295469e-08,5.458592570966e-01,3.427267074585e-07
cc==0,R_r,1215905,-5.417457930627e-10,7.823969465749e-08,5.427652653785e-01,3.427267074585e-07
cc==0,Rc1_b,1215905,-4.467780893408e-09,8.211806256704e-08,3.107167089534e-01,3.427267074585e-07
cc==0,Rc1_r,1215905,-5.386577885789e-09,7.909307797846e-08,3.063866009269e-01,3.427267074585e-07
cc==0,Req_b,1215905,4.805010346248e-09,9.862824911434e-09,7.868435445203e-01,4.470348358154e-08
cc==0,Req_r,1215905,4.844832092727e-09,9.621883038680e-09,7.771042967995e-01,4.656612873077e-08
cc==0,Rrec_b,1215905,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Rrec_r,1215905,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,cc,1215905,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,dacc_b,1215905,-1.458093277021e-10,7.368283048492e-08,4.925606852509e-01,3.818422555923e-07
cc==0,dacc_r,1215905,7.782911032783e-10,6.692359183167e-08,4.954359098778e-01,3.594905138016e-07
cc==0,net_b,1215905,1.243355856331e-07,1.617279707918e-06,2.902299110539e-01,5.304813385010e-06
cc==0,net_r,1215905,1.229143743072e-07,1.617961059935e-06,2.885595502938e-01,5.245208740234e-06
cc>0,R_b,258655,-4.381605164928e-10,7.702003199054e-08,5.362161953181e-01,3.259629011154e-07
cc>0,R_r,258655,7.266506402772e-11,8.103656671171e-08,5.393129844774e-01,3.427267074585e-07
cc>0,Rc1_b,258655,-5.621873758381e-09,7.773308928948e-08,3.010419284375e-01,3.483146429062e-07
cc>0,Rc1_r,258655,-5.232684334476e-09,8.152800556388e-08,3.151379250353e-01,3.483146429062e-07
cc>0,Req_b,258655,5.514464828648e-09,9.532803327536e-09,7.783379404999e-01,4.470348358154e-08
cc>0,Req_r,258655,5.626696587050e-09,9.443246150318e-09,7.751019698053e-01,4.470348358154e-08
cc>0,Rrec_b,258655,-3.307515867604e-10,1.008443792110e-09,2.428563143956e-01,5.587935447693e-09
