x,Req_r,R_r,dacc_r,net_r,cc,chi
0,2.900196705014e-09,-4.674886391024e-11,-2.369132114825e-09,-1.432244769401e-07,7.499941183435e-01,2.499966138541e-01
1,1.197917576712e-14,-6.179219189770e-15,1.732452347204e-14,-6.523345420596e-09,2.499966204891e-01,9.105813750275e-07
2,1.875844164837e-19,-1.361389317498e-20,-2.446366977865e-20,-9.821885799895e-15,8.999883153572e-07,1.521436736648e-11
3,1.126796459495e-20,1.126796459495e-20,3.563262714815e-21,-4.371733740653e-15,0.000000000000e+00,1.045468682069e-12
4,2.113553079463e-20,2.113553079463e-20,-3.861646735225e-22,-9.257093879783e-15,0.000000000000e+00,1.958049212620e-12
5,4.655593068945e-20,4.655593068945e-20,3.896351557370e-21,-9.526389332992e-15,0.000000000000e+00,2.815116214058e-12
6,4.532126252536e-20,4.532126252536e-20,-1.570452023769e-20,-9.480315192290e-15,0.000000000000e+00,3.615052156942e-12
7,5.583829417844e-20,5.583829417844e-20,2.040996472488e-20,-9.868666010792e-15,0.000000000000e+00,4.358130591997e-12
8,5.561594802979e-20,5.561594802979e-20,3.460482519929e-20,-1.076933741355e-14,0.000000000000e+00,5.042017354063e-12
9,1.060755829932e-19,1.060755829932e-19,1.863825414354e-20,-1.194984382518e-14,0.000000000000e+00,5.661302535600e-12
10,1.060608775601e-19,1.060608775601e-19,9.984400865760e-21,-1.317067357908e-14,0.000000000000e+00,6.208894127294e-12
11,1.064491009942e-19,1.064491009942e-19,-3.774590571202e-21,-1.427689301778e-14,0.000000000000e+00,6.677456597623e-12
12,1.018245363891e-19,1.018245363891e-19,-3.981054852095e-21,-1.519008266399e-14,0.000000000000e+00,7.060342972163e-12
13,7.502770795502e-20,7.502770795502e-20,-1.015204280324e-20,-1.587921779021e-14,0.000000000000e+00,7.352062376443e-12
14,6.940493855030e-20,6.940493855030e-20,-8.690322751899e-21,-1.633629212808e-14,0.000000000000e+00,7.548471877498e-12
15,7.204662255455e-20,7.204662255455e-20,-8.635030323398e-21,-1.656141108614e-14,0.000000000000e+00,7.646823201604e-12
