x,Req_r,R_r,dacc_r,net_r,cc,chi
0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3,-1.671711400548e-12,3.374151199988e-13,3.057408593609e-13,1.894726388539e-08,0.000000000000e+00,-9.537179401308e-05
4,-2.291932827100e-12,-1.278648332545e-16,1.462899937560e-13,1.828710484941e-08,2.733744531329e-05,-9.161526026968e-05
5,-7.401486830834e-13,-1.639579565740e-13,6.886950917021e-14,1.818582767147e-08,3.589287830519e-05,-9.255115961376e-05
6,-1.380739001394e-12,-1.193870241225e-13,-9.522031148955e-14,1.760569527202e-08,3.763659616952e-05,-9.173381413846e-05
7,-1.437530931651e-12,-1.716502853122e-13,2.812867396987e-13,1.729924465706e-08,3.666084062685e-05,-9.245581215723e-05
8,-1.067914838685e-12,-1.609749219993e-15,7.466719747968e-14,1.653554426267e-08,3.654842242285e-05,-9.172691150861e-05
9,-1.397895004260e-12,-6.009210991568e-14,1.757536635852e-13,1.585690765553e-08,3.686712915511e-05,-9.206045747631e-05
10,-1.112277419926e-12,-4.580676210473e-14,2.727184294617e-14,1.470285872568e-08,3.643816803247e-05,-9.163623166329e-05
11,-1.543690135462e-12,6.129066784092e-14,9.218539151640e-14,1.364940155748e-08,3.670743749897e-05,-9.166883530045e-05
12,-1.489143108341e-12,2.301183568125e-14,8.892737671567e-14,1.249630759707e-08,3.621798855090e-05,-9.161608967300e-05
13,-1.305133135221e-12,8.364090654352e-14,8.798040609755e-14,1.139769302835e-08,3.628121165874e-05,-9.129072103479e-05
14,-1.212906747663e-12,1.135356653700e-14,1.710422489029e-13,1.059241620406e-08,3.601126483313e-05,-9.195778523714e-05
15,-1.377258371761e-12,-1.272496817684e-13,1.462570956053e-13,8.954403724140e-09,3.551545863260e-05,-9.123590090064e-05
16,-1.406565685181e-12,-1.871573281192e-13,1.724473057810e-13,9.688745234124e-09,3.471453524862e-05,-9.267728107283e-05
17,-1.468846300628e-12,1.216654972220e-13,2.613142858730e-13,6.327192512918e-09,3.484333568037e-05,-9.326308816264e-05
18,-1.309916426536e-12,1.301208211253e-14,4.667066099526e-14,6.394159662296e-10,7.988140999721e-04,-9.133197937499e-05
19,9.849584593990e-12,-1.687193268141e-12,-3.537843499532e-13,-1.135601992180e-06,1.056110744716e-01,5.132908465154e-04
