class,quantity,n,mean,std,frac_pos,max_abs
ALL,R_b,1152000,-2.228722961296e-10,5.224529958897e-08,4.869583333333e-01,3.203749656677e-07
ALL,R_r,1152000,1.156565994188e-10,7.164432910331e-08,5.168697916667e-01,3.278255462646e-07
ALL,Rc1_b,1152000,-5.211954950689e-09,5.416634349499e-08,3.567916666667e-01,3.427267074585e-07
ALL,Rc1_r,1152000,-6.342973171427e-09,7.443982932360e-08,2.817552083333e-01,3.427267074585e-07
ALL,Req_b,1152000,4.989037341178e-09,1.352727622139e-08,4.204218750000e-01,8.009374141693e-08
ALL,Req_r,1152000,6.456434704635e-09,2.031469403392e-08,5.366093750000e-01,9.685754776001e-08
ALL,Rrec_b,1152000,4.531338103531e-14,3.948431012241e-10,3.137760416667e-01,9.880750440061e-09
ALL,Rrec_r,1152000,2.195066210671e-12,3.904187464159e-10,1.501250000000e-01,9.662471711636e-09
ALL,cc,1152000,3.708239397820e-02,1.528753510200e-01,9.366666666667e-01,9.638279080391e-01
ALL,dacc_b,1152000,2.258754526011e-24,6.998458479341e-22,1.041666666667e-05,2.168404344971e-19
ALL,dacc_r,1152000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
ALL,net_b,1152000,-1.891190800999e-10,4.409413215519e-05,4.886927083333e-01,1.780390739441e-04
ALL,net_r,1152000,2.003258791442e-10,4.455530875421e-05,4.790052083333e-01,1.842975616455e-04
cc==0,R_b,72960,-1.556670282735e-09,6.819799200316e-08,4.882401315789e-01,3.110617399216e-07
cc==0,R_r,72960,1.407622011130e-09,5.804093420743e-08,5.112664473684e-01,3.147870302200e-07
cc==0,Rc1_b,72960,-1.117037836264e-08,7.008802393927e-08,2.967105263158e-01,2.682209014893e-07
cc==0,Rc1_r,72960,-4.953867251499e-09,5.939104331613e-08,3.052631578947e-01,2.682209014893e-07
cc==0,Req_b,72960,9.613708079907e-09,1.462532800395e-08,6.385690789474e-01,7.264316082001e-08
cc==0,Req_r,72960,6.361489262629e-09,1.434712960068e-08,4.498355263158e-01,7.636845111847e-08
cc==0,Rrec_b,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Rrec_r,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,cc,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,dacc_b,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,dacc_r,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,net_b,72960,-4.066791708779e-06,9.527260620327e-06,3.112664473684e-01,4.094839096069e-05
cc==0,net_r,72960,2.111861785677e-06,9.079868979325e-06,5.929276315789e-01,3.159046173096e-05
cc>0,R_b,1079040,-1.326866671421e-10,5.098555219844e-08,4.868716637011e-01,3.203749656677e-07
cc>0,R_r,1079040,2.829950752373e-11,7.247119585537e-08,5.172486654804e-01,3.278255462646e-07
cc>0,Rc1_b,1079040,-4.809072228884e-09,5.289294148087e-08,3.608540925267e-01,3.427267074585e-07
cc>0,Rc1_r,1079040,-6.436898482739e-09,7.534803449084e-08,2.801657028470e-01,3.427267074585e-07
cc>0,Req_b,1079040,4.676337184467e-09,1.339227692752e-08,4.056717081851e-01,8.009374141693e-08
cc>0,Req_r,1079040,6.462854503205e-09,2.065604551804e-08,5.424766459075e-01,9.685754776001e-08
cc>0,Rrec_b,1079040,4.837727512667e-14,4.079735631552e-10,3.349922153025e-01,9.880750440061e-09
cc>0,Rrec_r,1079040,2.343487057656e-12,4.034016460048e-10,1.602758007117e-01,9.662471711636e-09
cc>0,cc,1079040,3.958974446071e-02,1.576446781392e-01,1.000000000000e+00,9.638279080391e-01
cc>0,dacc_b,1079040,2.411481700368e-24,7.231188867991e-22,1.112099644128e-05,2.168404344971e-19
cc>0,dacc_r,1079040,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc>0,net_b,1079040,2.747768923231e-07,4.547995095037e-05,5.006895017794e-01,1.780390739441e-04
