x,Req_r,R_r,dacc_r,net_r,cc,chi
0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3,-1.618430993087e-12,2.092539654913e-20,-5.106749363156e-22,1.813760995308e-08,0.000000000000e+00,-9.522571763877e-05
4,-2.382480686166e-12,3.368244928516e-20,-8.703570429033e-22,1.787115964006e-08,2.841842268856e-05,-9.427547420935e-05
5,-5.836954108457e-13,7.851627145853e-21,-1.902755171368e-22,1.772325998425e-08,3.833129716263e-05,-9.172885216433e-05
6,-1.419170095450e-12,1.905455856128e-20,1.203032301897e-22,1.724136223936e-08,3.499275872835e-05,-9.416425280947e-05
7,-1.377958616776e-12,2.066023840912e-20,4.063302978858e-22,1.598590366168e-08,3.374456348114e-05,-9.392027113845e-05
8,-8.693953769461e-13,1.289699730993e-20,2.172823647305e-22,1.588904643026e-08,3.847598418361e-05,-9.187763513820e-05
9,-1.573635907572e-12,1.994946728381e-20,1.964134370445e-23,1.476592724034e-08,3.441652112167e-05,-9.418844674320e-05
10,-1.002050616396e-12,1.411598820359e-20,-1.147791022729e-22,1.288508626559e-08,3.556001478817e-05,-9.316482103845e-05
11,-1.602799052900e-12,2.246110411002e-20,-3.682751944584e-24,1.285467948511e-08,3.750045593931e-05,-9.155328630864e-05
12,-1.472924198068e-12,2.068233492078e-20,-2.676133079731e-22,9.247340763661e-09,3.373143492413e-05,-9.262113662002e-05
13,-1.297636394472e-12,1.894775875488e-20,-3.682751944584e-24,9.568584178139e-09,3.347188858292e-05,-9.308177932773e-05
14,-1.118085334462e-12,1.506245545335e-20,-2.860270676960e-22,5.524727543082e-09,3.590738321503e-05,-9.075137560524e-05
15,-1.526122223763e-12,2.232852504001e-20,4.419302333501e-23,3.686703997158e-09,3.330244940907e-05,-9.436311482586e-05
16,-1.391057317644e-12,1.981688821381e-20,1.730893413954e-22,7.296864129350e-09,3.365793121277e-05,-9.319951497425e-05
17,-1.474098138240e-12,2.128262348775e-20,-5.241783601124e-22,5.105492005975e-09,3.412982497564e-05,-9.573377155628e-05
18,-1.230320193550e-12,1.771956098137e-20,-9.329638259613e-23,9.996631928041e-10,7.997538749617e-04,-9.306929811727e-05
19,8.886603530339e-12,-1.140695587315e-19,1.679334886730e-21,-1.136664310331e-06,1.056731137610e-01,5.129486217839e-04
