class,quantity,n,mean,std,frac_pos,max_abs
ALL,R_b,1152000,1.759702617758e-10,4.131170845326e-08,4.892925347222e-01,3.166496753693e-07
ALL,R_r,1152000,1.587642981662e-10,6.116852968191e-08,5.128741319444e-01,3.241002559662e-07
ALL,Rc1_b,1152000,-4.834043772179e-09,4.338841071556e-08,3.090295138889e-01,2.682209014893e-07
ALL,Rc1_r,1152000,-6.318958871194e-09,6.396531170076e-08,2.305685763889e-01,3.427267074585e-07
ALL,Req_b,1152000,5.010352494049e-09,1.309403188270e-08,4.134131944444e-01,7.823109626770e-08
ALL,Req_r,1152000,6.477921295100e-09,1.868497897357e-08,5.370564236111e-01,8.940696716309e-08
ALL,Rrec_b,1152000,-3.384600948552e-13,2.672342676571e-10,3.185694444444e-01,8.149072527885e-09
ALL,Rrec_r,1152000,-1.981257395124e-13,2.699191375813e-10,1.508706597222e-01,7.916241884232e-09
ALL,cc,1152000,3.708250998707e-02,1.528685100520e-01,9.366666666667e-01,9.635114073753e-01
ALL,dacc_b,1152000,-5.384913836382e-10,3.931626029950e-08,4.975668402778e-01,3.241002559662e-07
ALL,dacc_r,1152000,-8.487900445349e-10,6.082169179069e-08,4.930277777778e-01,3.408640623093e-07
ALL,net_b,1152000,-3.625211218624e-10,4.506229054151e-05,4.852387152778e-01,1.779794692993e-04
ALL,net_r,1152000,-6.900257463687e-10,4.551913161798e-05,4.772282986111e-01,1.844763755798e-04
cc==0,R_b,72960,9.546164948491e-09,1.375548460155e-08,6.463678728070e-01,7.264316082001e-08
cc==0,R_r,72960,6.127335461407e-09,1.304062628091e-08,4.369791666667e-01,8.195638656616e-08
cc==0,Rc1_b,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Rc1_r,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Req_b,72960,9.546164948491e-09,1.375548460155e-08,6.463678728070e-01,7.264316082001e-08
cc==0,Req_r,72960,6.127335461407e-09,1.304062628091e-08,4.369791666667e-01,8.195638656616e-08
cc==0,Rrec_b,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,Rrec_r,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,cc,72960,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cc==0,dacc_b,72960,-2.661126086898e-10,5.091055289871e-08,4.945723684211e-01,2.738088369370e-07
cc==0,dacc_r,72960,-6.952432198868e-10,4.894619371987e-08,4.916255482456e-01,2.849847078323e-07
cc==0,net_b,72960,-4.094160326580e-06,9.047340870922e-06,3.036595394737e-01,3.802776336670e-05
cc==0,net_r,72960,2.137909807780e-06,8.606114586023e-06,5.919133771930e-01,2.792477607727e-05
