t,x_vol,x_cross
250,42.16319376627604,40.0
500,42.64048461914062,40.0
750,43.217803955078125,41.0
1000,43.7677001953125,41.0
1250,44.28922729492187,42.0
1500,44.77991739908854,42.0
1750,45.3290283203125,43.0
2000,45.994405110677086,43.0
2250,46.80806070963542,44.0
2500,47.6862548828125,45.0
2750,48.558695475260414,46.0
3000,49.409855143229166,47.0
3250,50.24229329427083,48.0
3500,51.077738444010414,48.0
3750,51.9361328125,49.0
4000,52.83053792317708,50.0
4250,53.74554443359375,51.0
4500,54.66024169921875,52.0
4750,55.567789713541664,53.0
5000,56.46868896484375,54.0
5250,57.366695149739584,55.0
5500,58.26994222005208,56.0
5750,59.183064778645836,56.0
6000,60.099751790364586,57.0
6250,61.01840413411458,58.0
6500,61.93525390625,59.0
6750,62.84864908854167,60.0
7000,63.76251220703125,61.0
7250,64.67710774739584,62.0
7500,65.59364827473959,63.0
7750,66.51275634765625,64.0
8000,67.43233235677084,65.0
8250,68.35159912109376,66.0
8500,69.27034098307291,67.0
8750,70.18865559895833,67.0
9000,71.10577392578125,68.0
9250,72.02452799479167,69.0
9500,72.94345703125,70.0
9750,73.86197509765626,71.0
10000,74.78229573567708,72.0
10250,75.70271402994791,73.0
10500,76.62305094401042,74.0
10750,77.54414469401041,75.0
11000,78.46534423828125,76.0
11250,79.38577473958334,77.0
11500,80.3067626953125,78.0
11750,81.2282470703125,79.0
12000,82.148876953125,79.0
12250,83.0693603515625,80.0
12500,83.99047037760417,81.0
12750,84.9113037109375,82.0
13000,85.8324951171875,83.0
13250,86.75550944010416,84.0
13500,87.67891438802083,85.0
13750,88.60244140625,86.0
14000,89.52601725260416,87.0
14250,90.44921061197917,88.0
14500,91.37220052083333,89.0
14750,92.295751953125,90.0
15000,93.21951497395834,91.0
15250,94.14234212239583,91.0
15500,95.065771484375,92.0
15750,95.9898681640625,93.0
16000,96.9137939453125,94.0
16250,97.83812662760417,95.0
16500,98.76429850260416,96.0
16750,99.6901123046875,97.0
17000,100.615869140625,98.0
17250,101.54220377604166,99.0
17500,102.46842447916667,100.0
17750,103.39409993489583,101.0
18000,104.32015787760416,102.0
18250,105.2468017578125,103.0
18500,106.17320149739584,103.0
18750,107.09940592447917,104.0
19000,108.02670084635416,105.0
19250,108.95419921875,106.0
19500,109.88133138020834,107.0
19750,110.80956217447917,108.0
20000,111.73822428385417,109.0
20250,112.6669189453125,110.0
20500,113.59563802083333,111.0
20750,114.52477213541667,112.0
21000,115.45370279947916,113.0
21250,116.38268229166667,114.0
21500,117.31241861979167,115.0
21750,118.24267578125,116.0
22000,119.17283528645834,116.0
22250,120.10306803385417,117.0
22500,121.03411458333333,118.0
22750,121.9648193359375,119.0
23000,122.89512532552084,120.0
23250,123.82648111979167,121.0
23500,124.75851236979166,122.0
23750,125.69041341145834,123.0
24000,126.6224609375,124.0
24250,127.55504557291667,125.0
24500,128.48761393229165,126.0
24750,129.42020670572919,127.0
25000,130.35335286458331,128.0
25250,131.28726399739583,129.0
25500,132.2216796875,130.0
25750,133.15525716145834,130.0
26000,134.08929036458335,131.0
26250,135.02373046875,132.0
26500,135.9580810546875,133.0
26750,136.89202473958335,134.0
27000,137.827197265625,135.0
27250,138.76280110677084,136.0
27500,139.69853515625,137.0
27750,140.63448079427084,138.0
28000,141.5709716796875,139.0
28250,142.50773111979166,140.0
28500,143.44453938802084,141.0
28750,144.38160807291666,142.0
29000,145.31909993489583,143.0
29250,146.256884765625,144.0
29500,147.19454752604167,145.0
29750,148.1319580078125,145.0
30000,149.07027994791667,146.0
30250,150.00859375,147.0
30500,150.94697265625,148.0
30750,151.88527018229166,149.0
31000,152.82496744791666,150.0
31250,153.76515299479166,151.0
31500,154.70546875,152.0
31750,155.646240234375,153.0
32000,156.58743489583333,154.0
32250,157.528662109375,155.0
32500,158.469775390625,156.0
32750,159.41072591145834,157.0
33000,160.35232747395833,158.0
33250,161.294189453125,159.0
33500,162.23636067708333,160.0
33750,163.1779296875,160.0
34000,164.11980794270832,161.0
34250,165.06233723958334,162.0
34500,166.005029296875,163.0
34750,166.94781901041668,164.0
35000,167.89060872395834,165.0
35250,168.83486328125,166.0
35500,169.77952473958334,167.0
35750,170.72420247395834,168.0
36000,171.66940104166667,169.0
36250,172.614404296875,170.0
36500,173.55989583333334,171.0
36750,174.505419921875,172.0
37000,175.45091145833334,173.0
37250,176.39659830729167,174.0
37500,177.34270833333332,175.0
37750,178.289208984375,176.0
38000,179.23603515625,177.0
38250,180.182568359375,177.0
38500,181.12957356770832,178.0
38750,182.07727864583333,179.0
39000,183.02516276041666,180.0
39250,183.97325846354167,181.0
39500,184.921142578125,182.0
39750,185.86962890625,183.0
40000,186.81884765625,184.0
40250,187.768212890625,185.0
40500,188.717724609375,186.0
40750,189.66778971354168,187.0
41000,190.61770833333333,188.0
41250,191.56805013020832,189.0
41500,192.51834309895833,190.0
41750,193.46873372395834,191.0
42000,194.41944986979166,192.0
42250,195.370654296875,193.0
42500,196.32220052083332,194.0
42750,197.274169921875,195.0
43000,198.22630208333334,196.0
43250,199.17804361979168,196.0
43500,200.13035481770834,197.0
43750,201.08297526041667,198.0
44000,202.03575846354167,199.0
44250,202.98857421875,200.0
44500,203.94143880208333,201.0
44750,204.89451497395834,202.0
45000,205.84853515625,203.0
45250,206.80276692708333,204.0
45500,207.7572265625,205.0
45750,208.7119140625,206.0
46000,209.667138671875,207.0
46250,210.62234700520833,208.0
46500,211.57794596354168,209.0
46750,212.533740234375,210.0
47000,213.48971354166667,211.0
47250,214.44586588541668,212.0
47500,215.40237630208333,213.0
47750,216.35911458333334,214.0
48000,217.31604817708333,215.0
48250,218.2734375,216.0
48500,219.23072916666666,217.0
48750,220.187890625,217.0
49000,221.145556640625,218.0
49250,222.10361328125,219.0
49500,223.06183268229168,220.0
49750,224.020263671875,221.0
50000,224.97874348958334,222.0
50250,225.937255859375,223.0
50500,226.89635416666667,224.0
50750,227.85621744791666,225.0
51000,228.81638997395834,226.0
51250,229.776806640625,227.0
51500,230.73743489583333,228.0
51750,231.69853515625,229.0
52000,232.65960286458332,230.0
