t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.02299426682293415,0.0022954654414206743,1,"[12, 39]","[52, 486]",9,-2.5169134722234534e-06,-3.322455695878251e-06,0.9710726097102376,0.8677810555945715,0.0023139835607017267,0.002305874049851442,0.0023116126383067037,0.00024947524070739746,0.0005235970020294189,1.0,1.0,0.012738618068397045,0.0022644817363470793,109131.65846383298,9758.965886821486,-68.32323187589645,398.9665212035179,327.1186250448227,0.018304291123058647,0.0006343820314214099
2000,0.022219501435756683,0.003380193142220378,1,"[12, 41]","[54, 486]",9,-6.060852793054682e-06,-2.6802556521160474e-06,0.9974535759494739,0.9662482170311676,0.001852935712938153,0.001852935712938153,0.001852935712938153,0.0003567636013031006,0.00012561678886413574,1.0,1.0,0.00915922038257122,0.0022131255827844143,108422.6149093243,10296.931018986454,-777.3664674162865,936.9317549467087,151.9267441034317,0.018623259413288906,0.0007359602550423006
3000,0.021395176649093628,0.003779687685891986,1,"[12, 44]","[57, 486]",9,-2.9701105922527703e-06,-2.8290759918429773e-06,0.9651421828430274,0.9817630521921388,0.002022230992373808,0.002022230992373808,0.002022230992373808,0.0003369450569152832,0.0003477931022644043,1.0,1.0,0.01339693646878004,0.0025051706470549107,107676.43236659252,11121.411632543623,-1523.5535443425179,1761.4123806357384,228.5269690155983,0.014089064963627607,0.0007480921158276033
4000,0.02346056140959263,0.00395927531644702,1,"[12, 48]","[60, 486]",8,-5.124150709450486e-06,-2.73008687206415e-06,0.9413988487097844,0.9876020221799315,0.0019601676843158944,0.0019601676843158944,0.001965634287732443,0.0003439486026763916,0.00023737549781799316,1.0,1.0,0.015167001634836197,0.0023269823286682367,106808.31677923253,11942.62938057967,-2391.67208224535,2582.630235314369,181.0550273656845,0.011138522124383599,0.0008547346988052595
5000,0.02128000557422638,0.004005913622677326,1,"[12, 51]","[64, 486]",9,-3.209022375253541e-06,-2.7493461729280617e-06,0.9658200458411899,0.9929672621662081,0.0019590192662649053,0.0019590192662649053,0.0019590192662649053,0.00035822391510009766,0.00028634071350097656,1.0,1.0,0.013059436343610287,0.0024780293460935354,105946.29057285096,12816.994067695925,-3253.6985805630684,3456.994985997677,193.40322065353394,0.010846585966646671,0.0009183017518807901
6000,0.02232743240892887,0.004044579342007637,1,"[12, 55]","[68, 486]",9,-3.195203203906742e-06,-2.749973639269515e-06,0.960754711701592,0.9950330767289804,0.0019781272928038884,0.001972333851388064,0.0019781272928038884,0.00039336085319519043,0.0002689957618713379,1.0,1.0,0.015161266550421715,0.002856391714885831,105063.25934019481,13687.466266711484,-4136.7302904725075,4327.467267155647,181.13534808158875,0.010369332681875676,0.001000444162855274
7000,0.023779727518558502,0.0040578837506473064,1,"[12, 59]","[71, 486]",8,-1.9415792605034716e-06,-2.744724205646109e-06,0.6373894597255155,0.9864590126695142,0.001904098628970452,0.001904098628970452,0.001904098628970452,0.00037872791290283203,0.00027257204055786133,1.0,1.0,0.015990082174539566,0.0023205787874758244,104179.83518687014,14567.590054066039,-5020.155464351177,5207.591128766537,178.2834051847458,0.009348778679850511,0.0010747004980657948
8000,0.021351134404540062,0.004052517004311085,1,"[12, 62]","[75, 486]",9,-2.8642300082582235e-06,-2.718946182251891e-06,0.9497922532023845,0.9922566346176537,0.0019522681168663292,0.0019522681168663292,0.0019522681168663292,0.00038427114486694336,0.0002796053886413574,1.0,1.0,0.013287563808262348,0.0025359143037348986,103294.38229560183,15447.233341142703,-5905.608159959316,6087.234433948994,173.01215946674347,0.00954443885711953,0.0010928062911261804
9000,0.02230866439640522,0.004065713379532099,1,"[12, 66]","[79, 486]",9,-2.899766536308502e-06,-2.7502102372877554e-06,0.9763241488729809,0.9950773002570713,0.0019661691535581838,0.0019602122826850032,0.0019661691535581838,0.0003882944583892822,0.0002740025520324707,1.0,1.0,0.015121160075068474,0.0028517241589725018,102407.1831253565,16328.203763010197,-6792.808046400547,6968.204916477203,167.36452507972717,0.008828242949675769,0.0011534670065884711
10000,0.02372662164270878,0.004071556963026524,1,"[12, 70]","[82, 486]",8,-2.228258287473629e-06,-2.738020886551903e-06,0.8017029504430397,0.9858067217287477,0.0019067494389621853,0.0019067494389621853,0.0019125677460331003,0.0003743171691894531,0.00027382373809814453,1.0,1.0,0.015879526734352112,0.002315963851287961,101519.1414049028,17211.190268444443,-7680.848847448826,7851.1914294958115,162.91702127456665,0.009747648378834128,0.0011610513683990575
11000,0.021290913224220276,0.004061774350702763,1,"[12, 73]","[86, 486]",9,-3.0677637557154887e-06,-2.728156486851116e-06,0.9813562685578596,0.9935131082545781,0.0019660858394893177,0.0019660858394893177,0.0019660858394893177,0.00038188695907592773,0.0002773404121398926,1.0,1.0,0.01310843788087368,0.0025057329330593348,100630.86607620862,18093.26037383761,-8569.124576866627,8733.261664748192,157.32627350091934,0.009346924751298502,0.0012909105826111045
12000,0.022104114294052124,0.004074119031429291,1,"[12, 77]","[90, 486]",9,-3.196048986666259e-06,-2.750165963098498e-06,0.9954635110934101,0.995221847813381,0.0019741130114109273,0.0019680709584256606,0.0019741130114109273,0.0003731250762939453,0.0002752840518951416,1.0,1.0,0.014731194823980331,0.0028241469990462065,99741.89386495593,18976.767897296075,-9458.096971690655,9616.769351005554,152.4752539396286,0.009163353417534381,0.0014537094793922734
13000,0.023564759641885757,0.00408020056784153,1,"[12, 81]","[93, 486]",8,-2.637955233873362e-06,-2.7334027911031047e-06,0.882890438966026,0.9850129185695958,0.0019174439645640584,0.0019174439645640584,0.001923563448072263,0.00036281347274780273,0.0002740621566772461,1.0,1.0,0.015497670508921146,0.0023293711710721254,98851.58930223064,19861.395347701666,-10348.401396811008,10501.396684288979,147.39870661497116,0.009300958350650035,0.0013365873128350358
14000,0.021172262728214264,0.004069332033395767,1,"[12, 84]","[97, 486]",9,-2.87721786355524e-06,-2.7335138117020022e-06,0.99293722111391,0.9937451611977489,0.0019573240890772836,0.0019573240890772836,0.0019573240890772836,0.00038319826126098633,0.0002757906913757324,1.0,1.0,0.012771821580827236,0.00246121222153306,97961.26479202979,20745.62700462269,-11238.72649627924,11385.62840217352,141.88908076286316,0.008711690970812924,0.0013975508300063666
15000,0.022029900923371315,0.004081697203218937,1,"[12, 88]","[101, 486]",9,-3.0832570135297687e-06,-2.759769196679644e-06,0.9966923208653146,0.9945104587254023,0.001971869146315919,0.001971869146315919,0.001971869146315919,0.00037360191345214844,0.0002727806568145752,1.0,1.0,0.013851268216967583,0.0027201336342841387,97070.00445811053,21631.22974741683,-12129.98725003004,12271.231141149998,136.79794865846634,0.008291859427117743,0.0013937331677880138
