t,x_vol,x_cross
250,42.16319376627604,40.0
500,42.640386962890624,40.0
750,43.24310099283854,41.0
1000,44.002252197265626,41.0
1250,44.951531982421876,42.0
1500,46.052775065104164,43.0
1750,47.20264485677083,45.0
2000,48.396183268229166,46.0
2250,49.657763671875,47.0
2500,50.947757975260416,48.0
2750,52.247989908854166,50.0
3000,53.56645100911458,51.0
3250,54.90365397135417,52.0
3500,56.2445068359375,54.0
3750,57.58959147135417,55.0
4000,58.942041015625,56.0
4250,60.2977783203125,58.0
4500,61.65677083333333,59.0
4750,63.01748860677083,60.0
5000,64.379638671875,62.0
5250,65.74578450520833,63.0
5500,67.11121826171875,65.0
5750,68.47832438151042,66.0
6000,69.84835205078124,67.0
6250,71.21664632161458,69.0
6500,72.58782145182292,70.0
6750,73.96031087239584,71.0
7000,75.33105061848958,73.0
7250,76.70560302734376,74.0
7500,78.08011881510417,75.0
7750,79.45523681640626,77.0
8000,80.831982421875,78.0
8250,82.20780436197917,80.0
8500,83.58597005208334,81.0
8750,84.96402180989584,82.0
9000,86.34203287760417,84.0
9250,87.72105305989584,85.0
9500,89.10033365885417,86.0
9750,90.48163248697917,88.0
10000,91.86092936197916,89.0
10250,93.24186197916667,91.0
10500,94.62395833333333,92.0
10750,96.00475260416667,93.0
11000,97.38812662760417,95.0
11250,98.77063802083333,96.0
11500,100.153955078125,98.0
11750,101.539501953125,99.0
12000,102.922900390625,100.0
12250,104.3080078125,102.0
12500,105.69363606770834,103.0
12750,107.0796875,104.0
13000,108.46710611979167,106.0
13250,109.85438639322916,107.0
13500,111.24147135416666,109.0
13750,112.63023274739584,110.0
14000,114.019970703125,111.0
14250,115.40829264322916,113.0
14500,116.79927571614583,114.0
14750,118.18929036458333,116.0
15000,119.58053385416666,117.0
15250,120.972900390625,118.0
15500,122.36275227864583,120.0
15750,123.756396484375,121.0
16000,125.14908040364584,123.0
16250,126.54227701822917,124.0
16500,127.93704427083334,125.0
16750,129.32950032552083,127.0
17000,130.72498372395833,128.0
17250,132.11990559895833,130.0
17500,133.51617838541665,131.0
17750,134.91234537760417,132.0
18000,136.30777180989583,134.0
18250,137.70537109375,135.0
18500,139.10206705729166,136.0
18750,140.50152180989582,138.0
19000,141.89881184895833,139.0
19250,143.29728190104166,141.0
19500,144.69674479166667,142.0
19750,146.0948486328125,143.0
20000,147.49622395833333,145.0
20250,148.8947265625,146.0
20500,150.29519856770833,148.0
20750,151.69601236979167,149.0
21000,153.09620768229166,150.0
21250,154.49869791666666,152.0
21500,155.89915364583334,153.0
21750,157.30089518229167,155.0
22000,158.70286458333334,156.0
22250,160.10548502604166,157.0
22500,161.508544921875,159.0
22750,162.91180013020832,160.0
23000,164.31407877604167,162.0
23250,165.71735026041668,163.0
23500,167.12174479166666,165.0
23750,168.52511393229167,166.0
24000,169.930517578125,167.0
24250,171.33310546875,169.0
24500,172.73836263020834,170.0
24750,174.14322916666666,172.0
25000,175.54755859375,173.0
25250,176.95364583333333,174.0
25500,178.35660807291666,176.0
25750,179.7630859375,177.0
26000,181.16765950520832,179.0
26250,182.57403971354168,180.0
26500,183.97941080729166,181.0
26750,185.38356119791666,183.0
27000,186.78987630208334,184.0
27250,188.19388020833333,186.0
27500,189.60154622395834,187.0
27750,191.00546875,188.0
28000,192.41124674479167,190.0
28250,193.81647135416668,191.0
28500,195.22109375,193.0
28750,196.62820638020833,194.0
29000,198.03118489583332,195.0
29250,199.43787434895833,197.0
29500,200.842333984375,198.0
29750,202.2478515625,200.0
30000,203.65361328125,201.0
30250,205.05849609375,202.0
30500,206.46437174479166,204.0
30750,207.86848958333334,205.0
31000,209.27386067708332,207.0
31250,210.67854817708334,208.0
31500,212.08478190104168,209.0
31750,213.48946940104167,211.0
32000,214.895556640625,212.0
32250,216.30026041666667,214.0
32500,217.705322265625,215.0
32750,219.11217447916667,216.0
33000,220.51663411458333,218.0
33250,221.92405598958334,219.0
33500,223.32750651041667,221.0
33750,224.7330078125,222.0
34000,226.135986328125,224.0
34250,227.53841145833334,225.0
34500,228.942333984375,226.0
34750,230.3408203125,228.0
35000,231.74202473958334,229.0
35250,233.13982747395832,231.0
35500,234.53883463541666,232.0
35750,235.93302408854166,233.0
36000,237.32303059895833,235.0
36250,238.7125,236.0
