t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.02221638150513172,0.0039530592039227486,1,"[12, 39]","[52, 250]",9,-1.2907225715959104e-05,-6.011221877847244e-06,0.9998123590582518,0.9408161948916295,0.002207889329786883,0.0021924019766128566,0.002207889329786883,0.00038307905197143555,0.0002052783966064453,1.0,1.0,0.014945034869015217,0.002754374174401164,52158.470623616464,9809.001288661413,-401.5235675573349,449.0019744038582,44.052321553230286,0.00580882620124612,0.000685742445057258
2000,0.021711530163884163,0.005399669520556927,1,"[12, 43]","[56, 250]",9,-7.161666308682625e-06,-4.073892302711135e-06,0.9976289841250364,0.984231000520966,0.0019099901456559598,0.001898170902878027,0.0019099901456559598,0.00046637654304504395,0.0003800392150878906,1.0,1.0,0.013871872797608376,0.0028260289691388607,51094.44453677746,10868.735685209305,-1465.5493935346603,1508.7363490462303,36.14874243736267,0.006069687879062258,0.0006638369250140386
3000,0.0217693243175745,0.0057767159305512905,1,"[12, 49]","[61, 250]",8,-5.218967435035627e-06,-3.908198496275325e-06,0.9758427763187546,0.9741908844003433,0.0018626170541722886,0.0018626170541722886,0.00186014949724983,0.0004911720752716064,0.0004011392593383789,1.0,1.0,0.013056498020887375,0.002702888334169984,49847.29139403449,12111.41518599215,-2712.7034183740616,2751.415578722954,30.209874272346497,0.0051875914505217224,0.00039273080437851604
4000,0.020348524674773216,0.0058726901188492775,1,"[12, 54]","[66, 250]",8,-5.218866974368193e-06,-3.917420923838952e-06,0.9859449341180185,0.9751344134362406,0.0018581769360669909,0.0018581769360669909,0.0018581769360669909,0.000478208065032959,0.00040087103843688965,1.0,1.0,0.011232957243919373,0.002463763114064932,48551.01067830872,13401.925119165835,-4008.9849294424057,4041.925608277321,23.943341374397278,0.00439224887668388,0.0004891114858764922
5000,0.022372905164957047,0.005934866610914469,1,"[12, 59]","[72, 250]",9,-5.006621299684932e-06,-3.996374309727834e-06,0.9552944843394746,0.9767080336124244,0.001846846428416149,0.0018336439574730412,0.001846846428416149,0.0004583895206451416,0.00039839744567871094,1.0,1.0,0.015948085114359856,0.0030322649981826544,47239.462873839155,14707.026728053574,-5320.532523989677,5347.027317643166,17.431272268295288,0.004602171167789493,0.0005895895919820759
6000,0.020653653889894485,0.00593965407460928,1,"[12, 65]","[77, 250]",8,-4.098912704921265e-06,-3.949453202421067e-06,0.9381658846941567,0.973207975371923,0.0018396317746743884,0.0018396317746743884,0.0018396317746743884,0.0005038678646087646,0.0003992915153503418,1.0,1.0,0.011074292473495007,0.0025551514700055122,45920.96064826097,16017.518417304718,-6639.034401774406,6657.518861413002,9.568355083465576,0.00494996462657582,0.0004441082837729482
7000,0.022619493305683136,0.005972549319267273,1,"[12, 70]","[82, 250]",8,-4.585272801821571e-06,-3.845482949552051e-06,0.9212195502035795,0.9126360152554358,0.0018187894781422353,0.0018187894781422353,0.0018334474173811732,0.00046074390411376953,0.0004089772701263428,1.0,1.0,0.016447125002741814,0.0030618251767009497,44598.74331387159,17333.07409677656,-7961.251256942749,7973.074485898018,3.1588765382766724,0.005429185657703783,0.00038912145828362554
8000,0.020712563768029213,0.0059693800285458565,1,"[12, 76]","[88, 250]",8,-3.756915693316665e-06,-3.944476909525606e-06,0.9803146215195531,0.9677512205682413,0.0018193919268970626,0.0018193919268970626,0.0018193919268970626,0.0005099475383758545,0.00039502978324890137,1.0,1.0,0.011168832890689373,0.002565226750448346,43272.45679726253,18650.656657582174,-9287.5378947258,9290.657045185566,-5.262462258338928,0.005308011670422275,0.0003876033915730659
9000,0.022587357088923454,0.005995417013764381,1,"[12, 81]","[93, 250]",8,-4.90445179533532e-06,-3.7860471010685816e-06,0.9688023914113492,0.8884219787921928,0.0018365331937629237,0.0018365331937629237,0.001852003065630825,0.0004527568817138672,0.0004131495952606201,1.0,1.0,0.01635550707578659,0.0030606351792812347,41944.64922196397,19972.080233328837,-10615.34538769722,10612.080956280231,-11.378798604011536,0.005390338810684625,0.0007229513939819299
10000,0.020633073523640633,0.0059845237992703915,1,"[12, 87]","[99, 250]",8,-3.945363704033742e-06,-3.868413017203269e-06,0.9713988248179752,0.9442969428578019,0.0018060755053255773,0.0018060755053255773,0.0018060755053255773,0.0004963278770446777,0.000394672155380249,1.0,1.0,0.011101250536739826,0.002556066494435072,40613.861867560816,21294.095016832372,-11946.13341140747,11934.09588867426,-19.965423703193665,0.004721031713415869,0.0008718418866919819
11000,0.02240315079689026,0.006010287906974554,1,"[12, 92]","[104, 250]",8,-4.721242904779528e-06,-3.711574674014286e-06,0.9867218922491147,0.8616336459272559,0.0018323539393311217,0.0018323539393311217,0.001848771944216121,0.0004596412181854248,0.0004163086414337158,1.0,1.0,0.016052203252911568,0.003042062511667609,39283.00796153032,22618.74066822924,-13276.986913442612,13258.741633117199,-26.125334858894348,0.0051250270698801614,0.0009648879604355898
12000,0.020448068156838417,0.005998932756483555,1,"[12, 98]","[110, 250]",8,-4.273774494645977e-06,-3.841214952528678e-06,0.9789200463981843,0.9298979752692834,0.001812539437407945,0.001812539437407945,0.001812539437407945,0.00047785043716430664,0.0003935396671295166,1.0,1.0,0.011255105957388878,0.0025237896479666233,37948.80666190931,23944.72248948416,-14611.188670635223,14584.723520934582,-34.487934708595276,0.004667455468734261,0.0010314504215784837
13000,0.022107146680355072,0.006025392096489668,1,"[12, 103]","[116, 250]",9,-4.402969669130701e-06,-3.941824930302576e-06,0.9825975089511675,0.952094581283641,0.0018365388956177453,0.0018203391645298939,0.0018365388956177453,0.0004718601703643799,0.0003947913646697998,1.0,1.0,0.015086785890161991,0.0029739001765847206,36614.115812828735,25272.793504471545,-15945.879184484482,15912.794210731983,-41.48133373260498,0.005002686782972887,0.0007062604381644633
14000,0.02389652468264103,0.006025984417647123,1,"[12, 109]","[121, 250]",8,-4.644903250300984e-06,-3.721748773602306e-06,0.9954462061095328,0.955860179187968,0.0018303143727351756,0.0018303143727351756,0.0018303143727351756,0.00046059489250183105,0.00040277838706970215,1.0,1.0,0.02389652468264103,0.0033203221391886473,35277.29784426358,26602.992611692833,-17282.697288155556,17242.993199765682,-48.73480296134949,0.004867580864811316,0.0005880728494958021
