h,validity_variant,estimator,Pc_short,Pc_long,a_h,gate_|a-1|<=0.10
26,V0_base_12col,median,0.0028758080218977966,0.0030640634887698637,1.0618397537282553,True
26,V0_base_12col,mean,0.002864210062495282,0.00306216091924893,1.0658740681632797,True
26,V1_window_x,median,0.0028641290816008302,0.0030640634887698637,1.0674262998785262,True
26,V1_window_x,mean,0.002848864181331767,0.003063465867386815,1.0742527588563178,True
26,V2_positional,median,0.0028644424352952114,0.0030640634887698637,1.06727640914953,True
26,V2_positional,mean,0.0028566555857989398,0.003063465867386815,1.070525790524902,True
26,V3_gradient,median,0.0028758080218977966,0.0030640634887698637,1.0618397537282553,True
26,V3_gradient,mean,0.00288010772826126,0.003063465867386815,1.059307608664471,True
26,V3_r2_090,median,0.002884662439341462,0.0030640634887698637,1.0576042999606177,True
26,V3_r2_090,mean,0.0028878682701941848,0.003063465867386815,1.055595403228276,True
40,V0_base_12col,median,0.0017853807066470218,0.001934519284130909,1.078190921615381,True
40,V0_base_12col,mean,0.0017639178099448565,0.0019382448817744544,1.1053304565950686,False
40,V1_window_x,median,0.0017710374848023958,0.0019330807096912261,1.0904892769043284,True
40,V1_window_x,mean,0.00175105654986056,0.0019353552318720272,1.1139805624302388,False
40,V2_positional,median,0.0017712680634653644,0.0019330807096912261,1.090257199803042,True
40,V2_positional,mean,0.0017589831798457195,0.0019353552318720272,1.1060024204536842,False
40,V3_gradient,median,0.0017872932894109073,0.0019330807096912261,1.0741278323367573,True
40,V3_gradient,mean,0.0017709623602399083,0.0019353552318720272,1.093945392167196,True
40,V3_r2_090,median,,0.0019330807096912261,,
40,V3_r2_090,mean,,0.0019353552318720272,,
