step,umax,Pc,n_mixed,n_liq,n_gas
250,0.021478518843650818,0.0038939714431762695,14,56,170
500,0.021557973697781563,0.002150893211364746,14,56,170
750,0.023811548948287964,0.003930926322937012,16,56,168
1000,0.023338662460446358,0.0033103227615356445,18,54,168
1250,0.023495683446526527,0.0034384727478027344,18,54,168
1500,0.025153731927275658,0.003686577081680298,20,54,166
1750,0.025548098608851433,0.0034194886684417725,20,54,166
2000,0.025264518335461617,0.0037550032138824463,20,54,166
2250,0.025219349190592766,0.0034811198711395264,20,54,166
2500,0.025344422087073326,0.0036867260932922363,20,54,166
2750,0.025474565103650093,0.0035717785358428955,20,54,166
3000,0.02562861703336239,0.0036287307739257812,20,54,166
3250,0.025637079030275345,0.003618866205215454,20,54,166
3500,0.025483891367912292,0.0036056339740753174,20,54,166
3750,0.025309089571237564,0.003634542226791382,20,54,166
4000,0.025260820984840393,0.003611236810684204,20,54,166
4250,0.025307413190603256,0.0036358237266540527,20,54,166
4500,0.025277886539697647,0.0036220550537109375,20,54,166
4750,0.025282492861151695,0.0036318600177764893,20,54,166
5000,0.02531265653669834,0.003630340099334717,20,54,166
5250,0.025466378778219223,0.00363314151763916,20,54,166
5500,0.025516202673316002,0.003637254238128662,20,54,166
5750,0.0255449116230011,0.003636658191680908,20,54,166
6000,0.025487979874014854,0.003640085458755493,20,54,166
6250,0.025372516363859177,0.0036405324935913086,20,54,166
6500,0.025319477543234825,0.0036438405513763428,20,54,166
6750,0.025259364396333694,0.0036449134349823,20,54,166
7000,0.025308705866336823,0.003646343946456909,20,54,166
7250,0.025445427745580673,0.003648430109024048,20,54,166
7500,0.02538485638797283,0.003649801015853882,20,54,166
7750,0.02550419606268406,0.0036514103412628174,20,54,166
8000,0.02549312636256218,0.0036524832248687744,20,54,166
8250,0.02549191191792488,0.003654390573501587,20,54,166
8500,0.0254186000674963,0.00365564227104187,20,54,166
8750,0.025278493762016296,0.003657042980194092,20,54,166
9000,0.025491531938314438,0.0036585330963134766,20,54,166
9250,0.025266999378800392,0.0036597251892089844,20,54,166
9500,0.02548648789525032,0.0036610960960388184,20,54,166
9750,0.025470569729804993,0.0036623775959014893,20,54,166
10000,0.02534491755068302,0.0036637187004089355,20,54,166
10250,0.025464441627264023,0.003664940595626831,20,54,166
10500,0.02526441216468811,0.003666132688522339,20,54,166
10750,0.02544679492712021,0.0036673247814178467,20,54,166
11000,0.025331411510705948,0.0036686956882476807,20,54,166
11250,0.02526528388261795,0.003669440746307373,20,54,166
11500,0.025214336812496185,0.0036711394786834717,20,54,166
11750,0.02542477659881115,0.0036717355251312256,20,54,166
12000,0.025248777121305466,0.0036725401878356934,20,54,166
12250,0.025346051901578903,0.0036736726760864258,20,54,166
12500,0.025414377450942993,0.003675311803817749,20,54,166
12750,0.025238260626792908,0.0036757290363311768,20,54,166
13000,0.025331391021609306,0.0036775171756744385,20,54,166
13250,0.02533186785876751,0.0036784708499908447,20,54,166
13500,0.025226660072803497,0.0036783814430236816,20,54,166
13750,0.025316867977380753,0.0036793947219848633,20,54,166
14000,0.0252225399017334,0.003680020570755005,20,54,166
14250,0.02519705891609192,0.003681391477584839,20,54,166
14500,0.02520526386797428,0.003681749105453491,20,54,166
14750,0.025303570553660393,0.0036827027797698975,20,54,166
15000,0.025200868025422096,0.0036835074424743652,20,54,166
15250,0.025217076763510704,0.0036840736865997314,20,54,166
15500,0.02529222145676613,0.0036840736865997314,20,54,166
15750,0.025202836841344833,0.0036850273609161377,20,54,166
16000,0.025197768583893776,0.0036862194538116455,20,54,166
16250,0.02520386129617691,0.003687053918838501,20,54,166
16500,0.025187289342284203,0.003687053918838501,20,54,166
16750,0.025187723338603973,0.003687530755996704,20,54,166
17000,0.02524827979505062,0.003689020872116089,20,54,166
17250,0.025168536230921745,0.003689378499984741,20,54,166
17500,0.02517089806497097,0.0036895573139190674,20,54,166
17750,0.0251661017537117,0.0036904215812683105,20,54,166
18000,0.02516544796526432,0.0036905109882354736,20,54,166
18250,0.02516588568687439,0.0036908984184265137,20,54,166
18500,0.025166384875774384,0.0036910176277160645,20,54,166
18750,0.025166891515254974,0.0036912262439727783,20,54,166
19000,0.025167427957057953,0.003691345453262329,20,54,166
19250,0.02516794390976429,0.003691554069519043,20,54,166
