t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
250,82.38306,242.61694,82.38306,0.0,-80.11694,83.18859100341797,242.81140899658203,1.0,3.446512467538317e-07
500,81.99796,243.00201,81.997986,2.2888184e-05,-80.50203,83.18781280517578,242.81217193603516,0.9999847412109375,1.2796570857365926e-05
750,81.95052,243.04945,81.95055,2.2888184e-05,-80.54947,83.21408081054688,242.7859115600586,0.9999923706054688,2.2296810833116373e-05
1000,81.87675,243.12318,81.876816,6.866455e-05,-80.623215,83.23339080810547,242.7666778564453,1.0000686645507812,3.713846206665039e-05
1250,81.82586,243.17403,81.82597,0.00011444092,-80.67409,83.19402313232422,242.80597686767578,1.0,3.954101664324601e-05
1500,81.87026,243.12967,81.87033,6.866455e-05,-80.6297,83.2415771484375,242.75838470458984,0.9999618530273438,4.255685955286026e-05
1750,81.81827,243.18164,81.81836,9.1552734e-05,-80.68169,83.1879653930664,242.8119659423828,0.9999313354492188,4.65834295998017e-05
2000,81.85397,243.14598,81.85402,4.5776367e-05,-80.646,83.22209167480469,242.77788543701172,0.9999771118164062,4.6345858524243034e-05
2250,81.827965,243.17204,81.82796,7.6293945e-06,-80.67204,83.19686889648438,242.80311584472656,0.9999847412109375,4.6690143644809726e-05
2500,81.83178,243.1682,81.8318,2.2888184e-05,-80.66821,83.19917297363281,242.80078887939453,0.9999618530273438,4.783764791985353e-05
2750,81.83501,243.16498,81.83502,1.5258789e-05,-80.664986,83.20278930664062,242.7971649169922,0.9999542236328125,5.0340605278809864e-05
3000,81.81849,243.1815,81.8185,7.6293945e-06,-80.6815,83.18559265136719,242.81439971923828,0.9999923706054688,5.2145148317019144e-05
3250,81.83251,243.16756,81.83244,6.866455e-05,-80.66753,83.19929504394531,242.80074310302734,1.0000381469726562,5.467467630902926e-05
3500,81.81441,243.18568,81.814316,9.1552734e-05,-80.68564,83.18119049072266,242.81886291503906,1.0000534057617188,5.6093813230594e-05
3750,81.823784,243.1763,81.8237,8.392334e-05,-80.676254,83.18994903564453,242.8100814819336,1.000030517578125,5.686420947313309e-05
4000,81.81444,243.18567,81.81433,0.00010681152,-80.685616,83.18074798583984,242.8192901611328,1.0000381469726562,5.8079703400532404e-05
4250,81.81427,243.18588,81.81412,0.00015258789,-80.68581,83.18002319335938,242.82003021240234,1.0000534057617188,5.888477588693301e-05
4500,81.81369,243.1865,81.81351,0.00018310547,-80.6864,83.17957305908203,242.82050323486328,1.0000762939453125,5.964435636997223e-05
4750,81.80725,243.19293,81.80707,0.00018310547,-80.69284,83.17288208007812,242.82717895507812,1.00006103515625,6.0657598078250884e-05
5000,81.81006,243.19014,81.80986,0.00019836426,-80.69004,83.17565155029297,242.82440185546875,1.0000534057617188,6.183651586373648e-05
5250,81.80309,243.19713,81.80287,0.00022125244,-80.69702,83.168701171875,242.83135223388672,1.0000534057617188,6.324381257096927e-05
5500,81.804565,243.19568,81.80432,0.00024414062,-80.69556,83.17003631591797,242.8300323486328,1.0000686645507812,6.417345876495044e-05
5750,81.800255,243.20001,81.79999,0.0002670288,-80.699875,83.16584777832031,242.834228515625,1.0000762939453125,6.495355317989985e-05
6000,81.798836,243.20143,81.79857,0.0002670288,-80.701294,83.16434478759766,242.83572387695312,1.0000686645507812,6.544150412082672e-05
6250,81.7972,243.2031,81.796906,0.0002975464,-80.70294,83.1628189086914,242.83724975585938,1.0000686645507812,6.596760203440985e-05
6500,81.79395,243.20636,81.79364,0.00031280518,-80.70621,83.15958404541016,242.8404769897461,1.00006103515625,6.63833258052667e-05
6750,81.79342,243.20691,81.79309,0.00032806396,-80.70674,83.15911102294922,242.8409652709961,1.0000762939453125,6.677305946747462e-05
7000,81.78998,243.21037,81.78963,0.00035095215,-80.7102,83.15577697753906,242.84429931640625,1.0000762939453125,6.707156697909037e-05
