t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
1000,38304,38287.984375,38420.87890625,1,38304,1.0034435987472534,0.3344811995824178,146,80,245,240,240,0.9340460300445557,1.0070909261703491,0.025473102927207947,0.0015446936013177037,0.8850767016410828,1.0070909261703491
2000,38352,38293.38671875,38428.8359375,1,38352,1.0033884048461914,0.33446280161539715,146,79,246,264,264,0.935513436794281,1.007468342781067,0.02503451146185398,0.0015022529987618327,0.888508677482605,1.007468342781067
3000,38376,38310.921875,38435.1171875,1,38376,1.0030699968338013,0.3343566656112671,146,79,246,276,276,0.9388106465339661,1.0069059133529663,0.025089815258979797,0.0015010131755843759,0.8879312872886658,1.0069059133529663
4000,38376,38313.25,38440.375,1,38376,1.0031520128250122,0.3343840042750041,146,79,246,276,276,0.9391183257102966,1.0070593357086182,0.02513233572244644,0.0014979633269831538,0.8879607319831848,1.0070593357086182
5000,38376,38315.69140625,38445.00390625,1,38376,1.0032154321670532,0.3344051440556844,146,79,246,276,276,0.9388414025306702,1.0070312023162842,0.025148384273052216,0.0015005652094259858,0.88801109790802,1.0070312023162842
6000,38376,38321.12890625,38449.17578125,1,38376,1.0031980276107788,0.33439934253692627,146,79,246,276,276,0.9380850791931152,1.0070353746414185,0.02515990100800991,0.001501215505413711,0.8883654475212097,1.0070353746414185
7000,38376,38325.24609375,38452.98046875,1,38376,1.003201961517334,0.33440065383911133,146,79,246,276,276,0.9375578165054321,1.007029414176941,0.02517482079565525,0.001501327264122665,0.8885858058929443,1.007029414176941
8000,38376,38328.42578125,38456.51171875,1,38376,1.0032204389572144,0.3344068129857381,146,79,246,276,276,0.9371567964553833,1.0070322751998901,0.025186574086546898,0.0015018281992524862,0.8887579441070557,1.0070322751998901
9000,38376,38331.63671875,38459.79296875,1,38376,1.0032316446304321,0.33441054821014404,146,79,246,276,276,0.9367043972015381,1.0070316791534424,0.025194501504302025,0.001502332859672606,0.888950765132904,1.0070316791534424
10000,38376,38334.71484375,38462.87109375,1,38376,1.003240942955017,0.33441364765167236,146,79,246,276,276,0.9361076354980469,1.007031798362732,0.025271130725741386,0.0015020418213680387,0.8891963958740234,1.007031798362732
