t,m_r,m_b,eps_r,eps_b,umax,urms,rho_min,rho_max,E_psi
1000,38399.99925648609,38399.99936083506,1.9362341466451956e-08,1.664492022731186e-08,0.025473102927207947,0.0015446936013177037,0.8850767016410828,1.0070909261703491,3.713846206665039e-05
2000,38399.999496326185,38399.99927254858,1.3116505594249853e-08,1.8944047421124803e-08,0.02503451146185398,0.0015022529987618327,0.888508677482605,1.007468342781067,4.6345858524243034e-05
3000,38399.999604573255,38399.99924054473,1.02975714829275e-08,1.977748108098846e-08,0.025089815258979797,0.0015010131755843759,0.8879312872886658,1.0069059133529663,5.2145148317019144e-05
4000,38399.99950612817,38399.9991814533,1.2861245484903824e-08,2.1316320347371706e-08,0.02513233572244644,0.0014979633269831538,0.8879607319831848,1.0070593357086182,5.8079703400532404e-05
5000,38399.999714314734,38399.99931511466,7.439720472272408e-09,1.7835555657560083e-08,0.025148384273052216,0.0015005652094259858,0.88801109790802,1.0070312023162842,6.183651586373648e-05
6000,38400.000366554224,38399.999384799536,9.545682928546739e-09,1.602084542658607e-08,0.02515990100800991,0.001501215505413711,0.8883654475212097,1.0070353746414185,6.544150412082672e-05
7000,38400.00020206924,38399.999139258405,5.262219815449498e-09,2.241514569808108e-08,0.02517482079565525,0.001501327264122665,0.8885858058929443,1.007029414176941,6.707156697909037e-05
8000,38400.000002558736,38399.99913935637,6.663375036926785e-11,2.2412594565442608e-08,0.025186574086546898,0.0015018281992524862,0.8887579441070557,1.0070322751998901,6.835165123144786e-05
9000,38400.00015536129,38399.99922969895,4.045866906684144e-09,2.0059923144799542e-08,0.025194501504302025,0.001502332859672606,0.888950765132904,1.0070316791534424,6.906339277823765e-05
10000,38400.00011538363,38399.99945805337,3.0047819639852e-09,1.4113193553081752e-08,0.025271130725741386,0.0015020418213680387,0.8891963958740234,1.007031798362732,6.927475954095522e-05
11000,38400.00022121381,38399.999482548155,5.760776389251987e-09,1.3475308454265663e-08,0.025251541286706924,0.001502115512266755,0.8894116282463074,1.0072239637374878,7.03334684173266e-05
12000,38400.000228066914,38399.99941520025,5.939242555541568e-09,1.5229160226226666e-08,0.02519446425139904,0.0015025438042357564,0.8896433115005493,1.0072203874588013,7.226158554355303e-05
13000,38400.000023450666,38399.99939775434,6.106944283601479e-10,1.568348068303749e-08,0.02526838146150112,0.0015020620776340365,0.8898611664772034,1.0073580741882324,7.800864055752754e-05
14000,38400.00001353423,38399.999344118885,3.524538290851827e-10,1.7080237360763324e-08,0.025219328701496124,0.0015018084086477757,0.8900713324546814,1.0070053339004517,7.422029972076416e-05
15000,38399.99966172857,38399.99934167537,8.809151760639603e-09,1.7143870536528992e-08,0.025238292291760445,0.0015023831510916352,0.8902634978294373,1.0072168111801147,7.162175451715787e-05
16000,38399.9991045289,38399.99942009905,2.3319559924554294e-08,1.510158729918961e-08,0.025358987972140312,0.0015023838495835662,0.8902888894081116,1.0073615312576294,7.396021236975988e-05
17000,38399.99898773425,38399.99925277947,2.6361087179793687e-08,1.9458868033931746e-08,0.025130242109298706,0.001502510509453714,0.8901939988136292,1.0073573589324951,7.15639628469944e-05
18000,38400.000920695675,38399.99911313191,2.3976449862554244e-08,2.3095523147276253e-08,0.025243135169148445,0.0015025566099211574,0.8900935053825378,1.0070816278457642,7.285787413517634e-05
19000,38400.00057624325,38399.99915531836,1.5006334592726488e-08,2.199691778059787e-08,0.025369442999362946,0.0015025432221591473,0.889998733997345,1.0068575143814087,7.054665436347325e-05
20000,38400.00451225802,38399.9992254397,1.1750671925862358e-07,2.0170841139588447e-08,0.025211842730641365,0.0015023850137367845,0.8899110555648804,1.0073398351669312,7.888248190283775e-05
21000,38400.004296630905,38399.99932077859,1.1189142981038458e-07,1.7688057596387806e-08,0.025223422795534134,0.001502453931607306,0.8898330330848694,1.0073127746582031,7.417437930901845e-05
22000,38400.00000180739,38399.999416441875,4.706748768512625e-11,1.5196826173754136e-08,0.025218477472662926,0.0015022387960925698,0.889763355255127,1.0071855783462524,7.391730323433877e-05
23000,38399.99895997549,38399.99960848823,2.708397156917878e-08,1.0195619021639382e-08,0.02521822415292263,0.0015030545182526112,0.8896958827972412,1.0071849822998047,8.028384298086166e-05
24000,38399.99909326197,38399.99968499248,2.361296954707844e-08,8.203320855197187e-09,0.02520603872835636,0.0015027867630124092,0.8896279335021973,1.0072604417800903,7.582095762093862e-05
25000,38399.9990627141,38399.99953695509,2.4408486941259373e-08,1.2058461228055724e-08,0.025360045954585075,0.0015027952613309026,0.8895684480667114,1.0069639682769775,7.445286959409714e-05
26000,38399.98602962854,38399.999262408906,3.638117567561494e-07,1.9208101396846663e-08,0.025374991819262505,0.001504753716289997,0.8895258903503418,1.0072613954544067,8.15629338224729e-05
27000,38399.983204681026,38399.999064957265,4.3737809827841073e-07,2.4350071233432876e-08,0.025311212986707687,0.0015023407759144902,0.8894788026809692,1.007259726524353,8.004741743206977e-05
28000,38399.983258867665,38399.99891050853,4.359669878795103e-07,2.837217361199388e-08,0.025248482823371887,0.00150289514567703,0.8894336223602295,1.0071516036987305,7.911996295054753e-05
29000,38399.98315052454,38399.998937331155,4.3878842348021863e-07,2.7673667849133685e-08,0.02524683251976967,0.0015034169191494584,0.8894171118736267,1.0072498321533203,7.83730981250604e-05
30000,38399.98296743909,38399.998959873876,4.4355627361862084e-07,2.7086617819804815e-08,0.025160325691103935,0.0015030612703412771,0.8894780278205872,1.0071967840194702,8.071944117546081e-05
31000,38399.98298473193,38399.99904039112,4.4310593940129667e-07,2.4989814543611526e-08,0.02518705651164055,0.0015036776894703507,0.8895429372787476,1.0071989297866821,8.13621034224828e-05
32000,38399.98701364854,38399.998538975444,3.381862359219667e-07,3.80475144841815e-08,0.025191834196448326,0.0015039052814245224,0.8895789384841919,1.007200002670288,8.384855464100837e-05
33000,38399.994776640044,38399.99855063059,1.360249988617094e-07,3.774399507013489e-08,0.025196991860866547,0.0015039427671581507,0.8896077275276184,1.0072014331817627,8.934068803985913e-05
34000,38399.99501925081,38399.99861017077,1.297070101221228e-07,3.6193469554746116e-08,0.02522178366780281,0.001504369080066681,0.8896501660346985,1.0072001218795776,8.281404773394266e-05
35000,38399.99498559787,38399.998601268184,1.3058338879545772e-07,3.642530771230668e-08,0.025257905945181847,0.0015041654696688056,0.8896956443786621,1.0071977376937866,8.053509518504142e-05
36000,38399.99458869316,38399.99863935303,1.409194489572959e-07,3.543351491922901e-08,0.0252859964966774,0.0015043570892885327,0.8897409439086914,1.0071945190429688,8.921187371015549e-05
37000,38399.99444424671,38399.99874613223,1.446810752743962e-07,3.2652806491266046e-08,0.025209102779626846,0.0015039595309644938,0.8897843360900879,1.0071901082992554,8.185019095738728e-05
38000,38399.99461497553,38399.99869675936,1.4023501231955986e-07,3.393855839325018e-08,0.02518969215452671,0.0015042481245473027,0.8898245692253113,1.0071552991867065,8.664471407731374e-05
39000,38399.997585729136,38399.99870103949,6.287163709354596e-08,3.382709659642084e-08,0.025202982127666473,0.0015036509139463305,0.8898573517799377,1.007190227508545,8.398937061429023e-05
40000,38399.99723490467,38399.99858447469,7.200769080858057e-08,3.686263823965419e-08,0.025224365293979645,0.0015036844415590167,0.8898903131484985,1.0071616172790527,8.272044360637664e-05
41000,38399.997248716376,38399.99856718295,7.164801104408979e-08,3.731294403526893e-08,0.025242209434509277,0.0015044360188767314,0.8899257779121399,1.0071207284927368,8.496796091397604e-05
42000,38399.99731899915,38399.99855103102,6.98177304532995e-08,3.773356714494488e-08,0.025277599692344666,0.0015037435805425048,0.8899579048156738,1.0071715116500854,8.708561460177103e-05
43000,38399.99739988896,38399.99849850068,6.771122495289697e-08,3.910154475761374e-08,0.025394126772880554,0.0015050836373120546,0.8899878859519958,1.0071508884429932,8.61210065583388e-05
44000,38399.9973731573,38399.9985623126,6.840736205049325e-08,3.7439776103080175e-08,0.02540138177573681,0.0015051581431180239,0.8900113701820374,1.007171392440796,9.020258982976278e-05
45000,38399.99735352423,38399.99866668007,6.891863980248067e-08,3.4721873210704264e-08,0.025446675717830658,0.0015040913131088018,0.8900419473648071,1.007187008857727,8.550416057308514e-05
46000,38399.99750892224,38399.99855930665,6.487181660001321e-08,3.751805593310564e-08,0.025469742715358734,0.0015044091269373894,0.8900647163391113,1.0071293115615845,8.632439499100049e-05
47000,38399.99752390781,38399.998575223406,6.448156739224942e-08,3.7103557133377765e-08,0.025520121678709984,0.0015056220581755042,0.8900883197784424,1.0071388483047485,8.707226564486821e-05
48000,38399.99854785974,38399.99863003555,3.781615267447099e-08,3.56761574948905e-08,0.025550760328769684,0.0015047859633341432,0.8901097774505615,1.0070563554763794,8.212029933929443e-05
49000,38400.01641089245,38399.99776916776,4.273669909101348e-07,5.809458950049399e-08,0.02555539831519127,0.0015050452202558517,0.8901240825653076,1.007056713104248,8.428243299325307e-05
50000,38400.038713675065,38399.99629005957,1.0081686214865234e-06,9.661303200421874e-08,0.025557292625308037,0.0015051516238600016,0.8901342749595642,1.0070573091506958,8.573573703567187e-05
51000,38400.060695970744,38399.99471218473,1.5806242381207388e-06,1.377035226823864e-07,0.025558920577168465,0.001505273743532598,0.8901440501213074,1.0070570707321167,8.629768465956052e-05
52000,38400.082336817824,38399.993045229254,2.1441879641770355e-06,1.81113821516495e-07,0.025560203939676285,0.0015053341630846262,0.8901547193527222,1.0070576667785645,8.634804437557856e-05
53000,38400.102500059045,38399.99161281288,2.669272370970551e-06,2.1841633118431977e-07,0.025561485439538956,0.001505428459495306,0.8901631832122803,1.007057785987854,8.668644353747368e-05
54000,38400.12258220492,38399.98986792253,3.1922449196978655e-06,2.638561841195042e-07,0.02556253969669342,0.0015054746763780713,0.8901721239089966,1.0070579051971436,8.636066690087318e-05
55000,38400.142143810124,38399.9880690608,3.7016617219857532e-06,3.1070154174509907e-07,0.025563672184944153,0.0015055460389703512,0.8901796936988831,1.0070581436157227,8.654748400052389e-05
56000,38400.16083097887,38399.986142460264,4.1883067414498024e-06,3.6087343062263246e-07,0.025564471259713173,0.0015055909752845764,0.8901873826980591,1.0070583820343018,8.645779142777125e-05
57000,38400.178347619876,38399.98433821449,4.64446926760805e-06,4.0785899765675516e-07,0.025565490126609802,0.0015056557022035122,0.8901938796043396,1.0070582628250122,8.634051928917567e-05
58000,38400.195799614,38399.982718500745,5.098948281177703e-06,4.500390430924502e-07,0.02556614950299263,0.0015056818956509233,0.890201210975647,1.0070587396621704,8.652384703358014e-05
59000,38400.21039088612,38399.98143660526,5.478929325969754e-06,4.834217380296954e-07,0.025567086413502693,0.0015057543059810996,0.8902075290679932,1.0070583820343018,8.646475772062937e-05
60000,38400.225428433274,38399.98019190447,5.870532116508305e-06,5.158358211095522e-07,0.02556774765253067,0.0015057653654366732,0.8902137875556946,1.0070583820343018,8.646225556731224e-05
