step,Mff,Mr,Mb,Mrho,d_fc
2000,2.880001285840e+04,1.919999962740e+04,9.600000029517e+03,2.880001283741e+04,1.320148419654e-02
4000,2.880001232677e+04,1.919999945326e+04,9.600000127255e+03,2.880001234746e+04,1.274626154191e-02
6000,2.880001468879e+04,1.919999887995e+04,9.599999952973e+03,2.880001468456e+04,1.585587287263e-02
8000,2.880001076809e+04,1.920000000413e+04,9.600000263010e+03,2.880001079249e+04,1.050094557468e-02
10000,2.880001391716e+04,1.919999943775e+04,9.599999708241e+03,2.880001394892e+04,1.477116507704e-02
12000,2.880001045133e+04,1.920000364462e+04,9.599998617180e+03,2.880001047206e+04,8.189524112822e-03
14000,2.880002273244e+04,1.920000717826e+04,9.599997765829e+03,2.880002275872e+04,1.778834372817e-02
16000,2.880002423016e+04,1.920000902110e+04,9.599997311914e+03,2.880002424896e+04,1.789714556980e-02
18000,2.880002715257e+04,1.920000952913e+04,9.599997129465e+03,2.880002709353e+04,2.049397999508e-02
20000,2.880001907949e+04,1.920000925015e+04,9.599997450432e+03,2.880001908088e+04,1.237890997982e-02
