step,Mff,Mr,Mb,Mrho,d_fc
2000,2.880001169110e+04,1.919997423287e+04,9.599984575473e+03,2.880001170009e+04,5.288275092607e-02
4000,2.880001094812e+04,1.919992482955e+04,9.599963052133e+03,2.880001092994e+04,1.230664398827e-01
6000,2.880000976863e+04,1.919988909763e+04,9.599937716954e+03,2.880000976962e+04,1.829540505478e-01
8000,2.880001464697e+04,1.919986512887e+04,9.599904742059e+03,2.880001464272e+04,2.447760497726e-01
10000,2.880000859532e+04,1.919984912970e+04,9.599872774861e+03,2.880000859755e+04,2.866907538046e-01
12000,2.880001615770e+04,1.919983107150e+04,9.599846830178e+03,2.880001616997e+04,3.382560206555e-01
14000,2.880002169180e+04,1.919980807046e+04,9.599828845034e+03,2.880002169043e+04,3.847762962087e-01
16000,2.880002163875e+04,1.919978352906e+04,9.599815093244e+03,2.880002164871e+04,4.230164447144e-01
18000,2.880002387390e+04,1.919976019208e+04,9.599802148436e+03,2.880002386588e+04,4.615333753591e-01
20000,2.880002212322e+04,1.919973713045e+04,9.599790216497e+03,2.880002211750e+04,4.947762695083e-01
