step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
100,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
200,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
300,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
400,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
500,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
600,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
700,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
800,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
900,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1000,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1100,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1200,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1300,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1400,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1500,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1600,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
