step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
0,2.059936523438e-04,2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,2.107381820679e-03,0.000000000000e+00,nan
1,-1.901388168335e-03,2.059936523438e-04,2.107381820679e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,1.563549041748e-03,0.000000000000e+00,0.000000000000e+00
2,-3.464937210083e-03,2.059936523438e-04,3.670930862427e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,1.248359680176e-03,0.000000000000e+00,0.000000000000e+00
3,-4.713296890259e-03,2.059936523438e-04,4.919290542603e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,2.455711364746e-05,0.000000000000e+00,0.000000000000e+00
4,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
10,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
11,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
12,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
13,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
14,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
15,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
16,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
17,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
18,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
