step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
100,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
200,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
300,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
400,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
500,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
600,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
700,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
800,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
900,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
1000,1.382400020599e+04,1.382400020599e+04,0.000000000000e+00,1.382400494385e+04,0.000000000000e+00,0.000000000000e+00,1.382400000000e+04,0.000000000000e+00,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00
