step,ckpt,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff
0,S0,3.276800048828e+04,3.276800048828e+04,0.000000000000e+00,3.276800000000e+04,0.000000000000e+00,0.000000000000e+00,3.276800000000e+04,0.000000000000e+00
0,S1,3.276800927734e+04,3.276800048828e+04,0.000000000000e+00,3.276800000000e+04,0.000000000000e+00,3.276800765228e+04,3.276800000000e+04,8.940696716309e-08
0,S2,3.276800927734e+04,0.000000000000e+00,0.000000000000e+00,3.276800000000e+04,0.000000000000e+00,3.276800765228e+04,3.276800000000e+04,3.333334326744e-01
0,S3,3.276800927734e+04,3.276800927734e+04,0.000000000000e+00,3.276800000000e+04,0.000000000000e+00,3.276800765228e+04,3.276800000000e+04,0.000000000000e+00
0,S4,3.276800927734e+04,3.276800927734e+04,0.000000000000e+00,3.276800000000e+04,0.000000000000e+00,3.276800765228e+04,3.276800000000e+04,0.000000000000e+00
0,S5,3.276800927734e+04,3.276800927734e+04,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00
0,S6,3.276800927734e+04,3.276800927734e+04,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00
1,S0,3.276800927734e+04,3.276800927734e+04,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00
1,S1,3.276801171875e+04,3.276800927734e+04,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,3.276801162338e+04,3.276801171875e+04,2.980232238770e-08
1,S2,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,3.276801162338e+04,3.276801171875e+04,3.333334624767e-01
1,S3,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,3.276801162338e+04,3.276801171875e+04,0.000000000000e+00
1,S4,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276800765228e+04,0.000000000000e+00,3.276801162338e+04,3.276801171875e+04,0.000000000000e+00
1,S5,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801162338e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00
1,S6,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801162338e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00
