step,ckpt,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff
0,S0,3.686400054932e+04,3.686400054932e+04,1.843200000000e+04,1.843200000000e+04,0.000000000000e+00,0.000000000000e+00,3.686400000000e+04,0.000000000000e+00
0,S1,3.686400049782e+04,3.686400054932e+04,1.843200000000e+04,1.843200000000e+04,1.843200301266e+04,1.843200301278e+04,3.686400000000e+04,3.749999403954e-02
0,S2,3.686400049782e+04,0.000000000000e+00,1.843200000000e+04,1.843200000000e+04,1.843200301266e+04,1.843200301278e+04,3.686400000000e+04,3.333333432674e-01
0,S3,3.686400049782e+04,3.686400049782e+04,1.843200000000e+04,1.843200000000e+04,1.843200301266e+04,1.843200301278e+04,3.686400000000e+04,6.249997764826e-03
0,S4,3.686400049782e+04,3.686400049782e+04,1.843200000000e+04,1.843200000000e+04,1.843200301266e+04,1.843200301278e+04,3.686400000000e+04,6.249997764826e-03
0,S5,3.686400049782e+04,3.686400049782e+04,1.843200301266e+04,1.843200301278e+04,0.000000000000e+00,0.000000000000e+00,3.686399986267e+04,0.000000000000e+00
0,S6,3.686400049782e+04,3.686400049782e+04,1.843200301266e+04,1.843200301278e+04,0.000000000000e+00,0.000000000000e+00,3.686399986267e+04,0.000000000000e+00
1,S0,3.686400049782e+04,3.686400049782e+04,1.843200301266e+04,1.843200301278e+04,0.000000000000e+00,0.000000000000e+00,3.686399986267e+04,0.000000000000e+00
1,S1,3.686400050914e+04,3.686400049782e+04,1.843200301266e+04,1.843200301278e+04,1.843200495830e+04,1.843200502007e+04,3.686399986267e+04,4.807680845261e-03
1,S2,3.686400050914e+04,0.000000000000e+00,1.843200301266e+04,1.843200301278e+04,1.843200495830e+04,1.843200502007e+04,3.686399986267e+04,3.371189236641e-01
1,S3,3.686400050914e+04,3.686400050914e+04,1.843200301266e+04,1.843200301278e+04,1.843200495830e+04,1.843200502007e+04,3.686399986267e+04,8.101850748062e-03
1,S4,3.686400050914e+04,3.686400050914e+04,1.843200301266e+04,1.843200301278e+04,1.843200495830e+04,1.843200502007e+04,3.686399986267e+04,8.101850748062e-03
1,S5,3.686400050914e+04,3.686400050914e+04,1.843200495830e+04,1.843200502007e+04,0.000000000000e+00,0.000000000000e+00,3.686400027466e+04,0.000000000000e+00
1,S6,3.686400050914e+04,3.686400050914e+04,1.843200495830e+04,1.843200502007e+04,0.000000000000e+00,0.000000000000e+00,3.686400027466e+04,0.000000000000e+00
2,S0,3.686400050914e+04,3.686400050914e+04,1.843200495830e+04,1.843200502007e+04,0.000000000000e+00,0.000000000000e+00,3.686400027466e+04,0.000000000000e+00
2,S1,3.686400097919e+04,3.686400050914e+04,1.843200495830e+04,1.843200502007e+04,1.843200597391e+04,1.843200608070e+04,3.686400027466e+04,1.172512769699e-02
2,S2,3.686400097919e+04,0.000000000000e+00,1.843200495830e+04,1.843200502007e+04,1.843200597391e+04,1.843200608070e+04,3.686400027466e+04,3.409219384193e-01
2,S3,3.686400097919e+04,3.686400097919e+04,1.843200495830e+04,1.843200502007e+04,1.843200597391e+04,1.843200608070e+04,3.686400027466e+04,5.048554390669e-03
2,S4,3.686400097919e+04,3.686400097919e+04,1.843200495830e+04,1.843200502007e+04,1.843200597391e+04,1.843200608070e+04,3.686400027466e+04,5.048554390669e-03
2,S5,3.686400097919e+04,3.686400097919e+04,1.843200597391e+04,1.843200608070e+04,0.000000000000e+00,0.000000000000e+00,3.686400072199e+04,0.000000000000e+00
2,S6,3.686400097919e+04,3.686400097919e+04,1.843200597391e+04,1.843200608070e+04,0.000000000000e+00,0.000000000000e+00,3.686400072199e+04,0.000000000000e+00
3,S0,3.686400097919e+04,3.686400097919e+04,1.843200597391e+04,1.843200608070e+04,0.000000000000e+00,0.000000000000e+00,3.686400072199e+04,0.000000000000e+00
3,S1,3.686400131054e+04,3.686400097919e+04,1.843200597391e+04,1.843200608070e+04,1.843200610262e+04,1.843200624183e+04,3.686400072199e+04,8.270919322968e-03
3,S2,3.686400131054e+04,0.000000000000e+00,1.843200597391e+04,1.843200608070e+04,1.843200610262e+04,1.843200624183e+04,3.686400072199e+04,3.469606637955e-01
3,S3,3.686400131054e+04,3.686400131054e+04,1.843200597391e+04,1.843200608070e+04,1.843200610262e+04,1.843200624183e+04,3.686400072199e+04,5.002003163099e-03
3,S4,3.686400131054e+04,3.686400131054e+04,1.843200597391e+04,1.843200608070e+04,1.843200610262e+04,1.843200624183e+04,3.686400072199e+04,5.002003163099e-03
3,S5,3.686400131054e+04,3.686400131054e+04,1.843200610262e+04,1.843200624183e+04,0.000000000000e+00,0.000000000000e+00,3.686400109857e+04,0.000000000000e+00
3,S6,3.686400131054e+04,3.686400131054e+04,1.843200610262e+04,1.843200624183e+04,0.000000000000e+00,0.000000000000e+00,3.686400109857e+04,0.000000000000e+00
4,S0,3.686400131054e+04,3.686400131054e+04,1.843200610262e+04,1.843200624183e+04,0.000000000000e+00,0.000000000000e+00,3.686400109857e+04,0.000000000000e+00
4,S1,3.686400174416e+04,3.686400131054e+04,1.843200610262e+04,1.843200624183e+04,1.843200622666e+04,1.843200638972e+04,3.686400109857e+04,5.701780319214e-03
4,S2,3.686400174416e+04,0.000000000000e+00,1.843200610262e+04,1.843200624183e+04,1.843200622666e+04,1.843200638972e+04,3.686400109857e+04,3.469740152359e-01
4,S3,3.686400174416e+04,3.686400174416e+04,1.843200610262e+04,1.843200624183e+04,1.843200622666e+04,1.843200638972e+04,3.686400109857e+04,4.662528634071e-03
4,S4,3.686400174416e+04,3.686400174416e+04,1.843200610262e+04,1.843200624183e+04,1.843200622666e+04,1.843200638972e+04,3.686400109857e+04,4.662528634071e-03
