step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
0,4.291534423828e-04,4.291534423828e-04,0.000000000000e+00,0.000000000000e+00,-2.038478851318e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.602670669556e-04,4.506707191467e-03,0.000000000000e+00,nan
1,-4.097938537598e-03,4.602670669556e-04,4.558205604553e-03,0.000000000000e+00,1.206994056702e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.081709146500e-04,3.217307152227e-03,0.000000000000e+00,0.000000000000e+00
2,-7.314038695768e-03,3.081709146500e-04,7.622209610417e-03,0.000000000000e+00,1.737587153912e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.149174153805e-04,2.082425235130e-03,0.000000000000e+00,0.000000000000e+00
3,-9.222705215507e-03,3.149174153805e-04,9.537622630887e-03,0.000000000000e+00,1.221969723701e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.186203539371e-04,1.596882066224e-04,0.000000000000e+00,0.000000000000e+00
4,-9.260196449759e-03,3.186203539371e-04,9.578816803696e-03,0.000000000000e+00,1.440327614546e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.770012408495e-04,1.559371776239e-04,0.000000000000e+00,0.000000000000e+00
5,-9.272100865928e-03,3.770012408495e-04,9.649102106778e-03,0.000000000000e+00,6.921030580997e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.871697604656e-04,7.446457311744e-05,0.000000000000e+00,0.000000000000e+00
6,-9.277355133236e-03,1.871697604656e-04,9.464524893701e-03,0.000000000000e+00,1.784544438124e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.712700515985e-04,9.285324267694e-05,0.000000000000e+00,0.000000000000e+00
7,-9.191753932100e-03,2.712700515985e-04,9.463023983699e-03,0.000000000000e+00,1.819916069508e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.892296761274e-04,1.128014009737e-04,0.000000000000e+00,0.000000000000e+00
8,-9.122563726123e-03,2.892296761274e-04,9.411793402251e-03,0.000000000000e+00,1.544486731291e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.372078597546e-04,3.934807209589e-04,0.000000000000e+00,0.000000000000e+00
9,-9.361595773953e-03,2.372078597546e-04,9.598803633708e-03,0.000000000000e+00,1.796763390303e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.001021057367e-04,1.926508011820e-04,0.000000000000e+00,0.000000000000e+00
