step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
200,2.880008087943e+04,2.880008087943e+04,1.920004677347e+04,9.600028390392e+03,0.000000000000e+00,0.000000000000e+00,2.880008086419e+04,0.000000000000e+00,5.715565101127e-03,1.523457467556e-05,-5.700330526452e-03,2.088867500424e-02
400,2.880016776652e+04,2.880016776652e+04,1.920008826443e+04,9.600054457957e+03,0.000000000000e+00,0.000000000000e+00,2.880016777617e+04,0.000000000000e+00,2.504413232236e-02,-9.650364518166e-06,-2.505378268688e-02,2.273632958531e-02
600,2.880025367598e+04,2.880025367598e+04,1.920012446626e+04,9.600081257101e+03,0.000000000000e+00,0.000000000000e+00,2.880025368398e+04,0.000000000000e+00,4.795261493200e-02,-8.005648851395e-06,-4.796062058085e-02,2.181680500507e-02
800,2.880033995206e+04,2.880033995206e+04,1.920016367029e+04,9.600109570162e+03,0.000000000000e+00,0.000000000000e+00,2.880033995372e+04,0.000000000000e+00,6.671160123369e-02,-1.665204763412e-06,-6.671326643846e-02,2.196140587330e-02
1000,2.880042615086e+04,2.880042615086e+04,1.920020358809e+04,9.600138346088e+03,0.000000000000e+00,0.000000000000e+00,2.880042616105e+04,0.000000000000e+00,8.421668070150e-02,-1.018866896629e-05,-8.422686937047e-02,2.200687117875e-02
1200,2.880051223429e+04,2.880051223429e+04,1.920024346473e+04,9.600166974288e+03,0.000000000000e+00,0.000000000000e+00,2.880051223290e+04,0.000000000000e+00,1.017952710863e-01,1.389533281326e-06,-1.017938815530e-01,2.196707949042e-02
1400,2.880059801548e+04,2.880059801548e+04,1.920028375437e+04,9.600195957525e+03,0.000000000000e+00,0.000000000000e+00,2.880059801710e+04,0.000000000000e+00,1.183035881477e-01,-1.614913344383e-06,-1.183052030610e-01,2.192477695644e-02
1600,2.880068372630e+04,2.880068372630e+04,1.920032629184e+04,9.600224940130e+03,0.000000000000e+00,0.000000000000e+00,2.880068372273e+04,0.000000000000e+00,1.324943341460e-01,3.566965460777e-06,-1.324907671806e-01,2.188814803958e-02
1800,2.880076990381e+04,2.880076990381e+04,1.920036965748e+04,9.600253607790e+03,0.000000000000e+00,0.000000000000e+00,2.880076989323e+04,0.000000000000e+00,1.466385399399e-01,1.058354973793e-05,-1.466279563901e-01,2.186240628362e-02
2000,2.880085604551e+04,2.880085604551e+04,1.920041257147e+04,9.600282197278e+03,0.000000000000e+00,0.000000000000e+00,2.880085602987e+04,0.000000000000e+00,1.612767638326e-01,1.564621925354e-05,-1.612611176133e-01,2.185074053705e-02
