step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
200,2.880008888735e+04,2.880008888735e+04,1.920003634705e+04,9.600027300270e+03,0.000000000000e+00,0.000000000000e+00,2.880008882374e+04,0.000000000000e+00,2.524003829603e-02,6.361864507198e-05,-2.517641965096e-02,2.088866010308e-02
400,2.880017545658e+04,2.880017545658e+04,1.920007065564e+04,9.600053136316e+03,0.000000000000e+00,0.000000000000e+00,2.880017547357e+04,0.000000000000e+00,5.166462616762e-02,-1.698732376099e-05,-5.168161349138e-02,2.273624576628e-02
600,2.880026214966e+04,2.880026214966e+04,1.920009946946e+04,9.600079870719e+03,0.000000000000e+00,0.000000000000e+00,2.880026218259e+04,0.000000000000e+00,8.280948213724e-02,-3.293715417385e-05,-8.284241929141e-02,2.181683294475e-02
800,2.880034829272e+04,2.880034829272e+04,1.920013184841e+04,9.600108322943e+03,0.000000000000e+00,0.000000000000e+00,2.880034828192e+04,0.000000000000e+00,1.081213623547e-01,1.079589128494e-05,-1.081105664634e-01,2.196148037910e-02
1000,2.880043411797e+04,2.880043411797e+04,1.920016504406e+04,9.600136906139e+03,0.000000000000e+00,0.000000000000e+00,2.880043411756e+04,0.000000000000e+00,1.321677635715e-01,4.097819328308e-07,-1.321673537896e-01,2.200680598617e-02
1200,2.880052002171e+04,2.880052002171e+04,1.920019777319e+04,9.600165638781e+03,0.000000000000e+00,0.000000000000e+00,2.880052002019e+04,0.000000000000e+00,1.566097395516e-01,1.525506377220e-06,-1.566082140453e-01,2.196661941707e-02
1400,2.880060568309e+04,2.880060568309e+04,1.920023141668e+04,9.600194522102e+03,0.000000000000e+00,0.000000000000e+00,2.880060569215e+04,0.000000000000e+00,1.797443089308e-01,-9.058043360710e-06,-1.797533669742e-01,2.192425914109e-02
1600,2.880069182825e+04,2.880069182825e+04,1.920026708209e+04,9.600223613815e+03,0.000000000000e+00,0.000000000000e+00,2.880069184130e+04,0.000000000000e+00,2.011323494044e-01,-1.305155456066e-05,-2.011454009589e-01,2.188747934997e-02
1800,2.880077822761e+04,2.880077822761e+04,1.920030341867e+04,9.600252241534e+03,0.000000000000e+00,0.000000000000e+00,2.880077822125e+04,0.000000000000e+00,2.225674095280e-01,6.362795829773e-06,-2.225610467322e-01,2.186174131930e-02
2000,2.880086395861e+04,2.880086395861e+04,1.920033904299e+04,9.600280956791e+03,0.000000000000e+00,0.000000000000e+00,2.880086395830e+04,0.000000000000e+00,2.439588310590e-01,3.110617399216e-07,-2.439585199972e-01,2.185017056763e-02
2200,2.880094991758e+04,2.880094991758e+04,1.920037470090e+04,9.600309120701e+03,0.000000000000e+00,0.000000000000e+00,2.880094991201e+04,0.000000000000e+00,2.660959776695e-01,5.567446351051e-06,-2.660904102231e-01,2.185040898621e-02
2400,2.880103541657e+04,2.880103541657e+04,1.920041087661e+04,9.600337287363e+03,0.000000000000e+00,0.000000000000e+00,2.880103541964e+04,0.000000000000e+00,2.872525981693e-01,-3.069639205933e-06,-2.872556678085e-01,2.185801416636e-02
2600,2.880112122420e+04,2.880112122420e+04,1.920044655502e+04,9.600365787238e+03,0.000000000000e+00,0.000000000000e+00,2.880112121391e+04,0.000000000000e+00,3.088819426703e-01,1.028738915920e-05,-3.088716552811e-01,2.186944335699e-02
2800,2.880120673462e+04,2.880120673462e+04,1.920048157941e+04,9.600394702530e+03,0.000000000000e+00,0.000000000000e+00,2.880120676047e+04,0.000000000000e+00,3.304526803622e-01,-2.584233880043e-05,-3.304785227010e-01,2.188174426556e-02
3000,2.880129163078e+04,2.880129163078e+04,1.920051734816e+04,9.600423748286e+03,0.000000000000e+00,0.000000000000e+00,2.880129165238e+04,0.000000000000e+00,3.505343365250e-01,-2.160295844078e-05,-3.505559394835e-01,2.189322747290e-02
3200,2.880137684254e+04,2.880137684254e+04,1.920055312466e+04,9.600452916439e+03,0.000000000000e+00,0.000000000000e+00,2.880137684697e+04,0.000000000000e+00,3.708014331969e-01,-4.433095455170e-06,-3.708058662924e-01,2.190291136503e-02
3400,2.880146248234e+04,2.880146248234e+04,1.920058886821e+04,9.600481650777e+03,0.000000000000e+00,0.000000000000e+00,2.880146250886e+04,0.000000000000e+00,3.919633598707e-01,-2.651289105415e-05,-3.919898727618e-01,2.191038243473e-02
3600,2.880154799165e+04,2.880154799165e+04,1.920062373355e+04,9.600510274429e+03,0.000000000000e+00,0.000000000000e+00,2.880154799670e+04,0.000000000000e+00,4.139836710456e-01,-5.053356289864e-06,-4.139887244019e-01,2.191572636366e-02
3800,2.880163347544e+04,2.880163347544e+04,1.920065739057e+04,9.600538761205e+03,0.000000000000e+00,0.000000000000e+00,2.880163346803e+04,0.000000000000e+00,4.373236636602e-01,7.404014468193e-06,-4.373162596457e-01,2.191940881312e-02
4000,2.880171897631e+04,2.880171897631e+04,1.920068989932e+04,9.600567381588e+03,0.000000000000e+00,0.000000000000e+00,2.880171897542e+04,0.000000000000e+00,4.616953951918e-01,8.810311555862e-07,-4.616945141606e-01,2.192180044949e-02
4200,2.880180513318e+04,2.880180513318e+04,1.920072226435e+04,9.600595666615e+03,0.000000000000e+00,0.000000000000e+00,2.880180512637e+04,0.000000000000e+00,4.872022152813e-01,6.806105375290e-06,-4.871954091759e-01,2.192347869277e-02
