case,arch,tag,nx,steps,nfluid,rate_Mff_per_step,r2_Mff,rate_Mc_per_step,r2_Mc,rate_Mrho_per_step,r2_Mrho,final_rel_Mff,final_rel_Mc,final_rel_Mrho
C0,gpu,C0_16_gpu,16,5000,4096,-2.427033934523e-26,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,3.427267023515e-07,3.427267023515e-07,3.427267023515e-07
C0,cpu,C0_24_cpu,24,5000,13824,0.000000000000e+00,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,3.471564030631e-27,1.000000000000e+00,0.000000000000e+00,3.427267023515e-07,-1.490116097180e-08
C0,gpu,C0_24_gpu,24,5000,13824,-2.427033934523e-26,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,3.427267023515e-07,3.427267023515e-07,3.427267023515e-07
C0,gpu,C0_32_gpu,32,5000,32768,-2.427033934523e-26,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,-2.427033934523e-26,1.000000000000e+00,3.427267023515e-07,3.427267023515e-07,3.427267023515e-07
C1,cpu,C1_cpu,64,5000,36864,6.649523455578e-09,8.001042779410e-01,4.066985421940e-09,7.555253226512e-01,6.649087424379e-09,8.001259709788e-01,3.520616365860e-05,2.259515674230e-05,3.520480931996e-05
C1,gpu,C1_gpu,64,10000,36864,1.045683686796e-08,9.957071512127e-01,2.032812671927e-09,9.111101409373e-01,1.045587692702e-08,9.957049639675e-01,1.116730199540e-04,2.697531082130e-05,1.116627341753e-04
C2,cpu,C2_cpu,32,5000,7680,0.000000000000e+00,1.000000000000e+00,4.304300435497e-26,1.000000000000e+00,-5.553762385676e-28,1.000000000000e+00,0.000000000000e+00,3.427267023515e-07,-1.490116097180e-08
C2,gpu,C2_gpu,32,10000,7680,1.530138096019e-26,1.000000000000e+00,1.530138096019e-26,1.000000000000e+00,1.530138096019e-26,1.000000000000e+00,3.427267023515e-07,3.427267023515e-07,3.427267023515e-07
C3,cpu,C3_cpu,126,10000,28800,1.517253652809e-08,9.998972684018e-01,1.137075887756e-08,9.981462203644e-01,1.517262409668e-08,9.998972569111e-01,1.518024287539e-04,1.127062778121e-04,1.518027606668e-04
C3,gpu,C3_gpu,126,20000,28800,1.555572956893e-08,9.998860222730e-01,8.308767659074e-09,9.934088795583e-01,1.555576325887e-08,9.998860623796e-01,3.095982541736e-04,1.705163828218e-04,3.095993125830e-04
