step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
0,4.291534423828e-04,4.291534423828e-04,0.000000000000e+00,0.000000000000e+00,7.704377174377e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.111792564392e-03,6.751060485840e-03,0.000000000000e+00,nan
1,1.382470130920e-03,-2.111792564392e-03,-3.494262695312e-03,0.000000000000e+00,2.145811915398e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.398772001266e-04,3.389993682504e-03,0.000000000000e+00,0.000000000000e+00
2,1.382883638144e-04,1.398772001266e-04,1.588836312294e-06,0.000000000000e+00,-5.859322845936e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.085398882627e-04,1.886027457658e-04,0.000000000000e+00,0.000000000000e+00
3,-1.089076104108e-04,2.085398882627e-04,3.174474986736e-04,0.000000000000e+00,-2.195443958044e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.874938607216e-04,1.714502468531e-04,0.000000000000e+00,0.000000000000e+00
4,-4.999022530683e-04,-1.874938607216e-04,3.124083923467e-04,0.000000000000e+00,2.309735864401e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.812888801098e-05,1.092482962122e-04,0.000000000000e+00,0.000000000000e+00
3990,4.639178883335e-01,3.097206354141e-05,-4.638869162700e-01,0.000000000000e+00,4.041306674480e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.627447247505e-05,2.986380532093e-04,0.000000000000e+00,nan
3991,4.640233809478e-01,2.627447247505e-05,-4.639971064753e-01,0.000000000000e+00,4.055686295033e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.032386302948e-06,3.299704112578e-04,0.000000000000e+00,0.000000000000e+00
3992,4.640989791660e-01,-3.032386302948e-06,-4.641020115523e-01,0.000000000000e+00,4.322435706854e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.031346619129e-05,3.415539504203e-04,0.000000000000e+00,0.000000000000e+00
3993,4.641896687863e-01,-1.031346619129e-05,-4.641999822525e-01,0.000000000000e+00,4.385877400637e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.273388862610e-06,3.059612026846e-04,0.000000000000e+00,0.000000000000e+00
3994,4.643222953237e-01,6.273388862610e-06,-4.643160219348e-01,0.000000000000e+00,4.255548119545e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.611248970032e-07,3.104324023298e-04,0.000000000000e+00,0.000000000000e+00
3995,4.644374177333e-01,-9.611248970032e-07,-4.644383788582e-01,0.000000000000e+00,4.311446100473e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.146085560322e-05,3.245326261094e-04,0.000000000000e+00,0.000000000000e+00
3996,4.645440297172e-01,1.146085560322e-05,-4.645325688616e-01,0.000000000000e+00,4.201028496027e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.719461917877e-07,3.275583439972e-04,0.000000000000e+00,0.000000000000e+00
3997,4.646365742228e-01,-2.719461917877e-07,-4.646368461690e-01,0.000000000000e+00,4.297941923141e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.578381776810e-06,3.091894323006e-04,0.000000000000e+00,0.000000000000e+00
3998,4.647571789828e-01,-4.578381776810e-06,-4.647617573646e-01,0.000000000000e+00,4.346873611212e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.326443791389e-06,2.848111471394e-04,0.000000000000e+00,0.000000000000e+00
3999,4.649070551968e-01,2.326443791389e-06,-4.649047287530e-01,0.000000000000e+00,4.270933568478e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.392357707024e-06,3.135467341053e-04,0.000000000000e+00,0.000000000000e+00
