step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
200,2.880008868258e+04,2.880008868258e+04,1.920003660911e+04,9.600027332805e+03,0.000000000000e+00,0.000000000000e+00,2.880008865941e+04,0.000000000000e+00,2.474066158902e-02,2.316944301128e-05,-2.471749214601e-02,2.088868618011e-02
400,2.880017569196e+04,2.880017569196e+04,1.920007067292e+04,9.600053227670e+03,0.000000000000e+00,0.000000000000e+00,2.880017567849e+04,0.000000000000e+00,5.179137207597e-02,1.346692442894e-05,-5.177790515154e-02,2.273629792035e-02
600,2.880026167107e+04,2.880026167107e+04,1.920009957884e+04,9.600079960078e+03,0.000000000000e+00,0.000000000000e+00,2.880026168883e+04,0.000000000000e+00,8.213215203068e-02,-1.776032149792e-05,-8.214991235218e-02,2.181671001017e-02
800,2.880034762002e+04,2.880034762002e+04,1.920013184123e+04,9.600108316551e+03,0.000000000000e+00,0.000000000000e+00,2.880034760839e+04,0.000000000000e+00,1.074622375017e-01,1.163221895695e-05,-1.074506052828e-01,2.196155861020e-02
1000,2.880043332717e+04,2.880043332717e+04,1.920016497348e+04,9.600136935987e+03,0.000000000000e+00,0.000000000000e+00,2.880043333191e+04,0.000000000000e+00,1.314177044260e-01,-4.736706614494e-06,-1.314224411326e-01,2.200701273978e-02
1200,2.880051885353e+04,2.880051885353e+04,1.920019793641e+04,9.600165600590e+03,0.000000000000e+00,0.000000000000e+00,2.880051883805e+04,0.000000000000e+00,1.553165220103e-01,1.547858119011e-05,-1.553010434291e-01,2.196709811687e-02
1400,2.880060497459e+04,2.880060497459e+04,1.920023134659e+04,9.600194514989e+03,0.000000000000e+00,0.000000000000e+00,2.880060497475e+04,0.000000000000e+00,1.791130057973e-01,-1.583248376846e-07,-1.791131641221e-01,2.192489430308e-02
1600,2.880069060525e+04,2.880069060525e+04,1.920026692864e+04,9.600223685409e+03,0.000000000000e+00,0.000000000000e+00,2.880069061553e+04,0.000000000000e+00,1.999911946841e-01,-1.028738915920e-05,-2.000014820733e-01,2.188817225397e-02
1800,2.880077634324e+04,2.880077634324e+04,1.920030323061e+04,9.600252229596e+03,0.000000000000e+00,0.000000000000e+00,2.880077634883e+04,0.000000000000e+00,2.208830344207e-01,-5.586072802544e-06,-2.208886204935e-01,2.186226285994e-02
2000,2.880086176404e+04,2.880086176404e+04,1.920033866389e+04,9.600280673880e+03,0.000000000000e+00,0.000000000000e+00,2.880086178106e+04,0.000000000000e+00,2.424262652785e-01,-1.702271401882e-05,-2.424432879925e-01,2.185057289898e-02
2200,2.880094719870e+04,2.880094719870e+04,1.920037408686e+04,9.600308969181e+03,0.000000000000e+00,0.000000000000e+00,2.880094720232e+04,0.000000000000e+00,2.641426573537e-01,-3.626570105553e-06,-2.641462839238e-01,2.185052260756e-02
2400,2.880103251938e+04,2.880103251938e+04,1.920040969142e+04,9.600337399020e+03,0.000000000000e+00,0.000000000000e+00,2.880103250891e+04,0.000000000000e+00,2.854289402167e-01,1.047179102898e-05,-2.854184684256e-01,2.185784839094e-02
2600,2.880111798615e+04,2.880111798615e+04,1.920044506875e+04,9.600366195293e+03,0.000000000000e+00,0.000000000000e+00,2.880111800230e+04,0.000000000000e+00,3.067221067322e-01,-1.614913344383e-05,-3.067382558656e-01,2.186926826835e-02
2800,2.880120365442e+04,2.880120365442e+04,1.920047967937e+04,9.600395003728e+03,0.000000000000e+00,0.000000000000e+00,2.880120364177e+04,0.000000000000e+00,3.289713293525e-01,1.265108585358e-05,-3.289586782666e-01,2.188136801124e-02
3000,2.880128939902e+04,2.880128939902e+04,1.920051504241e+04,9.600423891725e+03,0.000000000000e+00,0.000000000000e+00,2.880128939575e+04,0.000000000000e+00,3.504648890557e-01,3.272667527199e-06,-3.504616163882e-01,2.189293503761e-02
3200,2.880137502432e+04,2.880137502432e+04,1.920055039874e+04,9.600453263084e+03,0.000000000000e+00,0.000000000000e+00,2.880137500709e+04,0.000000000000e+00,3.713624970515e-01,1.722387969494e-05,-3.713452731718e-01,2.190250717103e-02
3400,2.880146049798e+04,2.880146049798e+04,1.920058570232e+04,9.600481957570e+03,0.000000000000e+00,0.000000000000e+00,2.880146050721e+04,0.000000000000e+00,3.928380891884e-01,-9.234994649887e-06,-3.928473241831e-01,2.190990746021e-02
3600,2.880154623674e+04,2.880154623674e+04,1.920062005259e+04,9.600510599991e+03,0.000000000000e+00,0.000000000000e+00,2.880154623747e+04,0.000000000000e+00,4.155841580614e-01,-7.264316082001e-07,-4.155848844930e-01,2.191537432373e-02
3800,2.880163208765e+04,2.880163208765e+04,1.920065353346e+04,9.600539183156e+03,0.000000000000e+00,0.000000000000e+00,2.880163211530e+04,0.000000000000e+00,4.393710412332e-01,-2.765096724033e-05,-4.393986922005e-01,2.191893942654e-02
4000,2.880171844175e+04,2.880171844175e+04,1.920068542769e+04,9.600567993457e+03,0.000000000000e+00,0.000000000000e+00,2.880171843636e+04,0.000000000000e+00,4.650206018196e-01,5.392357707024e-06,-4.650152094619e-01,2.192148193717e-02
