step,ckpt,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff
0,S0,2.880000042915e+04,2.880000042915e+04,1.920000000000e+04,9.600000000000e+03,0.000000000000e+00,0.000000000000e+00,2.880000000000e+04,0.000000000000e+00
0,S1,2.880000813353e+04,2.880000042915e+04,1.920000000000e+04,9.600000000000e+03,1.920000451839e+04,9.600002232671e+03,2.880000000000e+04,3.749990463257e-02
0,S2,2.880000813353e+04,0.000000000000e+00,1.920000000000e+04,9.600000000000e+03,1.920000451839e+04,9.600002232671e+03,2.880000000000e+04,3.333334326744e-01
0,S3,2.880000813353e+04,2.880000813353e+04,1.920000000000e+04,9.600000000000e+03,1.920000451839e+04,9.600002232671e+03,2.880000000000e+04,6.249997764826e-03
0,S4,2.880000813353e+04,2.880000813353e+04,1.920000000000e+04,9.600000000000e+03,1.920000451839e+04,9.600002232671e+03,2.880000000000e+04,6.249997764826e-03
0,S5,2.880000813353e+04,2.880000813353e+04,1.920000451839e+04,9.600002232671e+03,0.000000000000e+00,0.000000000000e+00,2.880001024532e+04,0.000000000000e+00
0,S6,2.880000813353e+04,2.880000813353e+04,1.920000451839e+04,9.600002232671e+03,0.000000000000e+00,0.000000000000e+00,2.880001024532e+04,0.000000000000e+00
1,S0,2.880000813353e+04,2.880000813353e+04,1.920000451839e+04,9.600002232671e+03,0.000000000000e+00,0.000000000000e+00,2.880001024532e+04,0.000000000000e+00
1,S1,2.880001027934e+04,2.880000813353e+04,1.920000451839e+04,9.600002232671e+03,1.920000678905e+04,9.600003352001e+03,2.880001024532e+04,3.406772017479e-02
1,S2,2.880001027934e+04,0.000000000000e+00,1.920000451839e+04,9.600002232671e+03,1.920000678905e+04,9.600003352001e+03,2.880001024532e+04,3.371190428734e-01
1,S3,2.880001027934e+04,2.880001027934e+04,1.920000451839e+04,9.600002232671e+03,1.920000678905e+04,9.600003352001e+03,2.880001024532e+04,8.142758160830e-03
1,S4,2.880001027934e+04,2.880001027934e+04,1.920000451839e+04,9.600002232671e+03,1.920000678905e+04,9.600003352001e+03,2.880001024532e+04,8.142758160830e-03
1,S5,2.880001027934e+04,2.880001027934e+04,1.920000678905e+04,9.600003352001e+03,0.000000000000e+00,0.000000000000e+00,2.880001013947e+04,0.000000000000e+00
1,S6,2.880001027934e+04,2.880001027934e+04,1.920000678905e+04,9.600003352001e+03,0.000000000000e+00,0.000000000000e+00,2.880001013947e+04,0.000000000000e+00
2,S0,2.880001027934e+04,2.880001027934e+04,1.920000678905e+04,9.600003352001e+03,0.000000000000e+00,0.000000000000e+00,2.880001013947e+04,0.000000000000e+00
2,S1,2.880001022075e+04,2.880001027934e+04,1.920000678905e+04,9.600003352001e+03,1.920000688493e+04,9.600003444723e+03,2.880001013947e+04,1.207762956619e-02
2,S2,2.880001022075e+04,0.000000000000e+00,1.920000678905e+04,9.600003352001e+03,1.920000688493e+04,9.600003444723e+03,2.880001013947e+04,3.435238599777e-01
2,S3,2.880001022075e+04,2.880001022075e+04,1.920000678905e+04,9.600003352001e+03,1.920000688493e+04,9.600003444723e+03,2.880001013947e+04,6.480775773525e-03
2,S4,2.880001022075e+04,2.880001022075e+04,1.920000678905e+04,9.600003352001e+03,1.920000688493e+04,9.600003444723e+03,2.880001013947e+04,6.480775773525e-03
2,S5,2.880001022075e+04,2.880001022075e+04,1.920000688493e+04,9.600003444723e+03,0.000000000000e+00,0.000000000000e+00,2.880001001221e+04,0.000000000000e+00
2,S6,2.880001022075e+04,2.880001022075e+04,1.920000688493e+04,9.600003444723e+03,0.000000000000e+00,0.000000000000e+00,2.880001001221e+04,0.000000000000e+00
3,S0,2.880001022075e+04,2.880001022075e+04,1.920000688493e+04,9.600003444723e+03,0.000000000000e+00,0.000000000000e+00,2.880001001221e+04,0.000000000000e+00
3,S1,2.880001000120e+04,2.880001022075e+04,1.920000688493e+04,9.600003444723e+03,1.920000696784e+04,9.600003533269e+03,2.880001001221e+04,1.262441277504e-02
3,S2,2.880001000120e+04,0.000000000000e+00,1.920000688493e+04,9.600003444723e+03,1.920000696784e+04,9.600003533269e+03,2.880001001221e+04,3.469612300396e-01
3,S3,2.880001000120e+04,2.880001000120e+04,1.920000688493e+04,9.600003444723e+03,1.920000696784e+04,9.600003533269e+03,2.880001001221e+04,5.700340494514e-03
3,S4,2.880001000120e+04,2.880001000120e+04,1.920000688493e+04,9.600003444723e+03,1.920000696784e+04,9.600003533269e+03,2.880001001221e+04,5.700340494514e-03
3,S5,2.880001000120e+04,2.880001000120e+04,1.920000696784e+04,9.600003533269e+03,0.000000000000e+00,0.000000000000e+00,2.880001018870e+04,0.000000000000e+00
3,S6,2.880001000120e+04,2.880001000120e+04,1.920000696784e+04,9.600003533269e+03,0.000000000000e+00,0.000000000000e+00,2.880001018870e+04,0.000000000000e+00
4,S0,2.880001000120e+04,2.880001000120e+04,1.920000696784e+04,9.600003533269e+03,0.000000000000e+00,0.000000000000e+00,2.880001018870e+04,0.000000000000e+00
4,S1,2.880001023218e+04,2.880001000120e+04,1.920000696784e+04,9.600003533269e+03,1.920000702358e+04,9.600003586775e+03,2.880001018870e+04,5.908817052841e-03
4,S2,2.880001023218e+04,0.000000000000e+00,1.920000696784e+04,9.600003533269e+03,1.920000702358e+04,9.600003586775e+03,2.880001018870e+04,3.469747602940e-01
4,S3,2.880001023218e+04,2.880001023218e+04,1.920000696784e+04,9.600003533269e+03,1.920000702358e+04,9.600003586775e+03,2.880001018870e+04,6.135869771242e-03
4,S4,2.880001023218e+04,2.880001023218e+04,1.920000696784e+04,9.600003533269e+03,1.920000702358e+04,9.600003586775e+03,2.880001018870e+04,6.135869771242e-03
4,S5,2.880001023218e+04,2.880001023218e+04,1.920000702358e+04,9.600003586775e+03,0.000000000000e+00,0.000000000000e+00,2.880001018405e+04,0.000000000000e+00
4,S6,2.880001023218e+04,2.880001023218e+04,1.920000702358e+04,9.600003586775e+03,0.000000000000e+00,0.000000000000e+00,2.880001018405e+04,0.000000000000e+00
3990,S0,2.880171419284e+04,2.880171419284e+04,1.920068377135e+04,9.600566503602e+03,0.000000000000e+00,0.000000000000e+00,2.880171416187e+04,0.000000000000e+00
3990,S1,2.880171459698e+04,2.880171419284e+04,1.920068377135e+04,9.600566503602e+03,1.920068390973e+04,9.600566663862e+03,2.880171416187e+04,7.782727479935e-03
3990,S2,2.880171459698e+04,0.000000000000e+00,1.920068377135e+04,9.600566503602e+03,1.920068390973e+04,9.600566663862e+03,2.880171416187e+04,3.360525667667e-01
3990,S3,2.880171459698e+04,2.880171459698e+04,1.920068377135e+04,9.600566503602e+03,1.920068390973e+04,9.600566663862e+03,2.880171416187e+04,7.782727479935e-03
3990,S4,2.880171459698e+04,2.880171459698e+04,1.920068377135e+04,9.600566503602e+03,1.920068390973e+04,9.600566663862e+03,2.880171416187e+04,7.782727479935e-03
3990,S5,2.880171459698e+04,2.880171459698e+04,1.920068390973e+04,9.600566663862e+03,0.000000000000e+00,0.000000000000e+00,2.880171457070e+04,0.000000000000e+00
3990,S6,2.880171459698e+04,2.880171459698e+04,1.920068390973e+04,9.600566663862e+03,0.000000000000e+00,0.000000000000e+00,2.880171457070e+04,0.000000000000e+00
3991,S0,2.880171459698e+04,2.880171459698e+04,1.920068390973e+04,9.600566663862e+03,0.000000000000e+00,0.000000000000e+00,2.880171457070e+04,0.000000000000e+00
3991,S1,2.880171500254e+04,2.880171459698e+04,1.920068390973e+04,9.600566663862e+03,1.920068409397e+04,9.600566809592e+03,2.880171457070e+04,7.782720029354e-03
3991,S2,2.880171500254e+04,0.000000000000e+00,1.920068390973e+04,9.600566663862e+03,1.920068409397e+04,9.600566809592e+03,2.880171457070e+04,3.360526561737e-01
3991,S3,2.880171500254e+04,2.880171500254e+04,1.920068390973e+04,9.600566663862e+03,1.920068409397e+04,9.600566809592e+03,2.880171457070e+04,7.782734930515e-03
3991,S4,2.880171500254e+04,2.880171500254e+04,1.920068390973e+04,9.600566663862e+03,1.920068409397e+04,9.600566809592e+03,2.880171457070e+04,7.782734930515e-03
3991,S5,2.880171500254e+04,2.880171500254e+04,1.920068409397e+04,9.600566809592e+03,0.000000000000e+00,0.000000000000e+00,2.880171500558e+04,0.000000000000e+00
3991,S6,2.880171500254e+04,2.880171500254e+04,1.920068409397e+04,9.600566809592e+03,0.000000000000e+00,0.000000000000e+00,2.880171500558e+04,0.000000000000e+00
3992,S0,2.880171500254e+04,2.880171500254e+04,1.920068409397e+04,9.600566809592e+03,0.000000000000e+00,0.000000000000e+00,2.880171500558e+04,0.000000000000e+00
3992,S1,2.880171543479e+04,2.880171500254e+04,1.920068409397e+04,9.600566809592e+03,1.920068428085e+04,9.600566964269e+03,2.880171500558e+04,7.782712578773e-03
3992,S2,2.880171543479e+04,0.000000000000e+00,1.920068409397e+04,9.600566809592e+03,1.920068428085e+04,9.600566964269e+03,2.880171500558e+04,3.360527455807e-01
3992,S3,2.880171543479e+04,2.880171543479e+04,1.920068409397e+04,9.600566809592e+03,1.920068428085e+04,9.600566964269e+03,2.880171500558e+04,7.782720029354e-03
3992,S4,2.880171543479e+04,2.880171543479e+04,1.920068409397e+04,9.600566809592e+03,1.920068428085e+04,9.600566964269e+03,2.880171500558e+04,7.782720029354e-03
3992,S5,2.880171543479e+04,2.880171543479e+04,1.920068428085e+04,9.600566964269e+03,0.000000000000e+00,0.000000000000e+00,2.880171544510e+04,0.000000000000e+00
3992,S6,2.880171543479e+04,2.880171543479e+04,1.920068428085e+04,9.600566964269e+03,0.000000000000e+00,0.000000000000e+00,2.880171544510e+04,0.000000000000e+00
