geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,1.488873870888e-08,2.646026939787e-08,6.599696180556e-01,1.117587089539e-07,1152000
C3,R_r,6.496573823745e-09,1.869791678823e-08,5.425095486111e-01,8.940696716309e-08,1152000
C3,R_b,5.019601124704e-09,1.310010214405e-08,4.247890625000e-01,7.636845111847e-08,1152000
C3,Req_r,6.496777690001e-09,1.869606817771e-08,5.370277777778e-01,8.940696716309e-08,1152000
C3,Req_b,5.019434959963e-09,1.309768985721e-08,4.131171875000e-01,7.636845111847e-08,1152000
C3,mom_x,-9.103031415078e-12,8.009010238783e-09,4.576631944444e-01,2.793967723846e-08,1152000
C3,mom_y,5.135209196144e-12,7.713212456401e-09,4.584487847222e-01,2.793967723846e-08,1152000
C3,mom_z,-5.124861167537e-11,7.552499553146e-09,4.553315972222e-01,2.048909664154e-08,1152000
C3,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C1,R_f,1.157827682619e-08,2.228992062965e-08,6.395473904080e-01,1.043081283569e-07,1474560
C1,R_r,4.412722384291e-09,9.700498328501e-09,7.571709526910e-01,4.470348358154e-08,1474560
C1,R_b,4.434053633433e-09,9.551753538054e-09,7.553995768229e-01,4.470348358154e-08,1474560
C1,Req_r,4.473091718362e-09,9.721037678232e-09,7.576361762153e-01,4.470348358154e-08,1474560
C1,Req_b,4.492858723901e-09,9.576454419727e-09,7.558926052517e-01,4.470348358154e-08,1474560
C1,mom_x,-7.518489534656e-12,6.827750419275e-09,4.583916558160e-01,2.048909664154e-08,1474560
C1,mom_y,1.430433055955e-11,5.574380808048e-09,4.581739637587e-01,1.303851604462e-08,1474560
C1,mom_z,-1.818989403546e-12,5.595745453349e-09,4.570373535156e-01,1.303851604462e-08,1474560
C1,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
