geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,-8.347948702673e-12,9.190182655261e-09,4.687604166667e-01,2.607703208923e-08,1152000
C3,R_r,9.760210119231e-11,6.112209174811e-08,5.125208333333e-01,3.296881914139e-07,1152000
C3,R_b,1.955420916730e-10,4.136658806723e-08,4.893880208333e-01,3.315508365631e-07,1152000
C3,Req_r,6.453343945970e-09,1.872386057535e-08,5.366623263889e-01,8.940696716309e-08,1152000
C3,Req_b,5.010861916646e-09,1.309041852622e-08,4.136909722222e-01,7.636845111847e-08,1152000
C3,mom_x,-3.251544613805e-12,2.528840141900e-09,3.554826388889e-01,1.303851604462e-08,1152000
C3,mom_y,-1.025101583865e-12,2.532440240127e-09,3.562500000000e-01,1.117587089539e-08,1152000
C3,mom_z,-1.825456921425e-12,2.522550402507e-09,3.556640625000e-01,1.117587089539e-08,1152000
C3,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,dr,-6.088169529356e-09,6.171277559692e-08,2.307777777778e-01,3.576278686523e-07,1152000
C3,db,-4.379743978057e-09,3.937224476477e-08,3.092647569444e-01,3.576278686523e-07,1152000
C1,R_f,-7.654913739922e-13,9.176973783529e-09,4.684373643663e-01,2.793967723846e-08,1474560
C1,R_r,3.883555835917e-09,3.244567123903e-08,7.577846950955e-01,3.091990947723e-07,1474560
C1,R_b,3.096527383485e-09,3.152111767553e-08,7.609191894531e-01,3.427267074585e-07,1474560
C1,Req_r,4.976576652747e-09,9.108539214821e-09,8.035325792101e-01,4.656612873077e-08,1474560
C1,Req_b,4.924824504701e-09,9.212137716805e-09,8.109924316406e-01,4.656612873077e-08,1474560
C1,mom_x,-2.561743409994e-12,2.517263191585e-09,3.544053819444e-01,9.313225746155e-09,1474560
C1,mom_y,-9.271793209741e-13,2.511613370564e-09,3.541666666667e-01,9.313225746155e-09,1474560
C1,mom_z,-6.518045362706e-13,2.508743348059e-09,3.538472493490e-01,9.313225746155e-09,1474560
C1,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,dr,-9.424490371983e-10,2.970645030310e-08,5.164116753472e-02,2.980232238770e-07,1474560
C1,db,-1.640061832218e-09,2.896969412832e-08,4.739379882812e-02,3.576278686523e-07,1474560
