step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000813353e+04,2.880000813353e+04,1.920000452387e+04,9.600002246261e+03,0.000000000000e+00,0.000000000000e+00,2.880001024532e+04,0.000000000000e+00,1.363396644592e-03,-2.111792564392e-03,-3.475189208984e-03
200,2.880008887297e+04,2.880008887297e+04,1.920003566585e+04,9.600027473029e+03,0.000000000000e+00,0.000000000000e+00,2.880008883554e+04,0.000000000000e+00,2.573409645629e-02,3.743730485439e-05,-2.569665915144e-02
400,2.880017565338e+04,2.880017565338e+04,1.920006998016e+04,9.600053475565e+03,0.000000000000e+00,0.000000000000e+00,2.880017566305e+04,0.000000000000e+00,5.219765505717e-02,-9.672716259956e-06,-5.220732777525e-02
600,2.880026305518e+04,2.880026305518e+04,1.920009877999e+04,9.600080081532e+03,0.000000000000e+00,0.000000000000e+00,2.880026306522e+04,0.000000000000e+00,8.419365459849e-02,-1.003779470921e-05,-8.420369239320e-02
800,2.880034892181e+04,2.880034892181e+04,1.920013090055e+04,9.600108591894e+03,0.000000000000e+00,0.000000000000e+00,2.880034893095e+04,0.000000000000e+00,1.094293715669e-01,-9.143725037575e-06,-1.094385152901e-01
1000,2.880043457269e+04,2.880043457269e+04,1.920016431189e+04,9.600137143620e+03,0.000000000000e+00,0.000000000000e+00,2.880043457234e+04,0.000000000000e+00,1.331171761449e-01,3.464519977570e-07,-1.331168296929e-01
1200,2.880052036146e+04,2.880052036146e+04,1.920019719107e+04,9.600165793498e+03,0.000000000000e+00,0.000000000000e+00,2.880052040476e+04,0.000000000000e+00,1.573768927083e-01,-4.329718649387e-05,-1.574201898948e-01
1400,2.880060595053e+04,2.880060595053e+04,1.920023071793e+04,9.600194779907e+03,0.000000000000e+00,0.000000000000e+00,2.880060595453e+04,0.000000000000e+00,1.804526895539e-01,-4.000961780548e-06,-1.804566905157e-01
1600,2.880069107010e+04,2.880069107010e+04,1.920026628971e+04,9.600223767919e+03,0.000000000000e+00,0.000000000000e+00,2.880069107598e+04,0.000000000000e+00,2.010124739027e-01,-5.878508090973e-06,-2.010183524108e-01
1800,2.880077609931e+04,2.880077609931e+04,1.920030292096e+04,9.600252480603e+03,0.000000000000e+00,0.000000000000e+00,2.880077609086e+04,0.000000000000e+00,2.206977426686e-01,8.447095751762e-06,-2.206892955728e-01
2000,2.880086059618e+04,2.880086059618e+04,1.920033859392e+04,9.600281150259e+03,0.000000000000e+00,0.000000000000e+00,2.880086060983e+04,0.000000000000e+00,2.408520008357e-01,-1.365132629871e-05,-2.408656521620e-01
2200,2.880094494997e+04,2.880094494997e+04,1.920037453082e+04,9.600309565509e+03,0.000000000000e+00,0.000000000000e+00,2.880094498128e+04,0.000000000000e+00,2.608536469816e-01,-3.130547702312e-05,-2.608849524586e-01
2400,2.880102942939e+04,2.880102942939e+04,1.920041060995e+04,9.600337846669e+03,0.000000000000e+00,0.000000000000e+00,2.880102943808e+04,0.000000000000e+00,2.809727659151e-01,-8.689239621162e-06,-2.809814551547e-01
2600,2.880111399005e+04,2.880111399005e+04,1.920044652330e+04,9.600366407789e+03,0.000000000000e+00,0.000000000000e+00,2.880111397457e+04,0.000000000000e+00,3.010589657642e-01,1.547858119011e-05,-3.010434871831e-01
2800,2.880119821119e+04,2.880119821119e+04,1.920048196258e+04,9.600395324756e+03,0.000000000000e+00,0.000000000000e+00,2.880119819731e+04,0.000000000000e+00,3.209238540294e-01,1.388415694237e-05,-3.209099698724e-01
3000,2.880128319382e+04,2.880128319382e+04,1.920051810007e+04,9.600424481379e+03,0.000000000000e+00,0.000000000000e+00,2.880128321248e+04,0.000000000000e+00,3.406123724162e-01,-1.866184175014e-05,-3.406310342580e-01
3200,2.880136882943e+04,2.880136882943e+04,1.920055382539e+04,9.600453737578e+03,0.000000000000e+00,0.000000000000e+00,2.880136882526e+04,0.000000000000e+00,3.612664617049e-01,4.177913069725e-06,-3.612622837900e-01
3400,2.880145387945e+04,2.880145387945e+04,1.920058932960e+04,9.600482608626e+03,0.000000000000e+00,0.000000000000e+00,2.880145385259e+04,0.000000000000e+00,3.819412219236e-01,2.685375511646e-05,-3.819143681685e-01
3600,2.880153943812e+04,2.880153943812e+04,1.920062422427e+04,9.600511238289e+03,0.000000000000e+00,0.000000000000e+00,2.880153944165e+04,0.000000000000e+00,4.039755604772e-01,-3.527849912643e-06,-4.039790883253e-01
3800,2.880162499209e+04,2.880162499209e+04,1.920065805151e+04,9.600539646837e+03,0.000000000000e+00,0.000000000000e+00,2.880162498641e+04,0.000000000000e+00,4.272937438272e-01,5.682930350304e-06,-4.272880608987e-01
4000,2.880171003746e+04,2.880171003746e+04,1.920069092723e+04,9.600568181461e+03,0.000000000000e+00,0.000000000000e+00,2.880171005321e+04,0.000000000000e+00,4.509287716974e-01,-1.574680209160e-05,-4.509445184995e-01
4200,2.880179517391e+04,2.880179517391e+04,1.920072297380e+04,9.600596636310e+03,0.000000000000e+00,0.000000000000e+00,2.880179517490e+04,0.000000000000e+00,4.755637935086e-01,-9.909272193909e-07,-4.755647844358e-01
