step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.879999997962e+04,2.879999997962e+04,1.920000298613e+04,9.600001520574e+03,0.000000000000e+00,0.000000000000e+00,2.879999992275e+04,0.000000000000e+00,-4.527091979980e-03,5.686283111572e-05,4.583954811096e-03
200,2.879999774070e+04,2.879999774070e+04,1.920000100307e+04,9.599998070932e+03,0.000000000000e+00,0.000000000000e+00,2.879999772584e+04,0.000000000000e+00,-1.333301170234e-03,1.486018300056e-05,1.348161353235e-03
400,2.879999833576e+04,2.879999833576e+04,1.920000008233e+04,9.599993148722e+03,0.000000000000e+00,0.000000000000e+00,2.879999833846e+04,0.000000000000e+00,5.104711968670e-03,-2.700835466385e-06,-5.107412805955e-03
600,2.879999923631e+04,2.879999923631e+04,1.919999896273e+04,9.599987896941e+03,0.000000000000e+00,0.000000000000e+00,2.879999924213e+04,0.000000000000e+00,1.237663913707e-02,-5.813315510750e-06,-1.238245245258e-02
800,2.879999920788e+04,2.879999920788e+04,1.919999834155e+04,9.599982084889e+03,0.000000000000e+00,0.000000000000e+00,2.879999919486e+04,0.000000000000e+00,1.878144124203e-02,1.302175223827e-05,-1.876841948979e-02
1000,2.879999919434e+04,2.879999919434e+04,1.919999775240e+04,9.599976224701e+03,0.000000000000e+00,0.000000000000e+00,2.879999919713e+04,0.000000000000e+00,2.521723742575e-02,-2.790242433548e-06,-2.522002766636e-02
1200,2.879999963769e+04,2.879999963769e+04,1.919999763950e+04,9.599970402582e+03,0.000000000000e+00,0.000000000000e+00,2.879999964803e+04,0.000000000000e+00,3.159560235872e-02,-1.034885644913e-05,-3.160595121517e-02
1400,2.879999978620e+04,2.879999978620e+04,1.919999747999e+04,9.599964758480e+03,0.000000000000e+00,0.000000000000e+00,2.879999979007e+04,0.000000000000e+00,3.754773092442e-02,-3.872439265251e-06,-3.755160336368e-02
1600,2.880000018939e+04,2.880000018939e+04,1.919999788654e+04,9.599958833290e+03,0.000000000000e+00,0.000000000000e+00,2.880000019771e+04,0.000000000000e+00,4.346955389701e-02,-8.322298526764e-06,-4.347787619554e-02
1800,2.880000044893e+04,2.880000044893e+04,1.919999822930e+04,9.599952940586e+03,0.000000000000e+00,0.000000000000e+00,2.880000046593e+04,0.000000000000e+00,4.927904685064e-02,-1.699663698673e-05,-4.929604348581e-02
2000,2.880000086166e+04,2.880000086166e+04,1.919999872093e+04,9.599947020543e+03,0.000000000000e+00,0.000000000000e+00,2.880000085825e+04,0.000000000000e+00,5.512018612353e-02,3.410503268242e-06,-5.511677562026e-02
2200,2.880000134487e+04,2.880000134487e+04,1.919999895140e+04,9.599941229250e+03,0.000000000000e+00,0.000000000000e+00,2.880000135487e+04,0.000000000000e+00,6.116422344348e-02,-1.000240445137e-05,-6.117422584794e-02
2400,2.880000194205e+04,2.880000194205e+04,1.919999948722e+04,9.599935404458e+03,0.000000000000e+00,0.000000000000e+00,2.880000194860e+04,0.000000000000e+00,6.705037021311e-02,-6.549060344696e-06,-6.705691927345e-02
2600,2.880000229848e+04,2.880000229848e+04,1.919999996579e+04,9.599929552699e+03,0.000000000000e+00,0.000000000000e+00,2.880000230825e+04,0.000000000000e+00,7.277998866994e-02,-9.773299098015e-06,-7.278976196903e-02
2800,2.880000307197e+04,2.880000307197e+04,1.920000073671e+04,9.599923684521e+03,0.000000000000e+00,0.000000000000e+00,2.880000306642e+04,0.000000000000e+00,7.865074583606e-02,5.554407835007e-06,-7.864519142822e-02
3000,2.880000407519e+04,2.880000407519e+04,1.920000140089e+04,9.599917720419e+03,0.000000000000e+00,0.000000000000e+00,2.880000407726e+04,0.000000000000e+00,8.495387444600e-02,-2.069398760796e-06,-8.495594384294e-02
3200,2.880000449310e+04,2.880000449310e+04,1.920000205453e+04,9.599911887647e+03,0.000000000000e+00,0.000000000000e+00,2.880000451344e+04,0.000000000000e+00,9.055092642666e-02,-2.033822238445e-05,-9.057126464904e-02
3400,2.880000512740e+04,2.880000512740e+04,1.920000279980e+04,9.599905932783e+03,0.000000000000e+00,0.000000000000e+00,2.880000512016e+04,0.000000000000e+00,9.639481908016e-02,7.241964340210e-06,-9.638757711582e-02
3600,2.880000591387e+04,2.880000591387e+04,1.920000335908e+04,9.599900090940e+03,0.000000000000e+00,0.000000000000e+00,2.880000592202e+04,0.000000000000e+00,1.024638496765e-01,-8.147209882736e-06,-1.024719968846e-01
3800,2.880000623638e+04,2.880000623638e+04,1.920000353504e+04,9.599894245306e+03,0.000000000000e+00,0.000000000000e+00,2.880000623530e+04,0.000000000000e+00,1.084560355193e-01,1.078471541405e-06,-1.084549570478e-01
4000,2.880000702608e+04,2.880000702608e+04,1.920000403962e+04,9.599888603575e+03,0.000000000000e+00,0.000000000000e+00,2.880000702375e+04,0.000000000000e+00,1.143828837503e-01,2.324581146240e-06,-1.143805591710e-01
4200,2.880000782997e+04,2.880000782997e+04,1.920000464262e+04,9.599882887185e+03,0.000000000000e+00,0.000000000000e+00,2.880000782871e+04,0.000000000000e+00,1.203001562008e-01,1.253560185432e-06,-1.202989026424e-01
4400,2.880000856723e+04,2.880000856723e+04,1.920000493245e+04,9.599876762123e+03,0.000000000000e+00,0.000000000000e+00,2.880000856584e+04,0.000000000000e+00,1.268726495528e-01,1.382082700729e-06,-1.268712674719e-01
4600,2.880000919407e+04,2.880000919407e+04,1.920000563181e+04,9.599870485330e+03,0.000000000000e+00,0.000000000000e+00,2.880000920600e+04,0.000000000000e+00,1.330769311808e-01,-1.192279160023e-05,-1.330888539742e-01
4800,2.880000987536e+04,2.880000987536e+04,1.920000624654e+04,9.599864185496e+03,0.000000000000e+00,0.000000000000e+00,2.880000987142e+04,0.000000000000e+00,1.394433299411e-01,3.939494490623e-06,-1.394393904484e-01
5000,2.880001101655e+04,2.880001101655e+04,1.920000674351e+04,9.599858151926e+03,0.000000000000e+00,0.000000000000e+00,2.880001102304e+04,0.000000000000e+00,1.461211127498e-01,-6.493180990219e-06,-1.461276059308e-01
5200,2.880001139326e+04,2.880001139326e+04,1.920000712584e+04,9.599852189525e+03,0.000000000000e+00,0.000000000000e+00,2.880001140529e+04,0.000000000000e+00,1.520778908707e-01,-1.203268766403e-05,-1.520899235584e-01
5400,2.880001258164e+04,2.880001258164e+04,1.920000775587e+04,9.599846239403e+03,0.000000000000e+00,0.000000000000e+00,2.880001258731e+04,0.000000000000e+00,1.585863711134e-01,-5.664303898811e-06,-1.585920354191e-01
5600,2.880001351288e+04,2.880001351288e+04,1.920000917055e+04,9.599840276215e+03,0.000000000000e+00,0.000000000000e+00,2.880001351696e+04,0.000000000000e+00,1.640661142410e-01,-4.084780812263e-06,-1.640701990218e-01
5800,2.880001457068e+04,2.880001457068e+04,1.920001009956e+04,9.599834152700e+03,0.000000000000e+00,0.000000000000e+00,2.880001457298e+04,0.000000000000e+00,1.703184204471e-01,-2.298504114151e-06,-1.703207189494e-01
6000,2.880001571810e+04,2.880001571810e+04,1.920001118229e+04,9.599828034448e+03,0.000000000000e+00,0.000000000000e+00,2.880001572573e+04,0.000000000000e+00,1.765013671720e-01,-7.631257176399e-06,-1.765089984292e-01
