step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000643730e+04,2.880000643730e+04,1.920000443125e+04,9.600002147675e+03,0.000000000000e+00,0.000000000000e+00,2.880001013446e+04,0.000000000000e+00,-1.416206359863e-04,-3.697156906128e-03,-3.555536270142e-03
200,2.880001176789e+04,2.880001176789e+04,1.920000987129e+04,9.600001947907e+03,0.000000000000e+00,0.000000000000e+00,2.880001178575e+04,0.000000000000e+00,-5.131057696417e-05,-1.785531640053e-05,3.345526056364e-05
400,2.880001224379e+04,2.880001224379e+04,1.920000692566e+04,9.599999902568e+03,0.000000000000e+00,0.000000000000e+00,2.880001226902e+04,0.000000000000e+00,5.415557556262e-03,-2.523325383663e-05,-5.440790810098e-03
600,2.880001273275e+04,2.880001273275e+04,1.920000340081e+04,9.599998468960e+03,0.000000000000e+00,0.000000000000e+00,2.880001271015e+04,0.000000000000e+00,1.086298224982e-02,2.259947359562e-05,-1.084038277622e-02
800,2.880001285390e+04,2.880001285390e+04,1.919999970356e+04,9.599996674828e+03,0.000000000000e+00,0.000000000000e+00,2.880001284969e+04,0.000000000000e+00,1.647551342649e-02,4.209578037262e-06,-1.647130384663e-02
1000,2.880001294382e+04,2.880001294382e+04,1.919999564216e+04,9.599994677469e+03,0.000000000000e+00,0.000000000000e+00,2.880001294166e+04,0.000000000000e+00,2.262418745158e-02,2.156943082809e-06,-2.262203050850e-02
1200,2.880001294812e+04,2.880001294812e+04,1.919999171076e+04,9.599992598828e+03,0.000000000000e+00,0.000000000000e+00,2.880001296359e+04,0.000000000000e+00,2.863853516101e-02,-1.547485589981e-05,-2.865401001691e-02
1400,2.880001324649e+04,2.880001324649e+04,1.919998797283e+04,9.599990589442e+03,0.000000000000e+00,0.000000000000e+00,2.880001323640e+04,0.000000000000e+00,3.468421190337e-02,1.008436083794e-05,-3.467412754253e-02
1600,2.880001313313e+04,2.880001313313e+04,1.919998393885e+04,9.599988586450e+03,0.000000000000e+00,0.000000000000e+00,2.880001313585e+04,0.000000000000e+00,4.060783795649e-02,-2.715736627579e-06,-4.061055369311e-02
1800,2.880001305992e+04,2.880001305992e+04,1.919997940555e+04,9.599986595726e+03,0.000000000000e+00,0.000000000000e+00,2.880001307178e+04,0.000000000000e+00,4.705863893832e-02,-1.185946166515e-05,-4.707049839999e-02
2000,2.880001315806e+04,2.880001315806e+04,1.919997461133e+04,9.599984545013e+03,0.000000000000e+00,0.000000000000e+00,2.880001316851e+04,0.000000000000e+00,5.400172232112e-02,-1.044943928719e-05,-5.401217176041e-02
2200,2.880001296150e+04,2.880001296150e+04,1.919996992852e+04,9.599982554741e+03,0.000000000000e+00,0.000000000000e+00,2.880001294595e+04,0.000000000000e+00,6.047823433801e-02,1.554563641548e-05,-6.046268869977e-02
