step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000040877e+04,2.880000040877e+04,1.920000298613e+04,9.600001523912e+03,0.000000000000e+00,0.000000000000e+00,2.879999994850e+04,0.000000000000e+00,-4.101276397705e-03,4.602670669556e-04,4.561543464661e-03
200,2.880000253237e+04,2.880000253237e+04,1.920003173082e+04,9.600006588502e+03,0.000000000000e+00,0.000000000000e+00,2.880000252306e+04,0.000000000000e+00,-3.578696008117e-02,9.302049875259e-06,3.579626213104e-02
400,2.880000262336e+04,2.880000262336e+04,1.920003369012e+04,9.600005359646e+03,0.000000000000e+00,0.000000000000e+00,2.880000261480e+04,0.000000000000e+00,-3.642640672842e-02,8.558854460716e-06,3.643496558288e-02
600,2.880000293593e+04,2.880000293593e+04,1.920003290749e+04,9.600004376390e+03,0.000000000000e+00,0.000000000000e+00,2.880000294483e+04,0.000000000000e+00,-3.434795566500e-02,-8.899718523026e-06,3.433905594648e-02
800,2.880000290915e+04,2.880000290915e+04,1.920003361573e+04,9.600002972913e+03,0.000000000000e+00,0.000000000000e+00,2.880000291914e+04,0.000000000000e+00,-3.367948849882e-02,-9.985640645027e-06,3.366950285999e-02
1000,2.880000305185e+04,2.880000305185e+04,1.920003425149e+04,9.600001410373e+03,0.000000000000e+00,0.000000000000e+00,2.880000304377e+04,0.000000000000e+00,-3.261000881321e-02,8.082017302513e-06,3.261809083051e-02
1200,2.880000289616e+04,2.880000289616e+04,1.920003513101e+04,9.599999960957e+03,0.000000000000e+00,0.000000000000e+00,2.880000290167e+04,0.000000000000e+00,-3.219580841505e-02,-5.517154932022e-06,3.219029126194e-02
1400,2.880000284732e+04,2.880000284732e+04,1.920003550830e+04,9.599998470406e+03,0.000000000000e+00,0.000000000000e+00,2.880000284845e+04,0.000000000000e+00,-3.113138552726e-02,-1.128762960434e-06,3.113025676430e-02
1600,2.880000289533e+04,2.880000289533e+04,1.920003698772e+04,9.599996818155e+03,0.000000000000e+00,0.000000000000e+00,2.880000291616e+04,0.000000000000e+00,-3.091054842298e-02,-2.082809805870e-05,3.088972032492e-02
1800,2.880000288735e+04,2.880000288735e+04,1.920003840560e+04,9.599995317904e+03,0.000000000000e+00,0.000000000000e+00,2.880000288182e+04,0.000000000000e+00,-3.083615697687e-02,5.526468157768e-06,3.084168344503e-02
2000,2.880000293976e+04,2.880000293976e+04,1.920003957103e+04,9.599993621723e+03,0.000000000000e+00,0.000000000000e+00,2.880000293893e+04,0.000000000000e+00,-3.025300191075e-02,8.288770914078e-07,3.025383078784e-02
2200,2.880000288962e+04,2.880000288962e+04,1.920004048078e+04,9.599992124167e+03,0.000000000000e+00,0.000000000000e+00,2.880000289589e+04,0.000000000000e+00,-2.971532736046e-02,-6.269663572311e-06,2.970905769689e-02
2400,2.880000288536e+04,2.880000288536e+04,1.920004151604e+04,9.599990627561e+03,0.000000000000e+00,0.000000000000e+00,2.880000288308e+04,0.000000000000e+00,-2.925823843543e-02,2.283602952957e-06,2.926052203838e-02
2600,2.880000286698e+04,2.880000286698e+04,1.920004287762e+04,9.599989063002e+03,0.000000000000e+00,0.000000000000e+00,2.880000287014e+04,0.000000000000e+00,-2.907364002203e-02,-3.162771463394e-06,2.907047724875e-02
2800,2.880000284734e+04,2.880000284734e+04,1.920004363801e+04,9.599987493666e+03,0.000000000000e+00,0.000000000000e+00,2.880000285518e+04,0.000000000000e+00,-2.828433179275e-02,-7.841736078262e-06,2.827649005485e-02
3000,2.880000302199e+04,2.880000302199e+04,1.920004467397e+04,9.599985939596e+03,0.000000000000e+00,0.000000000000e+00,2.880000302553e+04,0.000000000000e+00,-2.759157512992e-02,-3.544613718987e-06,2.758803051620e-02
3200,2.880000306860e+04,2.880000306860e+04,1.920004580828e+04,9.599984021829e+03,0.000000000000e+00,0.000000000000e+00,2.880000307930e+04,0.000000000000e+00,-2.676150794287e-02,-1.069717109203e-05,2.675081077177e-02
3400,2.880000309294e+04,2.880000309294e+04,1.920004651171e+04,9.599982092950e+03,0.000000000000e+00,0.000000000000e+00,2.880000309658e+04,0.000000000000e+00,-2.551171823507e-02,-3.639608621597e-06,2.550807862644e-02
3600,2.880000297906e+04,2.880000297906e+04,1.920004745419e+04,9.599980354044e+03,0.000000000000e+00,0.000000000000e+00,2.880000298691e+04,0.000000000000e+00,-2.482917715679e-02,-7.847324013710e-06,2.482132983278e-02
3800,2.880000287627e+04,2.880000287627e+04,1.920004897426e+04,9.599978664883e+03,0.000000000000e+00,0.000000000000e+00,2.880000286627e+04,0.000000000000e+00,-2.476287394893e-02,1.000240445137e-05,2.477287635338e-02
4000,2.880000264502e+04,2.880000264502e+04,1.920004990557e+04,9.599977085855e+03,0.000000000000e+00,0.000000000000e+00,2.880000263387e+04,0.000000000000e+00,-2.434641034779e-02,1.114793121815e-05,2.435755827901e-02
