t,x_vol,x_cross
250,42.334034455128204,40.0
500,43.11936911558493,41.0
750,43.8623297275641,41.0
1000,44.52426069210737,42.0
1250,45.12428635817308,43.0
1500,45.659486428285255,43.0
1750,46.20748197115385,44.0
2000,46.841728014823715,44.0
2250,47.59762181991186,45.0
2500,48.372151692708336,46.0
2750,49.13442758413461,47.0
3000,49.88030536358173,47.0
3250,50.61087740384615,48.0
3500,51.33348670372596,49.0
3750,52.05599897335737,50.0
4000,52.79502203525641,50.0
4250,53.538521008613785,51.0
4500,54.28504669971955,52.0
4750,55.02746269030449,53.0
5000,55.7706048427484,53.0
5250,56.50834460136218,54.0
5500,57.24950232872596,55.0
5750,57.98870380108173,56.0
6000,58.73172075320513,56.0
6250,59.47206467848558,57.0
6500,60.21574206229968,58.0
6750,60.957460061097755,58.0
7000,61.70006698217147,59.0
7250,62.440727038261215,60.0
7500,63.18325883914263,61.0
7750,63.92612868088942,61.0
8000,64.66793744991986,62.0
8250,65.4102063301282,63.0
8500,66.15297601161859,64.0
8750,66.89701021634616,64.0
9000,67.6376452323718,65.0
9250,68.3806402744391,66.0
9500,69.12381059695514,67.0
9750,69.86852088341345,67.0
10000,70.60911833934296,68.0
10250,71.35263296274039,69.0
10500,72.09654196714743,70.0
10750,72.84096429286859,70.0
11000,73.58206881009616,71.0
11250,74.32564603365384,72.0
11500,75.0704815204327,73.0
11750,75.81429036458334,73.0
12000,76.55576422275641,74.0
12250,77.30003004807692,75.0
12500,78.04541641626602,76.0
12750,78.7884990985577,76.0
13000,79.52997295673077,77.0
13250,80.27559720552884,78.0
13500,81.02127153445512,79.0
13750,81.76412885616988,79.0
14000,82.50520833333333,80.0
14250,83.25254156650641,81.0
14500,83.99816581530449,82.0
14750,84.74112955729167,82.0
15000,85.48242813501602,83.0
15250,86.23076923076923,84.0
15500,86.97601161858974,85.0
15750,87.7192132411859,85.0
16000,88.46129432091347,86.0
16250,89.21028645833333,87.0
16500,89.95505934495192,87.0
16750,90.69816080729167,88.0
17000,91.4411370693109,89.0
17250,92.19039838741988,90.0
17500,92.93493965344551,90.0
17750,93.6780285957532,91.0
18000,94.42237580128206,92.0
18250,95.17152443910257,93.0
18500,95.9163348858173,93.0
18750,96.65876026642628,94.0
19000,97.4047601161859,95.0
19250,98.15353315304488,96.0
19500,98.89855018028847,96.0
19750,99.64080654046474,97.0
20000,100.38818985376602,98.0
20250,101.13659980969551,99.0
20500,101.8821051181891,99.0
20750,102.62413611778847,100.0
21000,103.37250225360577,101.0
21250,104.12075570913461,102.0
21500,104.86636117788461,102.0
21750,105.60893053886218,103.0
22000,106.35809169671474,104.0
22250,107.10596329126602,105.0
22500,107.85160632011218,105.0
22750,108.59488932291667,106.0
23000,109.3445074619391,107.0
23250,110.09215369591347,108.0
23500,110.83779672475961,108.0
23750,111.5818371895032,109.0
24000,112.33165564903847,110.0
24250,113.07927684294872,111.0
24500,113.82505133213141,111.0
24750,114.56998697916667,112.0
25000,115.31989307892628,113.0
25250,116.0673327323718,114.0
25500,116.8131823417468,114.0
25750,117.55901943108974,115.0
26000,118.30889423076923,116.0
26250,119.05646534455128,117.0
26500,119.80244641426282,117.0
26750,120.54917868589743,118.0
27000,121.29900340544872,119.0
27250,122.04644931891026,120.0
27500,122.79276842948718,120.0
27750,123.53995142227564,121.0
28000,124.28991386217949,122.0
28250,125.03732221554488,123.0
28500,125.78405448717949,123.0
28750,126.53151292067308,124.0
29000,127.2818134014423,125.0
29250,128.0291716746795,126.0
29500,128.77635466746796,126.0
29750,129.52393830128204,127.0
30000,130.27466446314102,128.0
30250,131.02211037660257,129.0
30500,131.76990685096155,129.0
30750,132.51749048477564,130.0
31000,133.2685797275641,131.0
31250,134.01615084134616,132.0
31500,134.76453575721155,132.0
31750,135.51203175080127,133.0
32000,136.26345903445514,134.0
32250,137.01114282852564,135.0
32500,137.76011618589743,135.0
32750,138.5074744591346,136.0
33000,139.25908954326923,137.0
33250,140.00694861778845,138.0
33500,140.7564978966346,138.0
33750,141.50383112980768,139.0
34000,142.25568409455127,140.0
34250,143.00381860977564,141.0
34500,143.75368088942307,141.0
34750,144.5010767227564,142.0
35000,145.25301732772436,143.0
35250,146.00150240384616,144.0
35500,146.7518028846154,144.0
35750,147.49932391826923,145.0
36000,148.25138972355768,146.0
36250,149.00030048076923,147.0
36500,149.75067608173077,147.0
36750,150.49847255608975,148.0
37000,151.25073868189102,149.0
37250,152.0,150.0
37500,152.75048828125,150.0
37750,153.49846003605768,151.0
38000,154.25076372195514,152.0
38250,155.00052584134616,153.0
38500,155.75090144230768,153.0
38750,156.49913611778845,154.0
39000,157.2518529647436,155.0
39250,158.00197816506412,156.0
39500,158.7522911658654,156.0
39750,159.50055088141025,157.0
40000,160.25353064903845,158.0
40250,161.0042442908654,159.0
40500,161.7544946915064,159.0
40750,162.50309244791666,160.0
41000,163.2564978966346,161.0
41250,164.00761217948718,162.0
41500,164.75777493990384,162.0
41750,165.50647285657053,163.0
42000,166.2603039863782,164.0
42250,167.0118189102564,165.0
42500,167.76194411057693,165.0
42750,168.5107421875,166.0
43000,169.26488631810898,167.0
43250,170.01657652243588,168.0
43500,170.7666015625,168.0
43750,171.51546223958334,169.0
44000,172.26993189102564,170.0
44250,173.02197265625,171.0
44500,173.77211037660257,171.0
44750,174.52115885416666,172.0
45000,175.27596654647436,173.0
45250,176.02808243189102,174.0
45500,176.77835787259616,174.0
45750,177.52764423076923,175.0
46000,178.28265224358975,176.0
46250,179.03513120993588,177.0
46500,179.78556941105768,177.0
46750,180.53509364983975,178.0
47000,181.29023938301282,179.0
47250,182.0428685897436,180.0
47500,182.79365735176282,180.0
47750,183.54344451121796,181.0
48000,184.29871544471155,182.0
48250,185.05162009214743,183.0
48500,185.80257161458334,183.0
48750,186.5525841346154,184.0
49000,187.30798026842947,185.0
49250,188.0611353165064,186.0
49500,188.81241235977564,186.0
49750,189.5625500801282,187.0
50000,190.3180213341346,188.0
50250,191.07141426282053,189.0
50500,191.82312950721155,189.0
50750,192.57335486778845,190.0
