t,x_vol,x_cross
250,42.334034455128204,40.0
500,43.11943171574519,41.0
750,43.87514085036058,41.0
1000,44.75401893028846,42.0
1250,45.86830491286058,43.0
1500,47.060127453926285,45.0
1750,48.21815216846955,46.0
2000,49.39675668569711,47.0
2250,50.61856470352564,48.0
2500,51.83969350961539,49.0
2750,53.055135091145836,51.0
3000,54.27607609675481,52.0
3250,55.502021985176285,53.0
3500,56.72437462439904,54.0
3750,57.95022661258013,56.0
4000,59.17798790564904,57.0
4250,60.40663499098558,58.0
4500,61.630687224559296,59.0
4750,62.857584635416664,60.0
5000,64.08856044671475,62.0
5250,65.3178961338141,63.0
5500,66.54572315705128,64.0
5750,67.77047651241986,65.0
6000,69.0022223056891,67.0
6250,70.23363005809296,68.0
6500,71.4643053886218,69.0
6750,72.69132486979166,70.0
7000,73.92185621995192,72.0
7250,75.15433443509616,73.0
7500,76.38643078926282,74.0
7750,77.61649889823718,75.0
8000,78.84634164663461,76.0
8250,80.07953350360577,78.0
8500,81.31221829927884,79.0
8750,82.54412685296474,80.0
9000,83.7742450420673,81.0
9250,85.00768103966347,83.0
9500,86.24064127604167,84.0
9750,87.4743902744391,85.0
10000,88.70590444711539,86.0
10250,89.94019180689102,88.0
10500,91.17303310296474,89.0
10750,92.40752704326923,90.0
11000,93.64102564102564,91.0
11250,94.87530674078526,92.0
11500,96.11031400240384,94.0
11750,97.34423828125,95.0
12000,98.57898888221153,96.0
12250,99.81278796073718,97.0
12500,101.04971078725961,99.0
12750,102.28456154847757,100.0
13000,103.52027619190706,101.0
13250,104.75408153044872,102.0
13500,105.99138621794872,104.0
13750,107.22827774439102,105.0
14000,108.46476236979167,106.0
14250,109.69923127003206,107.0
14500,110.93662985777243,109.0
14750,112.17474208733974,110.0
15000,113.41267903645833,111.0
15250,114.64766125801282,112.0
15500,115.88454026442308,113.0
15750,117.12433643830128,115.0
16000,118.36294320913461,116.0
16250,119.59927133413461,117.0
16500,120.83483573717949,118.0
16750,122.07578375400641,120.0
17000,123.31525440705128,121.0
17250,124.55307241586539,122.0
17500,125.78768529647436,123.0
17750,127.02900891426282,125.0
18000,128.26945612980768,126.0
18250,129.50880158253204,127.0
18500,130.74466646634616,128.0
18750,131.98536408253204,130.0
19000,133.2262995793269,131.0
19250,134.46662159455127,132.0
19500,135.70440204326923,133.0
19750,136.9449744591346,135.0
20000,138.1860101161859,136.0
20250,139.42705829326923,137.0
20500,140.6664037459936,138.0
20750,141.90747696314102,139.0
21000,143.1490259415064,141.0
21250,144.39026191907053,142.0
21500,145.63123497596155,143.0
21750,146.87248347355768,144.0
22000,148.11492137419873,146.0
22250,149.35591947115384,147.0
22500,150.5979942908654,148.0
22750,151.83911758814102,149.0
23000,153.08244441105768,151.0
23250,154.32399338942307,152.0
23500,155.56673177083334,153.0
23750,156.8076171875,154.0
24000,158.05187049278845,156.0
24250,159.29469651442307,157.0
24500,160.5379857772436,158.0
24750,161.77889623397436,159.0
25000,163.02350010016025,161.0
25250,164.26777844551282,162.0
25500,165.51159354967947,163.0
25750,166.75240384615384,164.0
26000,167.99690755208334,166.0
26250,169.24220002003204,167.0
26500,170.48681640625,168.0
26750,171.7276893028846,169.0
27000,172.97241836939102,171.0
27250,174.21846203926282,172.0
27500,175.46395482772436,173.0
27750,176.70504056490384,174.0
28000,177.94999499198718,176.0
28250,179.19635166266025,177.0
28500,180.44225761217947,178.0
28750,181.68396935096155,179.0
29000,182.92933693910257,181.0
29250,184.17604417067307,182.0
29500,185.42215044070514,183.0
29750,186.66478866185898,184.0
30000,187.91060697115384,185.0
30250,189.15768980368588,187.0
30500,190.40360827323718,188.0
30750,191.6475110176282,189.0
31000,192.89351712740384,190.0
31250,194.1410131209936,192.0
31500,195.38679387019232,193.0
31750,196.63202373798077,194.0
32000,197.87809244791666,195.0
32250,199.12557592147436,197.0
32500,200.3712439903846,198.0
32750,201.61791366185898,199.0
33000,202.86383213141025,200.0
33250,204.11144080528845,202.0
33500,205.35702123397436,203.0
33750,206.60447966746796,204.0
34000,207.85039813701923,205.0
34250,209.09821965144232,207.0
34500,210.34436348157053,208.0
34750,211.59175931490384,209.0
35000,212.8375525841346,210.0
35250,214.0853991386218,212.0
35500,215.33263221153845,213.0
35750,216.57926432291666,214.0
36000,217.82401842948718,215.0
36250,219.0717272636218,217.0
36500,220.31962389823718,218.0
36750,221.56584284855768,219.0
37000,222.80896935096155,220.0
37250,224.05578926282053,222.0
37500,225.30313501602564,223.0
37750,226.54810196314102,224.0
38000,227.78781049679486,225.0
38250,229.03195112179486,227.0
38500,230.27483974358975,228.0
38750,231.51462339743588,229.0
39000,232.74752103365384,230.0
39250,233.98352363782053,232.0
39500,235.21622095352564,233.0
39750,236.44488681891025,234.0
40000,237.66481370192307,235.0
40250,238.88431490384616,236.0
