t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.023007450625300407,0.0022928540129214525,1,"[12, 39]","[52, 486]",9,-2.521298307202903e-06,-3.3149156280025925e-06,0.9688520260917731,0.8680368502603971,0.002312822607870635,0.0023047158908980903,0.002310349891347374,0.00025159120559692383,0.0005235373973846436,1.0,1.0,0.012760236859321594,0.0022659364622086287,109131.70114133123,9758.325577020394,-68.61853843927383,398.2963915467262,326.5098814368248,-0.3196797705022618,-0.029185473667894257
2000,0.02216697670519352,0.0033779677469283342,1,"[12, 41]","[54, 486]",9,-6.098215803140983e-06,-2.6802327517456385e-06,0.9967177789822137,0.9665471070210303,0.0018544212449714825,0.0018544212449714825,0.0018544212449714825,0.00035694241523742676,0.00012576580047607422,1.0,1.0,0.012506331317126751,0.002204897813498974,108423.7350412657,10295.97558327874,-776.7794759869576,935.9397134780884,151.9339954853058,-0.5145172526536044,-0.0358698006511986
3000,0.021388499066233635,0.003778270445764065,1,"[12, 44]","[57, 486]",9,-2.9600217195503624e-06,-2.8285139157384343e-06,0.959828308428445,0.9818012874550058,0.002021786654389235,0.002021786654389235,0.002021786654389235,0.00033727288246154785,0.0003476142883300781,1.0,1.0,0.013419018127024174,0.0025079736951738596,107677.99769487574,11119.940530897851,-1522.6117475628853,1759.9026463627815,228.4322730898857,-0.6094424386246828,-0.03788453506967926
4000,0.023490216583013535,0.003957807086408138,1,"[12, 48]","[60, 486]",8,-5.0023946062468515e-06,-2.7307118598794187e-06,0.9250362091117565,0.9876198870691055,0.0019565237079443576,0.0019565237079443576,0.0019619862982348524,0.0003451704978942871,0.00023698806762695312,1.0,1.0,0.01522558182477951,0.0023300473112612963,106810.22398710178,11940.845615483688,-2390.4356275200844,2580.8096466064453,180.99801778793335,-0.6596146218653303,-0.03596887724233966
5000,0.021285222843289375,0.0040047490037977695,1,"[12, 51]","[64, 486]",9,-3.103006947858779e-06,-2.747928539231104e-06,0.9549332316951288,0.9928897746029651,0.001957024901026838,0.001957024901026838,0.001957024901026838,0.00036132335662841797,0.00028634071350097656,1.0,1.0,0.013105055317282677,0.002487498801201582,105948.43511080489,12814.812863055837,-3252.1936913132668,3454.78175508976,193.2856975197792,-0.6288021181535441,-0.03110796607688826
6000,0.02237306348979473,0.004043483175337315,1,"[12, 55]","[68, 486]",9,-3.1162734047480667e-06,-2.7507426686555264e-06,0.9604025622115655,0.995063886189817,0.0019757953336457246,0.001969998046150112,0.0019757953336457246,0.000394672155380249,0.00026866793632507324,1.0,1.0,0.015246069058775902,0.00286182202398777,105065.55802391193,13685.037923589924,-4134.98148804903,4325.01166164875,181.09575033187866,-0.5395119609602261,-0.026261941173288506
7000,0.02381986938416958,0.004056634847074747,1,"[12, 59]","[71, 486]",8,-1.7973233383062112e-06,-2.743071179691481e-06,0.6355536539535795,0.9865983991499919,0.0018992129377220501,0.0018992129377220501,0.0018938190694287038,0.00038170814514160156,0.00027257204055786133,1.0,1.0,0.016070879995822906,0.002324469853192568,104182.18496778344,14564.840749096666,-5018.229423463345,5204.818701207638,178.18080228567123,-0.414391246784362,-0.02204788902781729
8000,0.02137673646211624,0.004051346331834793,1,"[12, 62]","[75, 486]",9,-2.896698439967505e-06,-2.7184867518251327e-06,0.9467572995993854,0.9922516529624174,0.001954779533868911,0.001954779533868911,0.001954779533868911,0.0003852546215057373,0.0002796053886413574,1.0,1.0,0.013339745812118053,0.0025466657243669033,103296.82800166731,15444.149511286621,-5903.4323771595955,6084.132214784622,172.89528399705887,-0.26037882690434344,-0.017296501999226166
9000,0.022382095456123352,0.004064552020281553,1,"[12, 66]","[79, 486]",9,-2.9706366520629925e-06,-2.7509465868241055e-06,0.9795816828378632,0.9951420312976085,0.0019668446532966066,0.0019608911750487734,0.0019668446532966066,0.0003851354122161865,0.0002734661102294922,1.0,1.0,0.015254536643624306,0.0028597486671060324,102409.7183104845,16324.86929981647,-6790.391143381596,6964.857419371605,167.29684281349182,-0.10945386609819252,-0.011880444864800666
10000,0.023775095120072365,0.004070218652486801,1,"[12, 70]","[82, 486]",8,-2.156160300870561e-06,-2.736589930014055e-06,0.8189256141241521,0.9858812340804397,0.0019036203780605776,0.0019036203780605776,0.0019036203780605776,0.0003763735294342041,0.00027358531951904297,1.0,1.0,0.015991372987627983,0.0023222635500133038,101521.78251272501,17207.42955030791,-7678.178849756718,7847.4248923659325,162.72853028774261,0.038637518271571025,-0.004657941975892754
