t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.022233719006180763,0.003938002977520227,1,"[12, 39]","[52, 250]",9,-1.2884027937541644e-05,-5.964559218900525e-06,0.9997695192316431,0.9395461066122842,0.0022066699524128652,0.0021912088891201664,0.0022066699524128652,0.0003960132598876953,0.00020143389701843262,1.0,1.0,0.012082274071872234,0.0021666341926902533,52158.75170612677,9807.09389455139,-401.4289972782135,447.0636275410652,42.49244910478592,-0.18070340498525184,-0.030267010324678267
2000,0.021850766614079475,0.0053631397895514965,1,"[12, 43]","[56, 250]",9,-6.822785062177368e-06,-4.033185430654464e-06,0.9890833890441322,0.9831473914931369,0.001904743028710798,0.0018929074244291022,0.001904743028710798,0.0004843473434448242,0.00037673115730285645,1.0,1.0,0.01420284528285265,0.002851382829248905,51101.33767812144,10860.13261551553,-1458.7696832418442,1500.0976476669312,34.719751715660095,-0.10736136328341672,-0.03496784859817126
3000,0.021648963913321495,0.005745857488363981,1,"[12, 48]","[61, 250]",9,-4.3714138531774555e-06,-3.932464194604765e-06,0.969679583221018,0.9805753363421863,0.0018466733823105375,0.0018378267859333053,0.0018466733823105375,0.0005131959915161133,0.00039201974868774414,1.0,1.0,0.013830343261361122,0.0028488137759268284,49862.71834836773,12094.151201550447,-2697.3029177188873,2734.114648401737,28.829118013381958,-0.021266086616378743,-0.03655314870957227
4000,0.020632697269320488,0.005843208637088537,1,"[12, 54]","[66, 250]",8,-5.195176772387541e-06,-3.889138312641342e-06,0.9819979791811181,0.9755246679588536,0.0018671411088135859,0.0018671411088135859,0.0018671411088135859,0.0004968643188476562,0.00039777159690856934,1.0,1.0,0.011070569045841694,0.0025338896084576845,48574.52198288286,13376.436074144232,-3985.4192893505096,4016.402135312557,22.591076850891113,0.058727766627271194,-0.03393883167518652
5000,0.02290664240717888,0.005901900585740805,1,"[12, 59]","[71, 250]",8,-3.951282053492427e-06,-3.914212503593732e-06,0.8660203225659553,0.9345561897918964,0.0018088085348307859,0.0018088085348307859,0.0018221012839727546,0.0004935264587402344,0.0003935694694519043,1.0,1.0,0.017281660810112953,0.0030732061713933945,47270.29391145124,14673.660348368643,-5289.579128146172,5313.63232254982,15.693518996238708,0.1269604025874287,-0.028025818823152804
6000,0.02121693827211857,0.005911458283662796,1,"[12, 65]","[77, 250]",8,-4.400898517862957e-06,-3.853313770843766e-06,0.993631524753,0.9662326444833763,0.001845285718596823,0.001845285718596823,0.001845285718596823,0.0005083978176116943,0.00040087103843688965,1.0,1.0,0.01204482652246952,0.0026458813808858395,45959.7555227807,15976.458801154275,-6600.052458524704,6616.440411567688,8.276939690113068,0.19201869459357113,-0.018389586586636142
7000,0.023281708359718323,0.005939164664596319,1,"[12, 70]","[82, 250]",8,-3.980911516204862e-06,-3.943990659058136e-06,0.9440394177535198,0.9295153995368433,0.0018202726947735282,0.0018202726947735282,0.0018202726947735282,0.0005018115043640137,0.00038936734199523926,1.0,1.0,0.018477434292435646,0.0031342427246272564,44644.50250171765,17283.91983550092,-7915.2441729307175,7923.915007829666,0.907010018825531,0.25332535163033754,-0.004827671255043242
8000,0.02195751667022705,0.005945488810539246,1,"[12, 76]","[88, 250]",8,-5.203752263341891e-06,-3.876532917450331e-06,0.9894025085431047,0.9593182804285346,0.0018615730068808345,0.0018615730068808345,0.0018615730068808345,0.00046509504318237305,0.00039708614349365234,1.0,1.0,0.012882374227046967,0.0027562021277844906,43326.502366454864,18594.57462176098,-9233.186814308167,9234.587059855461,-5.9886274337768555,0.3108192369691096,0.012438094479875872
9000,0.02351447381079197,0.005963620264083147,1,"[12, 81]","[93, 250]",8,-3.826200069194686e-06,-3.9430336192199646e-06,0.9851784650997976,0.9265356312283328,0.001818282556899642,0.001818282556899642,0.001818282556899642,0.0005163252353668213,0.00038376450538635254,1.0,1.0,0.018997734412550926,0.0031832423992455006,42005.01414733426,19907.3497216362,-10554.6203404665,10547.381856322289,-14.286311745643616,0.36551219924149336,0.032134686087374575
10000,0.021568365395069122,0.0059715937823057175,1,"[12, 87]","[99, 250]",8,-5.042547860829241e-06,-3.961622507241864e-06,0.9790435175987161,0.9579033342835278,0.0018696346919450657,0.0018536677616633468,0.0018696346919450657,0.0004665553569793701,0.00038823485374450684,1.0,1.0,0.0148612717166543,0.002847644267603755,40681.79371275573,21223.591049694223,-11877.785365581512,11863.646094918251,-20.9332178235054,0.42092166275688214,0.05504522402770817
