step,umax,Pc,n_mixed,n_liq,n_gas
250,0.022205771878361702,0.0016793012619018555,12,56,172
500,0.01979122683405876,-0.00010791420936584473,18,54,168
750,0.019787779077887535,0.000690072774887085,26,50,164
1000,0.020926961675286293,0.0014680027961730957,32,48,160
1250,0.021705759689211845,0.0002218782901763916,34,48,158
1500,0.025596877560019493,0.0018188655376434326,34,48,158
1750,0.024927465245127678,0.0004981160163879395,36,48,156
2000,0.025836672633886337,0.001389831304550171,36,48,156
2250,0.02514817751944065,0.0012519359588623047,36,48,156
2500,0.025264546275138855,0.0007978081703186035,40,46,154
2750,0.025936855003237724,0.0015808045864105225,40,46,154
3000,0.025528738275170326,0.0007604360580444336,40,46,154
3250,0.0254991352558136,0.0014340579509735107,40,46,154
3500,0.02527182549238205,0.0011248886585235596,40,46,154
3750,0.025299161672592163,0.001072704792022705,40,46,154
4000,0.02519519440829754,0.0013889968395233154,40,46,154
4250,0.025166770443320274,0.0009482800960540771,40,46,154
4500,0.025234749540686607,0.0013759136199951172,40,46,154
4750,0.025188462808728218,0.0010917484760284424,40,46,154
5000,0.02527383342385292,0.0011830329895019531,40,46,154
5250,0.02524191327393055,0.0012663006782531738,40,46,154
5500,0.025260699912905693,0.0010619759559631348,40,46,154
5750,0.025287318974733353,0.0013059377670288086,40,46,154
6000,0.02526189386844635,0.0011014044284820557,40,46,154
6250,0.02530827187001705,0.0012175440788269043,40,46,154
6500,0.025282591581344604,0.0012042820453643799,40,46,154
6750,0.025303222239017487,0.0011300146579742432,40,46,154
7000,0.02530624531209469,0.0012531578540802002,40,46,154
7250,0.02529565803706646,0.0011259913444519043,40,46,154
7500,0.025318561121821404,0.0012208521366119385,40,46,154
7750,0.02530106157064438,0.0011787116527557373,40,46,154
8000,0.025317220017313957,0.0011663734912872314,40,46,154
8250,0.02531353570520878,0.0012187063694000244,40,46,154
8500,0.025312287732958794,0.0011491477489471436,40,46,154
8750,0.02532312273979187,0.001213163137435913,40,46,154
9000,0.025313811376690865,0.0011719465255737305,40,46,154
9250,0.02532535046339035,0.0011832118034362793,40,46,154
9500,0.025320859625935555,0.0011989474296569824,40,46,154
9750,0.025322867557406425,0.0011659562587738037,40,46,154
10000,0.025327030569314957,0.0012036561965942383,40,46,154
10250,0.025321660563349724,0.0011731386184692383,40,46,154
10500,0.025328325107693672,0.0011893510818481445,40,46,154
10750,0.02532387711107731,0.0011892318725585938,40,46,154
11000,0.025326257571578026,0.0011763274669647217,40,46,154
11250,0.02532689832150936,0.0011960864067077637,40,46,154
11500,0.02532448247075081,0.0011768043041229248,40,46,154
11750,0.02532804198563099,0.001190185546875,40,46,154
12000,0.025324992835521698,0.0011855065822601318,40,46,154
12250,0.025326944887638092,0.00118178129196167,40,46,154
12500,0.025326617062091827,0.001191258430480957,40,46,154
12750,0.025325734168291092,0.0011802315711975098,40,46,154
13000,0.025327550247311592,0.0011891722679138184,40,46,154
