t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
1000,38304,38287.98828125,38420.875,1,38304,1.0034434795379639,0.334481159845988,146,80,245,240,240,0.9340571761131287,1.007096529006958,0.025473222136497498,0.0015446561155840755,0.8850643038749695,1.007096529006958
2000,38352,38293.40234375,38428.8359375,1,38352,1.003388524055481,0.33446284135182697,146,79,246,264,264,0.9354990720748901,1.0074678659439087,0.02503490447998047,0.0015022277366369963,0.8885128498077393,1.0074678659439087
3000,38376,38310.9140625,38435.11328125,1,38376,1.0030704736709595,0.3343568245569865,146,79,246,276,276,0.9387726187705994,1.006905198097229,0.025089291855692863,0.0015008896589279175,0.8879401087760925,1.006905198097229
4000,38376,38313.25,38440.38671875,1,38376,1.003152847290039,0.334384282430013,146,79,246,276,276,0.9390825629234314,1.0070582628250122,0.025131313130259514,0.0014978453982621431,0.8879731297492981,1.0070582628250122
5000,38376,38315.703125,38445.01953125,1,38376,1.0032165050506592,0.33440550168355304,146,79,246,276,276,0.9388001561164856,1.0070300102233887,0.025147151201963425,0.0015004248125478625,0.8880241513252258,1.0070300102233887
6000,38376,38321.15234375,38449.203125,1,38376,1.0031992197036743,0.3343997399012248,146,79,246,276,276,0.9380465745925903,1.007034182548523,0.02515888400375843,0.001501064863987267,0.8883818984031677,1.007034182548523
7000,38376,38325.28125,38453.02734375,1,38376,1.00320303440094,0.33440101146698,146,79,246,276,276,0.9375209808349609,1.0070281028747559,0.025173766538500786,0.0015011777868494391,0.8886042237281799,1.0070281028747559
8000,38376,38328.47265625,38456.57421875,1,38376,1.0032216310501099,0.3344072103500366,146,79,246,276,276,0.9371193051338196,1.007030725479126,0.025185517966747284,0.001501706661656499,0.8887765407562256,1.007030725479126
9000,38376,38331.68359375,38459.859375,1,38376,1.0032331943511963,0.3344110647837321,146,79,246,276,276,0.9366377592086792,1.0070306062698364,0.02520669810473919,0.0015021152794361115,0.8889589309692383,1.0070306062698364
10000,38376,38334.78125,38462.9609375,1,38376,1.0032426118850708,0.33441420396169025,146,79,246,276,276,0.936053454875946,1.0070358514785767,0.02521076798439026,0.0015019286656752229,0.8892359137535095,1.0070358514785767
11000,38376,38337.578125,38465.87890625,1,38376,1.0032546520233154,0.33441821734110516,146,79,246,276,276,0.9355244636535645,1.0070255994796753,0.025223074480891228,0.001501444960013032,0.8894752860069275,1.0070255994796753
12000,38376,38340.17578125,38468.6171875,1,38376,1.0032662153244019,0.3344220717748006,146,79,246,276,276,0.9350175261497498,1.0070432424545288,0.025219645351171494,0.0015015678945928812,0.8896929621696472,1.0070432424545288
13000,38376,38342.6796875,38471.1875,1,38376,1.0032755136489868,0.3344251712163289,146,79,246,276,276,0.9430457353591919,1.0072386264801025,0.02520425245165825,0.0015022342558950186,0.8899101614952087,1.0072386264801025
14000,38376,38345.0078125,38473.61328125,1,38376,1.00328528881073,0.33442842960357666,146,79,246,276,276,0.9380738139152527,1.0073699951171875,0.025262854993343353,0.0015014614909887314,0.8900980949401855,1.0073699951171875
15000,38376,38347.22265625,38475.89453125,1,38376,1.0032936334609985,0.3344312111536662,146,79,246,276,276,0.9385191798210144,1.0070024728775024,0.0252702496945858,0.0015022001462057233,0.8902924060821533,1.0070024728775024
16000,38376,38349.24609375,38478.0390625,1,38376,1.0033036470413208,0.3344345490137736,146,79,246,276,276,0.9389368295669556,1.0073628425598145,0.025361618027091026,0.0015014855889603496,0.8902738094329834,1.0073628425598145
17000,38376,38351.20703125,38480.0546875,1,38376,1.0033109188079834,0.33443697293599445,146,79,246,276,276,0.9393149614334106,1.0073256492614746,0.025202946737408638,0.0015019051497802138,0.8901684880256653,1.0073256492614746
18000,38376,38353.05859375,38481.953125,1,38376,1.0033174753189087,0.33443915843963623,146,79,246,276,276,0.9396633505821228,1.0073390007019043,0.025227893143892288,0.0015024625463411212,0.8900742530822754,1.0073390007019043
19000,38376,38354.78515625,38483.73828125,1,38376,1.0033248662948608,0.33444162209828693,146,79,246,276,276,0.9399901032447815,1.007339596748352,0.025399349629878998,0.0015026128385215998,0.8899816274642944,1.007339596748352
20000,38376,38356.39453125,38485.4296875,1,38376,1.0033318996429443,0.33444396654764813,146,79,246,276,276,0.9402995109558105,1.0073113441467285,0.025196073576807976,0.0015015833778306842,0.8898980021476746,1.0073113441467285
21000,38376,38357.93359375,38487.015625,1,38376,1.0033376216888428,0.33444587389628094,146,79,246,276,276,0.9402176141738892,1.0072457790374756,0.025162020698189735,0.0015019598649814725,0.8898136019706726,1.0072457790374756
22000,38376,38359.38671875,38488.5078125,1,38376,1.0033429861068726,0.3344476620356242,146,79,246,276,276,0.9399891495704651,1.0069835186004639,0.025228528305888176,0.0015018725534901023,0.889747679233551,1.0069835186004639
23000,38376,38360.7421875,38489.90625,1,38376,1.0033483505249023,0.33444945017496747,146,79,246,276,276,0.9397352933883667,1.007258653640747,0.02521519362926483,0.001502135768532753,0.8896737694740295,1.007258653640747
24000,38376,38362.015625,38491.234375,1,38376,1.0033535957336426,0.33445119857788086,146,79,246,276,276,0.9395075440406799,1.0071560144424438,0.02526593953371048,0.0015018496196717024,0.8896051049232483,1.0071560144424438
25000,38376,38363.24609375,38492.46875,1,38376,1.0033570528030396,0.3344523509343465,146,79,246,276,276,0.939308226108551,1.0072590112686157,0.02537359483540058,0.001503432635217905,0.8895518183708191,1.0072590112686157
26000,38376,38364.390625,38493.6484375,1,38376,1.0033611059188843,0.3344537019729614,146,79,246,276,276,0.9391425251960754,1.0071921348571777,0.025121694430708885,0.0015020258724689484,0.8895001411437988,1.0071921348571777
27000,38376,38365.484375,38494.75390625,1,38376,1.0033642053604126,0.3344547351201375,146,79,246,276,276,0.9389675259590149,1.0072021484375,0.025206947699189186,0.0015037625562399626,0.8894504308700562,1.0072021484375
28000,38376,38366.46484375,38495.79296875,1,38376,1.003368854522705,0.3344562848409017,146,79,246,276,276,0.9388012886047363,1.0071475505828857,0.025248831138014793,0.001503008883446455,0.8894054889678955,1.0071475505828857
29000,38400,38367.43359375,38496.78515625,1,38400,1.0033005475997925,0.3344335158665975,146,79,246,288,288,0.9386362433433533,1.0071964263916016,0.025284772738814354,0.001503526116721332,0.889459490776062,1.0071964263916016
30000,38400,38368.33203125,38497.70703125,1,38400,1.0033035278320312,0.33443450927734375,146,79,246,288,288,0.9384898543357849,1.0071384906768799,0.02518635243177414,0.0015030205249786377,0.8895288705825806,1.0071384906768799
31000,38400,38369.19921875,38498.58203125,1,38400,1.0033055543899536,0.3344351847966512,146,79,246,288,288,0.9383779168128967,1.0071394443511963,0.025190794840455055,0.001503276638686657,0.8895653486251831,1.0071394443511963
32000,38400,38370.01953125,38499.3984375,1,38400,1.0033079385757446,0.33443597952524823,146,79,246,288,288,0.9382935166358948,1.0071396827697754,0.02521185390651226,0.0015033541712909937,0.8895979523658752,1.0071396827697754
