t,m_r,m_b,eps_r,eps_b,umax,urms,rho_min,rho_max,E_psi
1000,38399.996803137285,38399.94421863575,8.325163321387663e-08,1.4526396940558092e-06,0.025473222136497498,0.0015446561155840755,0.8850643038749695,1.007096529006958,3.443284270664056e-05
2000,38399.95873117886,38399.83626011605,1.0747088839480056e-06,4.264059477918636e-06,0.02503490447998047,0.0015022277366369963,0.8885128498077393,1.0074678659439087,5.158184717098872e-05
3000,38399.90266384367,38399.697429547276,2.5347957377637916e-06,7.879438873032996e-06,0.025089291855692863,0.0015008896589279175,0.8879401087760925,1.006905198097229,5.827220156788826e-05
4000,38399.84017541808,38399.56274462745,4.162098487464997e-06,1.1386858660102916e-05,0.025131313130259514,0.0014978453982621431,0.8879731297492981,1.0070582628250122,5.7169397672017414e-05
5000,38399.77923175549,38399.43798381358,5.74917303405679e-06,1.4635838188041816e-05,0.025147151201963425,0.0015004248125478625,0.8880241513252258,1.0070300102233887,6.182720263799032e-05
6000,38399.72295090602,38399.312029916066,7.214820155733529e-06,1.791588760246062e-05,0.02515888400375843,0.001501064863987267,0.8883818984031677,1.007034182548523,6.421718125542005e-05
7000,38399.6715956564,38399.1849603811,8.5521964479085e-06,2.122499007555234e-05,0.025173766538500786,0.0015011777868494391,0.8886042237281799,1.0070281028747559,6.556235253810882e-05
8000,38399.62496201623,38399.05429511909,9.766614160753307e-06,2.4627731273767496e-05,0.025185517966747284,0.001501706661656499,0.8887765407562256,1.007030725479126,6.633831808964412e-05
9000,38399.57830761714,38398.9164940403,1.0981572470238159e-05,2.8216301033883912e-05,0.02520669810473919,0.0015021152794361115,0.8889589309692383,1.0070306062698364,6.704296916723251e-05
10000,38399.52591729015,38398.796451021466,1.23459039023525e-05,3.134242131598815e-05,0.02521076798439026,0.0015019286656752229,0.8892359137535095,1.0070358514785767,6.810101370016733e-05
11000,38399.47475428721,38398.67784000797,1.3678273770665328e-05,3.4431249792419296e-05,0.025223074480891228,0.001501444960013032,0.8894752860069275,1.0070255994796753,6.998848170042038e-05
12000,38399.42380950811,38398.55800901834,1.5004960726325104e-05,3.7551848480651034e-05,0.025219645351171494,0.0015015678945928812,0.8896929621696472,1.0070432424545288,7.20659705499808e-05
13000,38399.37414173447,38398.433284500636,1.629839233146413e-05,4.079988279594697e-05,0.02520425245165825,0.0015022342558950186,0.8899101614952087,1.0072386264801025,6.83217744032542e-05
14000,38399.32696177488,38398.304612019725,1.75270371124725e-05,4.415072865299408e-05,0.025262854993343353,0.0015014614909887314,0.8900980949401855,1.0073699951171875,6.954039136568705e-05
15000,38399.27965251383,38398.17606842711,1.875904911893637e-05,4.7498218044097485e-05,0.0252702496945858,0.0015022001462057233,0.8902924060821533,1.0070024728775024,7.184827700257301e-05
16000,38399.234112409125,38398.04742319404,1.9944989345693407e-05,5.084835432190478e-05,0.025361618027091026,0.0015014855889603496,0.8902738094329834,1.0073628425598145,6.772405778368314e-05
17000,38399.18904275097,38397.918140937254,2.111867836011546e-05,5.4215079759008705e-05,0.025202946737408638,0.0015019051497802138,0.8901684880256653,1.0073256492614746,6.960304453969001e-05
18000,38399.14533728911,38397.784603511755,2.2256841429377043e-05,5.7692616881392196e-05,0.025227893143892288,0.0015024625463411212,0.8900742530822754,1.0073390007019043,6.836200132966042e-05
19000,38399.102193737126,38397.65434250806,2.3380371429008542e-05,6.108483051927275e-05,0.025399349629878998,0.0015026128385215998,0.8899816274642944,1.007339596748352,7.038487742344538e-05
20000,38399.06067385955,38397.522638329414,2.4461618240820827e-05,6.451462683817985e-05,0.025196073576807976,0.0015015833778306842,0.8898980021476746,1.0073113441467285,6.914161145687104e-05
21000,38399.01234274852,38397.39413560902,2.572024092387437e-05,6.786105184839168e-05,0.025162020698189735,0.0015019598649814725,0.8898136019706726,1.0072457790374756,7.082582140962283e-05
22000,38398.974099116414,38397.25584979694,2.671616884337406e-05,7.146224487144082e-05,0.025228528305888176,0.0015018725534901023,0.889747679233551,1.0069835186004639,7.264532769719759e-05
