x,psi_midslice
0,0.0
1,0.0
2,0.0
3,-1.0005019903182983
4,-1.0004909038543701
5,-1.0004256963729858
6,-1.0004523992538452
7,-1.0005377531051636
8,-1.000539779663086
9,-1.0004091262817383
10,-1.000415563583374
11,-1.00055730342865
12,-1.000560998916626
13,-1.0003950595855713
14,-1.0003974437713623
15,-1.0005695819854736
16,-1.0005717277526855
17,-1.0003868341445923
18,-1.0003877878189087
19,-1.0005754232406616
20,-1.0005762577056885
21,-1.0003831386566162
22,-1.0003834962844849
23,-1.000577688217163
24,-1.0005779266357422
25,-1.0003817081451416
26,-1.0003818273544312
27,-1.00057852268219
28,-1.0005786418914795
29,-1.0003812313079834
30,-1.0003812313079834
31,-1.0005791187286377
32,-1.0005791187286377
33,-1.0003809928894043
34,-1.0003811120986938
35,-1.0005791187286377
36,-1.0005792379379272
37,-1.0003808736801147
38,-1.0003808736801147
39,-1.0005794763565063
40,-1.000579595565796
41,-1.0003807544708252
42,-1.0003807544708252
43,-1.000579833984375
44,-1.0005799531936646
45,-1.0003803968429565
46,-1.0003803968429565
47,-1.0005801916122437
48,-1.0005804300308228
49,-1.0003798007965088
50,-1.0003798007965088
51,-1.0005810260772705
52,-1.0005810260772705
53,-1.0003786087036133
54,-1.000378966331482
55,-1.000581979751587
56,-1.000581979751587
57,-1.000378131866455
58,-1.0003783702850342
59,-1.0005826950073242
60,-1.0005824565887451
61,-1.0003807544708252
62,-1.000380516052246
63,-1.0005834102630615
64,-1.0005834102630615
65,-1.000383734703064
66,-1.0003852844238281
67,-1.0005851984024048
68,-1.0005857944488525
69,-1.0003941059112549
70,-1.0003856420516968
71,-1.0005700588226318
72,-1.0005745887756348
73,-1.0004360675811768
74,-1.000413179397583
75,-1.0005159378051758
76,-1.0005261898040771
77,-1.0004924535751343
78,-1.0001065731048584
79,-0.9296138882637024
80,-0.5884225368499756
81,-0.16632521152496338
82,0.09020973742008209
83,0.28105464577674866
84,0.44237861037254333
85,0.5809975862503052
86,0.6984488368034363
87,0.7968280911445618
88,0.8729661703109741
89,0.9294889569282532
90,0.9684046506881714
91,0.9870395660400391
92,0.9939670562744141
93,0.9954270124435425
94,0.9965357780456543
95,0.997495174407959
96,0.9982525706291199
97,0.9988285303115845
98,0.9992596507072449
99,0.9995906949043274
100,0.9998477697372437
101,1.0000299215316772
102,1.0001325607299805
103,1.0001835823059082
104,1.0002189874649048
105,1.000239610671997
106,1.0002394914627075
107,1.0002237558364868
108,1.0002262592315674
109,1.0002398490905762
110,1.0002434253692627
111,1.0002319812774658
112,1.000231146812439
113,1.0002400875091553
114,1.0002433061599731
115,1.000236988067627
116,1.0002361536026
117,1.000240683555603
118,1.0002423524856567
119,1.0002387762069702
120,1.0002387762069702
121,1.000241994857788
122,1.0002421140670776
123,1.0002384185791016
124,1.0002386569976807
125,1.0002431869506836
126,1.0002434253692627
127,1.0002371072769165
128,1.000237226486206
129,1.0002449750900269
130,1.000246286392212
131,1.0002353191375732
132,1.0002351999282837
133,1.0002481937408447
134,1.0002498626708984
135,1.0002326965332031
136,1.0002323389053345
137,1.0002515316009521
138,1.0002530813217163
139,1.0002286434173584
140,1.0002291202545166
141,1.0002562999725342
142,1.0002590417861938
143,1.0002191066741943
144,1.0002210140228271
145,1.0002655982971191
146,1.0002663135528564
147,1.0002171993255615
148,1.000215768814087
149,1.0002658367156982
150,1.0002645254135132
151,1.0002179145812988
152,1.0002169609069824
153,1.0002647638320923
154,1.0002641677856445
155,1.0002175569534302
156,1.000217080116272
157,1.0002647638320923
158,1.0002644062042236
159,1.0002167224884033
160,1.0002167224884033
161,1.0002650022506714
162,1.0002647638320923
163,1.0002161264419556
164,1.0002158880233765
165,1.0002654790878296
166,1.00026535987854
167,1.0002154111862183
168,1.0002151727676392
169,1.0002658367156982
170,1.0002655982971191
171,1.00021493434906
172,1.0002143383026123
173,1.0002654790878296
174,1.00026535987854
175,1.0002168416976929
176,1.000213623046875
177,1.000260591506958
178,1.0002628564834595
179,1.0002273321151733
180,1.0002152919769287
181,1.000244140625
182,1.0002572536468506
183,1.000246286392212
184,1.0002241134643555
185,1.0002235174179077
186,1.0002485513687134
187,1.0002626180648804
188,1.0002366304397583
189,1.0002110004425049
190,1.0002405643463135
191,1.0002731084823608
192,1.0002453327178955
193,1.00020170211792
194,1.0002331733703613
195,1.0002825260162354
196,1.0002528429031372
197,1.000190019607544
198,1.0002238750457764
199,1.0002925395965576
200,1.0002572536468506
201,1.0001866817474365
202,1.0002206563949585
203,1.0002894401550293
204,1.000258207321167
205,1.0001904964447021
206,1.0002200603485107
207,1.0002870559692383
208,1.0002598762512207
209,1.0001919269561768
210,1.0002169609069824
211,1.0002844333648682
212,1.0002617835998535
213,1.000196099281311
214,1.00021231174469
215,1.000275731086731
216,1.0002624988555908
217,1.0002145767211914
218,1.000205636024475
219,1.000243902206421
220,1.0002639293670654
221,1.0002379417419434
222,1.0001680850982666
223,1.0001094341278076
224,1.0000462532043457
225,0.9998823404312134
226,0.9995980262756348
227,0.9992401003837585
228,0.9988290667533875
229,0.9982799291610718
230,0.99751216173172
231,0.9965327978134155
232,0.9954326748847961
233,0.9939899444580078
234,0.9870427250862122
235,0.9684381484985352
236,0.9294713735580444
237,0.8730350732803345
238,0.7968147993087769
239,0.6984556317329407
240,0.5810428857803345
241,0.4424040913581848
242,0.28110480308532715
243,0.09026069939136505
244,-0.16628174483776093
245,-0.5883805155754089
246,-0.9295835494995117
247,-1.000133752822876
248,-1.0004990100860596
249,-1.0005000829696655
250,-1.0004836320877075
251,-1.0004935264587402
252,-1.0005016326904297
253,-1.0005033016204834
254,-1.0004818439483643
255,-1.0004825592041016
256,-1.000500202178955
257,-1.000506043434143
258,-1.000486135482788
259,-1.0004853010177612
260,-1.0004985332489014
261,-1.0005004405975342
262,-1.0004889965057373
263,-1.0004884004592896
264,-1.0004972219467163
265,-1.0004974603652954
266,-1.0004907846450806
267,-1.000490427017212
268,-1.000495195388794
269,-1.000495195388794
270,-1.0004918575286865
271,-1.0004916191101074
272,-1.0004937648773193
273,-1.0004937648773193
274,-1.0004923343658447
275,-1.0004920959472656
276,-1.000493049621582
277,-1.000493049621582
278,-1.0004923343658447
279,-1.0004923343658447
280,-1.0004925727844238
281,-1.0004925727844238
282,-1.0004924535751343
283,-1.0004923343658447
284,-1.0004923343658447
285,-1.0004923343658447
286,-1.0004923343658447
287,-1.0004923343658447
288,-1.0004920959472656
289,-1.0004920959472656
290,-1.0004923343658447
291,-1.0004923343658447
292,-1.0004918575286865
293,-1.0004918575286865
294,-1.0004924535751343
295,-1.0004924535751343
296,-1.0004913806915283
297,-1.0004913806915283
298,-1.000493049621582
299,-1.0004929304122925
300,-1.0004901885986328
301,-1.0004903078079224
302,-1.000494360923767
303,-1.0004942417144775
304,-1.0004879236221313
