x,rho_col,rho_mid,psi_col,vx_col,vm_mid
0,0,0,0,0,0
1,0,0,0,0,0
2,1,1,-1,0.00016683922,0.00022798596
3,1,1,-1,0.00050234422,0.00069731474
4,1,1,-1,0.00084319757,0.0011825473
5,1,1,-1,0.0011908909,0.0016808421
6,1,1,-1,0.0015479325,0.0021907755
7,1,1,-1,0.0019159737,0.0027104053
8,1,1,-1,0.0022978436,0.0032390519
9,1,1,-1,0.002695672,0.0037756159
10,1,1,-1,0.0031129553,0.0043198667
11,1,1,-1,0.0035608341,0.0048799734
12,0.99910629,0.99902838,-1.0003324,0.0037967099,0.0051935706
13,0.99908555,0.99902809,-1.0001719,0.0037941558,0.0052445321
14,0.99906874,0.99902904,-1.0002384,0.0037912168,0.005300567
15,0.99905151,0.99902254,-1.0002024,0.0037873609,0.0053512775
16,0.99903655,0.9990133,-1.0002179,0.0037833552,0.0054039289
17,0.99902302,0.99900478,-1.0002133,0.0037787189,0.0054484345
18,0.9990105,0.998999,-1.0002153,0.0037744252,0.00548793
19,0.99899799,0.99898809,-1.0002159,0.0037700075,0.0055222521
20,0.99898511,0.99897289,-1.0002164,0.0037665493,0.0055507226
21,0.99897099,0.99895877,-1.0002176,0.0037635595,0.0055741491
22,0.99895519,0.99894565,-1.0002178,0.0037621283,0.0055937753
23,0.99893719,0.9989267,-1.000219,0.0037615711,0.0056112711
24,0.99891704,0.99890238,-1.0002195,0.0037629253,0.0056258938
25,0.99889416,0.99887866,-1.0002205,0.0037652345,0.0056386692
26,0.99886888,0.99885595,-1.0002213,0.0037694313,0.0056503862
27,0.9988414,0.99882776,-1.0002221,0.0037742581,0.0056620622
28,0.99881214,0.99879521,-1.0002229,0.0037806027,0.0056726476
29,0.99878162,0.99876475,-1.0002238,0.0037870021,0.0056822873
30,0.99875027,0.99873686,-1.0002246,0.003794427,0.005691688
31,0.99871856,0.99870509,-1.0002253,0.0038012953,0.0057012592
32,0.99868667,0.99867046,-1.0002261,0.0038087445,0.0057098041
33,0.99865538,0.99863982,-1.0002271,0.0038151203,0.0057172044
34,0.99862474,0.998613,-1.0002277,0.0038218438,0.0057241758
35,0.99859494,0.99858427,-1.0002286,0.0038272047,0.005730873
36,0.99856597,0.99855357,-1.0002292,0.0038328564,0.0057364786
37,0.99853802,0.99852741,-1.0002303,0.0038369803,0.0057404214
38,0.9985109,0.99850619,-1.000231,0.0038414772,0.0057439464
39,0.99848467,0.998483,-1.0002319,0.0038443888,0.0057470081
40,0.99845934,0.99845803,-1.0002326,0.0038478517,0.005749247
41,0.99843478,0.99843705,-1.0002335,0.003849721,0.00575
42,0.99841082,0.99842006,-1.0002341,0.0038523388,0.0057510119
43,0.99838734,0.99839997,-1.0002352,0.0038533623,0.0057519632
44,0.99836445,0.99837655,-1.0002359,0.0038553695,0.0057529677
45,0.99834186,0.99835575,-1.0002367,0.0038557947,0.0057530631
46,0.99831969,0.99833739,-1.0002376,0.0038574759,0.0057543837
47,0.99829745,0.9983145,-1.0002384,0.003857577,0.0057561318
48,0.99827534,0.99828714,-1.000239,0.0038591938,0.0057587917
49,0.99825346,0.99826187,-1.0002401,0.0038591933,0.0057605905
50,0.99823153,0.99823904,-1.0002407,0.0038609433,0.0057640793
51,0.99820966,0.99821186,-1.0002416,0.003860994,0.0057676509
52,0.99818772,0.99818116,-1.0002424,0.0038629945,0.0057720826
53,0.99816591,0.99815381,-1.0002433,0.0038631405,0.005774965
54,0.99814427,0.99813038,-1.0002439,0.0038653957,0.0057793017
55,0.99812275,0.99810421,-1.0002449,0.0038656224,0.0057828273
56,0.99810123,0.99807596,-1.0002456,0.0038681419,0.0057870052
57,0.99808002,0.99805242,-1.0002464,0.0038684546,0.0057888473
58,0.99805921,0.99803388,-1.0002471,0.0038712402,0.0057921144
59,0.99803829,0.99801314,-1.000248,0.0038716395,0.0057939482
60,0.99801773,0.99799114,-1.0002487,0.0038746984,0.0057965973
61,0.99799716,0.9979741,-1.0002494,0.0038751799,0.0057964246
62,0.99797702,0.99796218,-1.0002502,0.0038784964,0.0057981173
63,0.99795669,0.99794793,-1.0002509,0.0038790496,0.0057981499
64,0.99793673,0.99793148,-1.0002518,0.0038825637,0.0057995096
65,0.99791688,0.99791956,-1.0002526,0.0038830584,0.0057978523
66,0.99789703,0.99791205,-1.0002531,0.003886631,0.0057986006
67,0.99787736,0.99790132,-1.000254,0.0038869495,0.0057975366
68,0.99785793,0.99788761,-1.0002546,0.0038904417,0.0057983454
69,0.99783856,0.997877,-1.0002555,0.0038904953,0.0057960558
70,0.99781919,0.99787015,-1.0002561,0.0038938026,0.0057966956
71,0.99779981,0.99785888,-1.0002569,0.0038935184,0.0057953624
72,0.9977805,0.99784338,-1.0002576,0.003896594,0.0057964385
73,0.99776119,0.99783069,-1.0002586,0.0038960006,0.0057942262
74,0.99774158,0.99782073,-1.0002592,0.0038988118,0.0057953848
75,0.99772203,0.99780571,-1.0002601,0.0038979144,0.0057945158
76,0.99770236,0.99778581,-1.0002608,0.0039004446,0.0057963454
77,0.99768263,0.99776816,-1.0002619,0.0038992972,0.0057948055
78,0.99766266,0.99775308,-1.0002627,0.0039015184,0.0057967678
79,0.99764252,0.99773258,-1.0002639,0.0039001727,0.005796616
80,0.99762255,0.99770737,-1.0002649,0.00390208,0.0057992307
81,0.99760222,0.99768466,-1.0002662,0.0039005983,0.0057984162
82,0.9975819,0.99766427,-1.0002674,0.0039022106,0.0058009736
83,0.99756134,0.99763894,-1.0002689,0.0039007526,0.0058015417
84,0.99754077,0.99760884,-1.0002702,0.0039021869,0.005804732
85,0.99751985,0.99758136,-1.0002723,0.0039009238,0.0058045285
86,0.99749893,0.99755722,-1.0002738,0.0039021641,0.0058071325
87,0.99747759,0.99752849,-1.0002763,0.0039010537,0.0058076093
88,0.99745667,0.99749583,-1.0002784,0.0039019112,0.0058097164
89,0.99743563,0.99746686,-1.0002813,0.0039008085,0.0058078859
90,0.99741501,0.99744225,-1.0002835,0.0039011668,0.0058073853
91,0.99739391,0.99741369,-1.0002872,0.0039002693,0.0058044395
92,0.99737263,0.99738109,-1.0002899,0.003900602,0.005801633
93,0.99735045,0.99735194,-1.000294,0.0039005436,0.0057940455
94,0.99732786,0.99732625,-1.0002968,0.0039012749,0.0057853609
95,0.99730456,0.99729502,-1.0003018,0.003901792,0.0057725995
96,0.99728239,0.99725944,-1.0003047,0.0039015184,0.0057555642
97,0.9972626,0.99722707,-1.0003098,0.0038999964,0.0057287556
98,0.99724621,0.99720001,-1.0003128,0.0038957626,0.0056921355
99,0.99723423,0.99717164,-1.0003158,0.0038899356,0.0056405324
100,0.99722582,0.99714518,-1.0003204,0.0038806461,0.005568
101,0.99722213,0.99712873,-1.0003181,0.0038702404,0.0054680225
102,0.99722171,0.99712151,-1.000324,0.003855295,0.0053373543
103,0.99722576,0.99711388,-1.0003167,0.0038413077,0.0051683858
104,0.99722767,0.99710524,-1.0003189,0.0038235516,0.004947043
105,0.99722397,0.99710453,-1.0003078,0.0038154195,0.0046621249
106,0.99720871,0.9971149,-1.0003043,0.0038028455,0.0043023354
107,0.99717927,0.9971351,-1.0002887,0.0038098081,0.0038494878
108,0.99713898,0.99716681,-1.0002818,0.0038000047,0.0032885091
109,0.99708599,0.9972316,-1.0002607,0.0038199474,0.002620717
110,0.99702543,0.99735433,-1.0002536,0.0038033838,0.0018716453
111,0.99677354,0.99705935,-1.0002217,0.0038278752,0.0011191762
112,0.97679627,0.93971276,-0.99796569,0.0038068609,0.0011659788
113,0.94218296,0.88345528,-0.66653442,0.0038418232,0.0022074885
114,0.9381395,0.94279331,-0.081750415,0.0037946086,0.0029956107
115,0.95756787,1.0039388,0.33031172,0.0038291514,0.0033436769
116,0.9721483,1.0062861,0.60359627,0.003827296,0.0035734116
117,0.98111981,1.0061876,0.79320776,0.0037785536,0.0041270303
118,0.99065244,1.0061127,0.91105592,0.0038062506,0.0047683287
119,0.99819475,1.0060431,0.97731107,0.0037146562,0.0054467437
120,1.0031013,1.0059679,0.99140704,0.0037691151,0.0060962765
121,1.0043564,1.0058874,0.99296355,0.0037717032,0.0066368864
122,1.0049292,1.0058047,0.99401945,0.0038031559,0.0070355404
123,1.0051925,1.0057236,0.99509901,0.0037780851,0.0072696796
124,1.0053287,1.0056489,0.99603271,0.0037921141,0.0073591233
125,1.0053961,1.0055841,0.99677569,0.0037676555,0.0073251766
126,1.005427,1.0055338,0.99735928,0.0037658582,0.0072120586
127,1.0054322,1.0054985,0.99782246,0.003742011,0.0070471368
128,1.0054302,1.0054762,0.99819732,0.0037344766,0.0068664853
129,1.0054291,1.0054646,0.99850553,0.0037218309,0.0066825803
130,1.0054369,1.0054612,0.99876267,0.0037255364,0.0065160221
131,1.0054514,1.0054653,0.99897963,0.0037301106,0.006366916
132,1.0054698,1.0054761,0.99916369,0.0037449552,0.006245424
133,1.0054877,1.0054909,0.99932009,0.0037571902,0.0061443183
134,1.0055039,1.005506,0.99945325,0.0037743861,0.0060670441
135,1.0055176,1.0055174,0.99956572,0.0037874817,0.0060034557
