x,psi,rho,vx,vm
0,0,0,0,0
1,0,0,0,0
2,-1,1,0.00022883316,0.00022893974
3,-1,1,0.00069682085,0.00069706701
4,-1,1,0.0011840238,0.0011843288
5,-1,1,0.001681663,0.0016819746
6,-1,1,0.0021947823,0.0021950672
7,-1,1,0.0027156058,0.0027158463
8,-1,1,0.0032502485,0.0032504378
9,-1,1,0.0037922228,0.0037923618
10,-1,1,0.0043493053,0.0043494017
11,-1,1,0.0049272398,0.0049273018
12,-1.0004109,0.99894953,0.0052581565,0.0052582156
13,-1.0002065,0.99893111,0.0053093131,0.0053093857
14,-1.0003363,0.9989143,0.005373064,0.0053731352
15,-1.000303,0.99888921,0.0054267012,0.005426771
16,-1.0002909,0.99886173,0.005488304,0.005488364
17,-1.000278,0.99883568,0.0055359346,0.0055359835
18,-1.0003155,0.99881423,0.0055840034,0.0055840379
19,-1.0003146,0.99878937,0.005621694,0.0056217192
20,-1.0002776,0.99876195,0.0056575094,0.005657529
21,-1.0002789,0.99873906,0.0056826305,0.005682644
22,-1.0003183,0.99872065,0.0057074209,0.0057074288
23,-1.0003188,0.99869937,0.005723957,0.0057239626
24,-1.0002785,0.99867511,0.005740759,0.0057407636
25,-1.0002806,0.99865544,0.0057491474,0.0057491511
26,-1.0003225,0.9986397,0.0057598785,0.0057598809
27,-1.0003232,0.99862063,0.0057642343,0.0057642362
28,-1.0002824,0.99859869,0.0057710567,0.0057710591
29,-1.0002846,0.99857986,0.0057710204,0.0057710228
30,-1.0003276,0.99856472,0.0057750866,0.005775088
31,-1.0003285,0.99854559,0.0057738447,0.0057738461
32,-1.0002875,0.99852282,0.0057766926,0.0057766954
33,-1.0002902,0.99850303,0.0057732589,0.0057732612
34,-1.0003337,0.998487,0.0057747024,0.0057747047
35,-1.000335,0.9984681,0.0057705338,0.0057705361
36,-1.0002939,0.99844778,0.0057699797,0.0057699829
37,-1.0002971,0.99843341,0.0057617426,0.0057617459
38,-1.0003405,0.99842614,0.00575718,0.0057571828
39,-1.0003418,0.99841928,0.0057454067,0.0057454095
40,-1.0002992,0.99841326,0.0057366355,0.0057366393
41,-1.0003026,0.99841368,0.0057197106,0.0057197139
42,-1.0003445,0.99841958,0.0057074716,0.0057074744
43,-1.000345,0.99842346,0.0056886375,0.0056886394
44,-1.000302,0.99842417,0.0056753,0.0056753019
45,-1.0003035,0.99842471,0.0056560622,0.005656064
46,-1.0003408,0.99842167,0.0056448323,0.0056448332
47,-1.0003421,0.99841106,0.0056290734,0.0056290738
48,-1.0003405,0.99839234,0.0056191646,0.0056191646
49,-1.0003399,0.99836576,0.0056043994,0.0056044012
50,-1.0003297,0.99833077,0.0055924184,0.0055924268
51,-1.0003278,0.99829185,0.0055691916,0.0055692107
52,-1.0003437,0.99825233,0.0055421386,0.0055421731
53,-1.0003381,0.99821144,0.0054984889,0.005498555
54,-1.0003184,0.99817139,0.0054398146,0.0054399478
55,-1.000309,0.99813652,0.0053526964,0.0053529413
56,-1.0003121,0.99810684,0.0052399407,0.0052403733
57,-1.0003027,0.99807978,0.005085656,0.0050864317
58,-1.0002848,0.99805528,0.0048866193,0.0048880065
59,-1.00027,0.99803567,0.0046250476,0.0046274713
60,-1.0002586,0.99802184,0.0042957799,0.0042999629
61,-1.0002407,0.99801564,0.0038784386,0.0038856512
62,-1.0002196,0.99802196,0.0033677937,0.0033801266
63,-1.0001907,0.99805045,0.002756109,0.0027766125
64,-1.0001626,0.99812001,0.0020766743,0.0021070559
65,-1.0001253,0.99784166,0.0014247315,0.0014551382
66,-0.99326408,0.94529504,0.0016415303,0.0017056779
67,-0.091614462,0.88896519,0.0027691138,0.002937607
68,0.8967784,0.93884677,0.0037690795,0.0037715097
69,1.0002754,1.000109,0.0039731478,0.0039740531
70,1.0000827,1.0072942,0.0040355525,0.0040412764
71,1.0001029,1.0072161,0.0044805738,0.0044868197
72,1.0000707,1.0071754,0.0050209868,0.0050291657
73,1.0000821,1.007144,0.0056251385,0.0056333407
74,1.0000739,1.0071101,0.0062231845,0.006229457
75,1.0000758,1.0070697,0.0067331609,0.0067368858
76,1.0000713,1.0070255,0.0071149059,0.007116532
77,1.0000689,1.0069791,0.0073456643,0.0073460843
78,1.0000651,1.0069342,0.007438391,0.007438404
79,1.0000618,1.0068924,0.007414123,0.0074142097
80,1.0000577,1.0068561,0.0073091798,0.0073095062
81,1.0000539,1.0068247,0.0071522114,0.0071527436
82,1.0000499,1.0067985,0.0069733257,0.006973953
83,1.0000459,1.0067751,0.0067893984,0.0067900131
84,1.0000421,1.0067531,0.0066160285,0.0066165598
85,1.0000389,1.0067304,0.0064578583,0.0064582769
86,1.0000354,1.0067065,0.0063204542,0.0063207601
87,1.0000321,1.0066807,0.0062023127,0.0062025231
88,1.0000292,1.0066533,0.0061041289,0.0061042658
89,1.0000263,1.0066229,0.0060219024,0.0060219867
90,1.0000238,1.0065894,0.0059541226,0.0059541715
91,1.0000215,1.0065513,0.0058966158,0.0058966419
92,1.0000193,1.0065079,0.0058474923,0.0058475048
93,1.0000176,1.0064594,0.0058040516,0.0058040568
94,1.000016,1.006408,0.0057658772,0.0057658786
95,1.0000145,1.0063571,0.0057329917,0.0057329922
96,1.0000134,1.0063106,0.0057062199,0.0057062199
97,1.0000122,1.0062715,0.0056868112,0.0056868112
98,1.0000112,1.006242,0.0056746956,0.0056746961
99,1.0000103,1.0062221,0.0056702266,0.0056702276
100,1.0000093,1.0062108,0.0056716362,0.0056716376
101,1.0000088,1.0062058,0.0056785191,0.0056785205
102,1.0000086,1.0062046,0.0056880596,0.0056880615
103,1.0000081,1.0062053,0.0057001621,0.005700164
104,1.0000072,1.0062054,0.0057118661,0.0057118684
105,1.0000067,1.0062035,0.0057238094,0.0057238117
106,1.0000074,1.006198,0.005733287,0.0057332893
107,1.0000074,1.0061886,0.0057418896,0.0057418919
108,1.0000067,1.0061748,0.0057471776,0.00574718
109,1.0000057,1.0061578,0.005751533,0.0057515353
110,1.0000062,1.0061375,0.0057529006,0.0057529029
111,1.0000072,1.006115,0.0057542622,0.0057542645
112,1.0000072,1.006091,0.0057533737,0.0057533765
113,1.0000064,1.0060667,0.0057532904,0.0057532927
114,1.0000067,1.0060418,0.0057514296,0.0057514315
115,1.0000072,1.0060167,0.0057509379,0.0057509397
116,1.0000072,1.0059922,0.0057488731,0.0057488745
117,1.0000069,1.0059681,0.0057484368,0.0057484382
118,1.0000067,1.0059446,0.0057465117,0.0057465127
119,1.0000067,1.0059217,0.0057464521,0.0057464531
120,1.0000066,1.0058998,0.0057448512,0.0057448517
121,1.0000067,1.0058786,0.0057452926,0.0057452931
122,1.0000063,1.0058584,0.0057441914,0.0057441914
123,1.0000064,1.0058392,0.0057452209,0.0057452214
124,1.0000064,1.005821,0.0057446994,0.0057446994
125,1.0000064,1.0058037,0.0057464349,0.0057464349
126,1.0000063,1.0057876,0.005746555,0.005746555
127,1.0000066,1.0057721,0.0057489472,0.0057489472
128,1.0000063,1.0057576,0.005749627,0.005749627
129,1.0000058,1.005744,0.0057526049,0.0057526049
130,1.0000058,1.0057311,0.005753723,0.005753723
131,1.0000064,1.0057184,0.0057571591,0.0057571591
132,1.0000064,1.0057061,0.0057585002,0.0057585007
133,1.0000055,1.005694,0.0057621659,0.0057621663
134,1.0000055,1.005682,0.0057635941,0.0057635945
135,1.0000067,1.0056695,0.0057671499,0.0057671503
136,1.0000067,1.0056567,0.0057682046,0.0057682046
137,1.0000052,1.0056434,0.0057712966,0.005771297
138,1.0000052,1.0056289,0.0057716663,0.0057716668
139,1.0000069,1.0056136,0.0057741068,0.0057741073
140,1.0000069,1.0055971,0.005773596,0.0057735965
141,1.0000048,1.0055797,0.0057750721,0.0057750721
142,1.000005,1.0055608,0.0057735955,0.0057735955
143,1.0000076,1.0055406,0.0057741036,0.0057741036
144,1.0000074,1.0055193,0.005771616,0.005771616
145,1.0000045,1.005497,0.0057712756,0.0057712756
146,1.0000049,1.0054737,0.0057680025,0.0057680025
147,1.0000081,1.0054498,0.0057669245,0.0057669245
148,1.000008,1.0054257,0.0057631386,0.0057631386
149,1.0000048,1.0054014,0.0057619014,0.0057619014
150,1.0000048,1.0053767,0.0057581281,0.0057581281
151,1.000008,1.0053527,0.005757113,0.005757113
152,1.0000081,1.0053293,0.0057537183,0.0057537183
153,1.0000046,1.0053068,0.0057532368,0.0057532368
154,1.0000045,1.0052848,0.0057505928,0.0057505928
155,1.0000077,1.0052639,0.0057509881,0.0057509881
