step,x_vol,x_cross
250,40.344564,39
500,41.146096,40
750,41.900528,40
1000,42.67708,41
1250,43.569079,42
1500,44.517027,43
1750,45.452001,44
2000,46.384412,45
2250,47.329258,46
2500,48.276849,47
2750,49.222891,48
3000,50.169211,49
3250,51.116934,50
3500,52.065858,51
3750,53.015566,52
4000,53.965285,53
4250,54.914322,53
4500,55.863701,54
4750,56.813013,55
5000,57.762326,56
5250,58.712775,57
5500,59.663242,58
5750,60.612724,59
6000,61.563257,60
6250,62.514911,61
6500,63.466866,62
6750,64.418272,63
7000,65.370217,64
7250,66.322203,65
7500,67.274589,66
7750,68.227514,67
8000,69.180201,68
8250,70.132518,69
8500,71.084992,70
8750,72.037785,71
9000,72.990917,72
9250,73.943578,72
9500,74.896503,73
9750,75.849422,74
10000,76.801827,75
10250,77.75457,76
10500,78.708283,77
10750,79.661928,78
11000,80.614959,79
11250,81.569154,80
11500,82.524633,81
11750,83.480494,82
12000,84.43611,83
12250,85.391933,84
12500,86.347443,85
12750,87.302684,86
13000,88.257925,87
13250,89.213379,88
13500,90.168783,89
13750,91.124036,90
14000,92.079552,91
14250,93.035306,92
14500,93.991449,93
14750,94.946896,93
15000,95.902707,94
15250,96.858736,95
15500,97.814641,96
15750,98.770589,97
16000,99.727595,98
16250,100.68485,99
16500,101.64161,100
16750,102.59794,101
17000,103.5558,102
17250,104.51382,103
17500,105.47214,104
17750,106.42989,105
18000,107.3881,106
18250,108.34619,107
18500,109.30413,108
18750,110.26208,109
19000,111.22018,110
19250,112.17825,111
19500,113.13627,112
19750,114.09455,113
20000,115.05319,114
20250,116.01229,115
20500,116.97124,116
20750,117.93,116
21000,118.88911,117
21250,119.84803,118
21500,120.80655,119
21750,121.76534,120
22000,122.72475,121
22250,123.68409,122
22500,124.64288,123
22750,125.60155,124
23000,126.56166,125
23250,127.52186,126
23500,128.48228,127
23750,129.44216,128
24000,130.40253,129
24250,131.36284,130
24500,132.32317,131
24750,133.28369,132
25000,134.24438,133
25250,135.20527,134
25500,136.1661,135
25750,137.12683,136
26000,138.08778,137
26250,139.0488,138
26500,140.01019,139
26750,140.9713,140
27000,141.93212,140
27250,142.89327,141
27500,143.85428,142
27750,144.815,143
28000,145.77588,144
28250,146.73739,145
28500,147.69898,146
28750,148.66033,147
29000,149.62114,148
29250,150.58317,149
29500,151.5459,150
29750,152.50873,151
30000,153.47194,152
30250,154.43453,153
30500,155.39764,154
30750,156.36055,155
31000,157.32325,156
31250,158.28588,157
31500,159.24869,158
31750,160.21143,159
32000,161.17404,160
32250,162.13672,161
32500,163.09955,162
32750,164.0625,163
33000,165.02574,164
33250,165.98893,165
33500,166.95165,165
33750,167.91468,166
34000,168.87775,167
34250,169.84075,168
34500,170.80359,169
34750,171.7669,170
35000,172.73078,171
35250,173.69451,172
35500,174.6579,173
35750,175.62073,174
36000,176.58476,175
36250,177.54929,176
36500,178.51371,177
36750,179.47852,178
37000,180.44247,179
37250,181.40699,180
37500,182.37149,181
37750,183.33591,182
38000,184.30023,183
38250,185.26472,184
38500,186.22928,185
38750,187.19381,186
39000,188.15819,187
39250,189.12273,188
39500,190.0876,189
39750,191.05261,190
40000,192.01795,191
