step,rho_liq,rho_gas,p_liq,p_gas,pc_bands,m_r,m_b,inj_r,inj_b,umax,urms
250,1,1,0.33303597,0.33178256,-0.0012534062,52800.053,9129.9647,-0.029415488,9.9128913,0.019644411,0.0023231409
1000,1,1,0.33287772,0.32977611,-0.0031016072,52483.945,9551.6403,-316.47536,431.4909,0.02248681,0.0033114676
2000,1,1,0.33290394,0.33083224,-0.0020716985,51689,10354.216,-1112.0297,1233.9331,0.021942642,0.0039314097
3000,1,1,0.33291384,0.32993044,-0.0029833913,50826.995,11215.607,-1974.6366,2095.1697,0.023638224,0.00404057
4000,1,1,0.33290275,0.33058339,-0.0023193558,49952.685,12084.341,-2849.5429,2963.7285,0.021386966,0.004033003
5000,1,1,0.33288755,0.32963743,-0.0032501221,49076.614,12954.669,-3726.1916,3833.8678,0.022614982,0.0040610628
6000,1,1,0.33291819,0.33007044,-0.002847751,48198.928,13827.821,-4604.4414,4706.8279,0.024026783,0.0040737377
7000,1,1,0.33286367,0.33068204,-0.0021816293,47317.985,14701.243,-5485.9329,5580.0562,0.021523008,0.0040607383
8000,1,1,0.33286585,0.32970436,-0.00316149,46436.411,15577.846,-6368.041,6456.4584,0.022992391,0.004087714
9000,1,1,0.33286752,0.3302261,-0.0026414196,45552.602,16455.843,-7252.3697,7334.2422,0.024217999,0.0040891566
10000,1,1,0.33283794,0.33069543,-0.0021425088,44666.002,17334.766,-8139.4806,8212.9426,0.021608936,0.0040867017
11000,1,1,0.33284223,0.32966987,-0.0031723579,43778.793,18217.332,-9027.1916,9095.2746,0.023000151,0.004112341
12000,1,1,0.33283617,0.33009259,-0.0027435819,42889.448,19100.886,-9917.0319,9978.583,0.024146015,0.0041205185
13000,1,1,0.3328231,0.33059919,-0.0022239089,41997.465,19985.589,-10809.508,10863.029,0.021530466,0.0041096932
14000,1,1,0.3328051,0.32954218,-0.0032629172,41104.607,20873.814,-11702.855,11750.984,0.022648649,0.0041344319
15000,1,1,0.33282161,0.32983754,-0.0029840668,40209.734,21763.145,-12598.215,12640.032,0.023863802,0.0041450164
16000,1,1,0.33278531,0.33040017,-0.0023851395,39313.477,22653.226,-13494.952,13529.818,0.02130009,0.0041286745
17000,1,1,0.3327598,0.33072348,-0.0020363132,38415.333,23546.214,-14393.564,14422.5,0.021931432,0.0041512838
18000,1,1,0.33275298,0.32963433,-0.0031186541,37516.06,24440.652,-15293.294,15316.617,0.023267023,0.0041649155
19000,1,1,0.3327593,0.33004632,-0.0027129849,36615.337,25335.797,-16194.457,16211.425,0.023916451,0.0041682241
20000,1,1,0.33275743,0.3304677,-0.0022897323,35713.766,26232.633,-17096.449,17107.909,0.021436714,0.0041582352
21000,1,1,0.33272225,0.32932434,-0.0033979019,34810.215,27131.619,-18000.402,18006.531,0.022201555,0.004177127
22000,1,1,0.3327168,0.32962962,-0.0030871828,33905.846,28031.244,-18905.158,18905.776,0.023348421,0.0041865869
23000,1,1,0.33272481,0.33002633,-0.0026984811,33000.832,28931.564,-19810.54,19805.701,0.023913994,0.0041881809
24000,1,1,0.33269902,0.3303864,-0.0023126205,32095.518,29833.7,-20716.21,20707.426,0.02140577,0.00417725
25000,1,1,0.33267452,0.3292316,-0.0034429232,31188.459,30736.491,-21623.609,21609.794,0.022026567,0.0041938107
26000,1,1,0.33268376,0.3295363,-0.003147463,30280.549,31639.711,-22531.845,22512.576,0.023170752,0.004200906
27000,1,1,0.33272813,0.32977583,-0.0029522975,29372.832,32543.707,-23439.876,23416.116,0.023958746,0.0042057335
28000,1,1,0.33265279,0.33022809,-0.0024246971,28464.691,33449.123,-24348.317,24321.063,0.021249803,0.0041838461
29000,1,1,0.33262378,0.33052204,-0.0021017392,27556.468,34354.536,-25256.828,25225.992,0.021940313,0.0041972133
30000,1,1,0.332639,0.32936337,-0.0032756329,26646.962,35259.971,-26166.608,26130.928,0.022691133,0.0042086435
31000,1,1,0.33263781,0.32960997,-0.0030278365,25737.464,36165.699,-27076.37,27036.143,0.023623291,0.0042121308
32000,1,1,0.33261853,0.33004099,-0.0025775433,24828.505,37072.667,-27985.584,27942.585,0.020982942,0.0041830316
33000,1,1,0.33261122,0.33032342,-0.0022878051,23919.188,37979.541,-28895.144,28848.922,0.021483677,0.0041938773
34000,1,1,0.33258478,0.33056257,-0.0020222068,23010.152,38886.14,-29804.413,29754.97,0.022038097,0.0042101806
35000,1,1,0.3325839,0.32941649,-0.0031674107,22100.519,39792.509,-30714.271,30660.771,0.02311746,0.0042144717
36000,1,1,0.33263284,0.32963212,-0.0030007164,21191.071,40699.494,-31623.935,31567.172,0.023917697,0.0042140465
37000,1,1,0.33257415,0.33010852,-0.0024656256,20282.236,41606.707,-32532.979,32473.787,0.021178259,0.0041873516
38000,1,1,0.33256759,0.33040474,-0.0021628539,19373.349,42513.402,-33442.068,33379.87,0.021669565,0.0041949307
39000,1,1,0.33253866,0.32920388,-0.0033347805,18465.268,43419.485,-34350.343,34285.329,0.02247851,0.0042105084
40000,1,1,0.33253062,0.32946042,-0.0030701955,17556.893,44326.028,-35258.904,35191.233,0.023450062,0.0042141881
