t,x_vol,x_cross
250,42.33397498497596,40.0
500,43.11914688501602,41.0
750,43.874358348357376,41.0
1000,44.75289212740385,42.0
1250,45.866883889222755,43.0
1500,47.058287009214745,45.0
1750,48.21561999198718,46.0
2000,49.3937017978766,47.0
2250,50.61526567508013,48.0
2500,51.83609713040865,49.0
2750,53.05111929086539,51.0
3000,54.2717034755609,52.0
3250,55.49733010316506,53.0
3500,56.7193853916266,54.0
3750,57.94481169871795,56.0
4000,59.17222243088942,57.0
4250,60.400594075520836,58.0
4500,61.62453362880609,59.0
4750,62.85062036758814,60.0
5000,64.08117362780449,62.0
5250,65.31020257411859,63.0
5500,66.53786057692308,64.0
5750,67.76217573116986,65.0
6000,68.9935772235577,67.0
6250,70.22475961538461,68.0
6500,71.4553473056891,69.0
6750,72.68235426682692,70.0
7000,73.9124035957532,72.0
7250,75.14473157051282,73.0
7500,76.3766338641827,74.0
7750,77.60674579326923,75.0
8000,78.8361065204327,76.0
8250,80.06909805689102,78.0
8500,81.30174529246794,79.0
8750,82.5337164463141,80.0
9000,83.76378455528847,81.0
9250,84.99718925280449,83.0
9500,86.23018704927884,84.0
9750,87.46402368790064,85.0
10000,88.6955065604968,86.0
10250,89.9297125400641,88.0
10500,91.16264147636218,89.0
10750,92.39712289663461,90.0
11000,93.63091571514423,91.0
11250,94.8650653545673,92.0
11500,96.10047951722757,94.0
11750,97.33429737580128,95.0
12000,98.56927333733974,96.0
12250,99.8029284354968,97.0
12500,101.04007036258012,99.0
12750,102.27512770432692,100.0
13000,103.51106770833333,101.0
13250,104.74510466746794,102.0
13500,105.982421875,104.0
13750,107.21946990184294,105.0
14000,108.4563238681891,106.0
14250,109.69106820913461,107.0
14500,110.92859199719551,109.0
14750,112.16689202724359,110.0
15000,113.40517327724359,111.0
15250,114.64060621995192,112.0
15500,115.87782326722757,113.0
15750,117.11807642227564,115.0
16000,118.35722155448718,116.0
16250,119.59403796073718,117.0
16500,120.8300030048077,118.0
16750,122.07140174278847,120.0
17000,123.31136067708333,121.0
17250,124.5498297275641,122.0
17500,125.78505608974359,123.0
17750,127.02695562900641,125.0
18000,128.26795372596155,126.0
18250,129.50788762019232,127.0
18500,130.7442658253205,128.0
18750,131.98551432291669,130.0
19000,133.22705078125,131.0
19250,134.46807391826923,132.0
19500,135.7063927283654,133.0
19750,136.94759114583331,135.0
20000,138.18916516426282,136.0
20250,139.43087690304486,137.0
20500,140.67057291666666,138.0
20750,141.91238481570514,139.0
21000,143.1541466346154,141.0
21250,144.39622145432693,142.0
21500,145.63762019230768,143.0
21750,146.87961989182693,144.0
22000,148.12248347355768,146.0
22250,149.36432041266025,147.0
22500,150.60725911458334,148.0
22750,151.84919621394232,149.0
23000,153.0932116386218,151.0
23250,154.33546173878204,152.0
23500,155.5787134415064,153.0
23750,156.82061298076923,154.0
24000,158.06551732772436,156.0
24250,159.30911959134616,157.0
24500,160.55305989583334,158.0
24750,161.79488431490384,159.0
25000,163.04058994391025,161.0
25250,164.28589493189102,162.0
25500,165.53038611778845,163.0
25750,166.77199769631412,164.0
26000,168.01784104567307,166.0
26250,169.26408503605768,167.0
26500,170.50921474358975,168.0
26750,171.75056340144232,169.0
27000,172.99639423076923,171.0
27250,174.24317658253204,172.0
27500,175.48922025240384,173.0
27750,176.73076923076923,174.0
28000,177.9771008613782,176.0
28250,179.22425881410257,177.0
28500,180.47089092548077,178.0
28750,181.7130408653846,179.0
29000,182.95982321714743,181.0
29250,184.20735677083334,182.0
29500,185.45408904246796,183.0
29750,186.6972155448718,184.0
30000,187.9444360977564,186.0
30250,189.19205729166666,187.0
30500,190.43898988381412,188.0
30750,191.68346854967947,189.0
31000,192.93091446314102,191.0
31250,194.1786608573718,192.0
31500,195.4258313301282,193.0
31750,196.67171223958334,194.0
32000,197.9194836738782,196.0
32250,199.16711738782053,197.0
32500,200.41433794070514,198.0
32750,201.66149589342947,199.0
33000,202.90935496794873,200.0
33250,204.15703876201923,202.0
33500,205.40450971554486,203.0
33750,206.65235627003204,204.0
34000,207.90035306490384,205.0
34250,209.14834985977564,207.0
34500,210.39639673477564,208.0
34750,211.64396784855768,209.0
35000,212.89166416266025,210.0
35250,214.13987379807693,212.0
35500,215.38860927483975,213.0
35750,216.63590494791666,214.0
36000,217.8824744591346,215.0
36250,219.13069661458334,217.0
36500,220.37980769230768,218.0
36750,221.6268028846154,219.0
37000,222.87189503205127,220.0
37250,224.12041766826923,222.0
37500,225.36786358173077,223.0
37750,226.61290564903845,224.0
38000,227.85484274839743,225.0
38250,229.10081129807693,227.0
38500,230.34392528044873,228.0
38750,231.5829577323718,229.0
39000,232.81758313301282,230.0
39250,234.05601462339743,232.0
39500,235.28948818108975,233.0
39750,236.5174278846154,234.0
40000,237.73750500801282,235.0
40250,238.96008613782053,237.0
