t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.022846903651952744,0.004711929243057966,-1.3598712051615721e-05,-7.422870015078853e-06,0.9956233349585396,0.9672883350621537,0.003041515143607454,0.0005058960003011537,0.0006013196858172809,1.0,1.0,0.01844898983836174,0.00393648399040103,0.003973292652517557,33814.78477876839,6493.462440356698,-349.5984877347946,409.3654610514641,58.02009117603302,-0.38326650318776956,-0.0969793052336172
2000,0.020622655749320984,0.005324182100594044,-1.1571661218421035e-05,-6.88997421035224e-06,0.9940138565175642,0.9658353340177038,0.002881470135488229,0.00045972822548501213,0.0006368957366958972,1.0,1.0,0.020622655749320984,0.004813102539628744,0.003540590638294816,33091.61451073017,7222.216313243388,-1073.172193646431,1138.0211406946182,61.37880486249924,-0.7867043766018469,-0.1951725487697331
3000,0.021101607009768486,0.005402213893830776,-1.0182378638502388e-05,-5.140571909792351e-06,0.9819832756324928,0.9069899234831995,0.0029038172614312963,0.0005066276717390905,0.0009861130453313605,1.0,1.0,0.021101607009768486,0.004902523476630449,0.003668328979983926,32326.779579043927,7984.217890862905,-1838.4200259447098,1899.9134898781776,57.54248809814453,-1.1996049886365654,-0.3044009847271809
4000,0.0216427780687809,0.005419326014816761,-8.195350247045702e-06,-7.282932572822411e-06,0.9904055472736849,0.9564302187906388,0.002936619459052603,0.0005321176782731585,0.0006517966920362994,1.0,1.0,0.0216427780687809,0.00489084841683507,0.003711596829816699,31555.66688010299,8749.157121159948,-2609.9328969717026,2664.7313959002495,50.908419609069824,-1.5997770746907918,-0.4257252596980834
5000,0.021738335490226746,0.005433143116533756,-9.689908375078602e-06,-8.546423545497246e-06,0.9998192689559079,0.9881462410322993,0.002977185174415864,0.00047013562325376457,0.0004413729556792534,1.0,1.0,0.021738335490226746,0.004973259288817644,0.003980468492954969,30783.079923112557,9515.042899784565,-3382.909916996956,3430.48760586977,43.985776007175446,-1.9898401095124427,-0.5552939147946745
6000,0.022129341959953308,0.00543753057718277,-1.1824240738698421e-05,-8.140247374931923e-06,0.9841255989457711,0.9839995730810029,0.0029850691481606573,0.00038272193209698546,0.00048679310941335263,1.0,1.0,0.018761562183499336,0.004994609858840704,0.003930343315005302,30009.919282690695,10281.362781412246,-4156.451595902443,4196.666984200478,37.019220530986786,-2.370878593137604,-0.6957972117688769
7000,0.02248307690024376,0.005440773442387581,-1.0736465932210798e-05,-4.262489112303064e-06,0.9248085759587682,0.874896005782549,0.0028427867670403617,0.0003828600898997947,0.0010703702236454782,1.0,1.0,0.018623536452651024,0.0049694254994392395,0.0039479974657297134,29236.184423646853,11047.817693964515,-4930.557497382164,4962.9707154631615,29.646799385547638,-2.7419210290172487,-0.8469785013530782
8000,0.022794006392359734,0.0054437401704490185,-8.533205737405624e-06,-6.3643297728358904e-06,0.8699275346669726,0.6336128146667592,0.0028482001465222617,0.00044943569576677556,0.0007625254810705862,1.0,1.0,0.01851079985499382,0.00493067130446434,0.004026133567094803,28462.046124143475,11814.665596409763,-5705.043365955353,5729.655757367611,22.26842373609543,-3.0894900988278096,-1.0098390421517252
9000,0.023022253066301346,0.005446737632155418,-6.566381948514515e-06,-9.883703155951556e-06,0.9259605148404475,0.7666660116023736,0.0029065822534769525,0.0005510402395128566,0.00026430065433180605,1.0,1.0,0.0191070307046175,0.004948644898831844,0.003978790249675512,27687.440511156918,12582.022882491725,-6479.983098864555,6496.839437544346,14.891703486442566,-3.423610021472996,-1.18344494737903
10000,0.023247187957167625,0.005448250100016594,-7.133383084747319e-06,-1.121562392635236e-05,0.9850216156949689,0.8716597426004413,0.002984405407638002,0.0005645186817951897,8.914015071564974e-05,1.0,1.0,0.019861042499542236,0.004915060941129923,0.003959564492106438,26912.53915849856,13349.555276425672,-7255.214081645012,7264.18809992075,7.31410139799118,-3.75324014357102,-1.3671765049220994
11000,0.02350739575922489,0.005449709948152304,-8.115355662485909e-06,-6.988724285268919e-06,0.9991378625331443,0.9663398482534702,0.0028596913566328874,0.0005171342807656076,0.000610492180587896,1.0,1.0,0.020768074318766594,0.004832047503441572,0.004004430025815964,26137.310696231547,14117.560968315327,-8030.753136754036,8032.000063657761,-0.21760129928588867,-4.063832985582849,-1.5609046575664252
12000,0.02012062445282936,0.005416779313236475,-9.501601922959788e-06,-6.86328957743904e-06,0.9950451996333255,0.9562681028477173,0.002886722562950972,0.0004407855119296644,0.0006099438424255199,1.0,1.0,0.02012062445282936,0.004903348162770271,0.00343416933901608,25361.72220818969,14886.06931791466,-8806.631804585457,8800.305886387825,-7.733922362327576,-4.354012775147567,-1.7634315268351202
13000,0.020317111164331436,0.005424391478300095,-9.228141709443065e-06,-7.144190410878694e-06,0.9950231973566889,0.9633315998270217,0.0028815434010224794,0.0004533410019204598,0.000562780946758823,1.0,1.0,0.020317111164331436,0.004917962942272425,0.0034969584085047245,24585.880963032716,15655.13449592881,-9582.757242321968,9569.158743441105,-15.113790214061737,-4.6382053546840325,-1.975752487705904
14000,0.020520664751529694,0.005431462544947863,-8.938654779112984e-06,-7.011743391898174e-06,0.9828432956303517,0.946146522345299,0.0028780294482471103,0.00047301069074678903,0.000575250094348223,1.0,1.0,0.020520664751529694,0.004920800216495991,0.0035369894467294216,23809.8778263653,16424.822681708953,-10359.032338738441,10338.626113533974,-22.214622378349304,-4.910165103741747,-2.196568174978893
15000,0.02066200226545334,0.005437035579234362,-8.519450053176158e-06,-6.792827803186247e-06,0.9853186844312541,0.9499938731375562,0.0028812926656717752,0.0005115055132143831,0.000601837434764052,1.0,1.0,0.02066200226545334,0.004927908070385456,0.0035562515258789062,23033.723297197248,17194.74743442725,-11135.431216716766,11108.317695081234,-29.422788977622986,-5.154513914014387,-2.429739346014685
16000,0.020809562876820564,0.00544263981282711,-8.011306511524727e-06,-6.057800137421526e-06,0.979152806791547,0.9577290254551761,0.0028651025571800326,0.0005631024838027576,0.0006745545435928313,1.0,1.0,0.020809562876820564,0.004959345795214176,0.003586570732295513,22257.385545102705,17964.906469927384,-11911.997039437294,11878.227135419846,-36.80309349298477,-5.382584539998788,-2.6793345075384423
17000,0.02098630927503109,0.005447180010378361,-7.4288862593023115e-06,-5.4022287302502884e-06,0.9680257971927956,0.9438039847492421,0.00283846203315663,0.0006172067872556863,0.0007301948021650184,1.0,1.0,0.02098630927503109,0.004970523528754711,0.0036493849474936724,21480.96969407451,18735.344106198412,-12688.641099095345,12648.398290395737,-44.2339950799942,-5.610793169853423,-2.9458158026754973
18000,0.021201588213443756,0.005451679229736328,-8.340616197509623e-06,-5.569667580292987e-06,0.9964005157385015,0.8510637456794008,0.002866830093554762,0.000541017531897281,0.000700310051919506,1.0,1.0,0.021201588213443756,0.004962464794516563,0.00369025650434196,20704.48043868501,19506.113695233384,-13465.345914125443,13418.885012686253,-51.6451849937439,-5.826352810450771,-3.2286825471310294
19000,0.021401995792984962,0.005456036422401667,-9.174862089642285e-06,-6.911708390651559e-06,0.9998079855010173,0.8730211662850849,0.0029252722903972406,0.0004621390684935722,0.000569052609105225,1.0,1.0,0.021401995792984962,0.004940828774124384,0.0036975012626498938,19927.97470991467,20277.140863716962,-14242.055982112885,14189.615898609161,-59.05349636077881,-6.030692027554323,-3.5249651078011084
