t,x_vol,x_cross
250,42.33397498497596,40.0
500,43.11902481470352,41.0
750,43.86121231470352,41.0
1000,44.52275202824519,42.0
1250,45.12261493389423,43.0
1500,45.65734550280449,43.0
1750,46.20462740384615,44.0
2000,46.83834760616987,44.0
2250,47.59328988882211,45.0
2500,48.36707481971154,46.0
2750,49.12889685997596,47.0
3000,49.87459935897436,47.0
3250,50.604320037059296,48.0
3500,51.32599346454327,49.0
3750,52.0474603114984,50.0
4000,52.78575095152244,50.0
4250,53.52842673277244,51.0
4500,54.274576822916664,52.0
4750,55.01624787159455,53.0
5000,55.75858874198718,53.0
5250,56.49539575821314,54.0
5500,57.23604955428686,55.0
5750,57.97456555488782,56.0
6000,58.716856345152245,56.0
6250,59.45689978966346,57.0
6500,60.19951923076923,58.0
6750,60.94093987880609,58.0
7000,61.6827392578125,59.0
7250,62.42329289362981,60.0
7500,63.16500150240385,61.0
7750,63.90765850360577,61.0
8000,64.64785531850961,62.0
8250,65.39015549879808,63.0
8500,66.13179211738782,64.0
8750,66.87562600160257,64.0
9000,67.61529071514423,65.0
9250,68.35789137620192,66.0
9500,69.1003668369391,67.0
9750,69.84420072115384,67.0
10000,70.58433493589743,68.0
10250,71.32705453725961,69.0
10500,72.07050030048077,70.0
10750,72.81395232371796,70.0
11000,73.5546624599359,71.0
11250,74.29783904246796,72.0
11500,75.04203600761218,73.0
11750,75.78450520833334,73.0
12000,76.5250713641827,74.0
12250,77.26969401041667,75.0
12500,78.0143291766827,76.0
12750,78.75631635616988,76.0
13000,79.4965319511218,77.0
13250,80.24280098157051,78.0
13500,80.9875989082532,79.0
13750,81.72971754807692,79.0
14000,82.47046524439102,80.0
14250,83.21729767628206,81.0
14500,83.96185146233974,81.0
14750,84.70424554286859,82.0
15000,85.44586338141026,83.0
15250,86.1933343349359,84.0
15500,86.93729967948718,84.0
15750,87.6796123798077,85.0
16000,88.4224133613782,86.0
16250,89.17027869591347,87.0
16500,89.91416892027243,87.0
16750,90.65585561899039,88.0
17000,91.4004407051282,89.0
17250,92.14815579927884,90.0
17500,92.8921649639423,90.0
17750,93.63343224158653,91.0
18000,94.37908153044872,92.0
18250,95.12694686498398,93.0
18500,95.87137545072116,93.0
18750,96.61251126802884,94.0
19000,97.35936247996794,95.0
19250,98.10696489383012,96.0
19500,98.85150615985577,96.0
19750,99.5930676582532,97.0
20000,100.3409893329327,98.0
20250,101.08795948517628,99.0
20500,101.83257587139423,99.0
20750,102.57475085136218,100.0
