t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.023697366937994957,0.002720979042351246,-1.0577939889012489e-05,-1.5330167218337233e-06,0.9181356388304442,0.0961695291880833,0.003176709772443609,0.00016184265122698438,0.0020167402982866345,1.0,1.0,0.019974712282419205,0.002544916234910488,0.0039932760410010815,70935.15944096555,6463.548556775372,-45.400789856910706,379.45335668325424,332.41402900218964,-0.5602308224624721,-0.09520009211792058
2000,0.02200370468199253,0.003259896067902446,-9.129660048352204e-06,-4.903209161630875e-06,0.9999101951227002,0.9646151479959586,0.0030479701302891793,0.0003407690834250632,0.00025899986837746303,1.0,1.0,0.018894290551543236,0.0028867078945040703,0.0036769125144928694,70451.06206324337,6827.34450757374,-530.1892272233963,743.1720733046532,209.23080629110336,-1.2512904667673865,-0.17243426908680703
3000,0.022006211802363396,0.0033398314844816923,-6.039576096972148e-06,-2.674798276971047e-06,0.9999513454243675,0.7304857501873052,0.003046165214358132,0.00033066535924936025,0.001334959810430858,1.0,1.0,0.018884187564253807,0.002965786727145314,0.003712276928126812,70009.09036046702,7304.390062131017,-972.7632826566696,1220.1211420297623,243.06150257587433,-1.8536431236861972,-0.26892010125447996
4000,0.022454308345913887,0.0033627150114625692,-7.557156293292183e-06,-3.8060812867259923e-06,0.999289319790877,0.8844407208555259,0.0031174059310159485,0.0003303144721017448,0.0008489389118611079,1.0,1.0,0.0187534186989069,0.0029789453838020563,0.003865344449877739,69536.04242217739,7759.459601690443,-1446.468795657158,1675.1119787693024,224.45635783672333,-2.511217834544368,-0.34762292114101
5000,0.022607846185564995,0.003366206306964159,-5.927478146352153e-06,-3.7058570327623186e-06,0.960744485855402,0.8803329063975831,0.003093761273188944,0.00035316223262721325,0.0009023686157078048,1.0,1.0,0.018626011908054352,0.002980851801112294,0.003878489602357149,69070.9668286519,8224.072613038386,-1912.2087025642395,2139.643282711506,223.68841695785522,-3.175531216140371,-0.42933032688051753
6000,0.02282112091779709,0.0033694442827254534,-4.235211681069412e-06,-4.041063434938359e-06,0.9856731698326555,0.8983457445292821,0.003046032397203635,0.0003727520400610418,0.0007612577800547027,1.0,1.0,0.018503345549106598,0.002988985739648342,0.0039093634113669395,68602.62884658585,8685.99282568962,-2381.2211347818375,2601.4764322042465,217.09657984972,-3.8499813676899066,-0.5163934853735554
7000,0.022990109398961067,0.0033709476701915264,-5.454213463050737e-06,-3.882878046619502e-06,0.9997403443787336,0.9204350351222848,0.0030615106608388176,0.0003347074058498434,0.0008230421180829284,1.0,1.0,0.01841493882238865,0.002992797177284956,0.003960014786571264,68135.06651433068,9149.191842260456,-2849.4580359458923,3064.5827710032463,212.62769663333893,-4.52455027657561,-0.6090712572095072
8000,0.023142769932746887,0.0033715437166392803,-6.991254295256893e-06,-3.207943098431726e-06,0.9687895424524514,0.9163691552612093,0.0030743257039313465,0.0002833621214524129,0.0010884057849959161,1.0,1.0,0.018601374700665474,0.0029976654332131147,0.0039911274798214436,67667.02855439823,9612.316486035184,-3318.173069000244,3527.613067448139,207.6298090815544,-5.201623398475931,-0.7034185870452347
9000,0.02330467663705349,0.003372114384546876,-7.832253521137335e-06,-2.647237105165522e-06,0.964394851253009,0.8320986547971928,0.0030775507692885062,0.00024139971444103736,0.0013113062158093824,1.0,1.0,0.01896241307258606,0.0029932751785963774,0.003949359524995089,67198.99455913878,10075.380779012488,-3786.884345293045,3990.5822827219963,202.57273560762405,-5.878904431825504,-0.7984962904920394
10000,0.02344314381480217,0.003372526029124856,-7.054982657099528e-06,-1.390868011006314e-06,0.874593863020418,0.4958226690850456,0.003029650328491118,0.0002469051888282503,0.001807146146229066,1.0,1.0,0.019353734329342842,0.0029882905073463917,0.003947118762880564,66730.81443184814,10538.47076663858,-4255.740641593933,4453.575312793255,197.3818741440773,-6.555073442068533,-0.8954538453253917
11000,0.023563086986541748,0.003373184008523822,-5.743451376645323e-06,-2.2725864527702063e-06,0.7550986008357411,0.30671481681785073,0.0030149320995451756,0.0002774396934506762,0.0014603979978543569,1.0,1.0,0.01970258168876171,0.0029996612574905157,0.003968946170061827,66262.52751944069,11001.70754166862,-4724.704712867737,4916.7121849656105,192.20902919769287,-7.232232308422681,-0.9953567030097474
