t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.02369649149477482,0.002721352968364954,1,"[12, 40]","[52, 486]",8,-7.229844402857366e-06,-4.92779497451058e-06,0.8667249114758617,0.9320494226049136,0.003356081939684119,0.003356081939684119,0.003364003579176822,0.00020441412925720215,0.0007604062557220459,1.0,1.0,0.019972380250692368,0.003993319347500801,70935.15983283767,6463.623705387582,-45.401087284088135,379.5283551812172,332.4863611459732,-0.5609201217594091,-0.0953502063648557
2000,0.022003348916769028,0.0032597908284515142,1,"[12, 42]","[54, 486]",8,-9.50576731307545e-06,-4.9062988491453605e-06,0.9980849141290588,0.9968332913219932,0.002993756668407177,0.002993756668407177,0.0029963537708294075,0.0003375709056854248,0.00019428133964538574,1.0,1.0,0.018893780186772346,0.0036768463905900717,70451.00192965392,6827.349044243844,-530.2508910894394,743.1762937903404,209.17565208673477,-1.252820743364282,-0.17275045350379514
3000,0.0220057163387537,0.0033397444058209658,1,"[12, 45]","[57, 486]",8,-6.440459167894382e-06,-5.294543557158785e-06,0.9943321109357811,0.9972267778086168,0.003161713536940003,0.003161713536940003,0.0031694470947933873,0.00032711029052734375,0.00029975175857543945,1.0,1.0,0.018884245306253433,0.003712162608280778,70009.07503472532,7304.416202970415,-972.7825014591217,1220.1464866995811,243.07212603092194,-1.8575361844414147,-0.2697162708336691
4000,0.02245326340198517,0.0033627573866397142,1,"[12, 48]","[60, 486]",8,-7.3705170605645725e-06,-5.293360266512668e-06,0.9992972385860774,0.9987182570911433,0.003142413018249579,0.003142413018249579,0.0031480819484350775,0.000332564115524292,0.00023612380027770996,1.0,1.0,0.018753815442323685,0.003865185659378767,69536.01965720768,7759.504524261177,-1446.500391960144,1675.1566339731216,224.48003101348877,-2.5200491678260732,-0.34789028805516864
5000,0.02260684221982956,0.003366234479472041,1,"[12, 51]","[63, 486]",8,-5.950504227690465e-06,-5.320918430725374e-06,0.9756716323739492,0.9985922041978473,0.0031339189081115437,0.0031339189081115437,0.0031400156773628285,0.00034874677658081055,0.00025275349617004395,1.0,1.0,0.01863313466310501,0.003878624876961112,69070.93812015027,8224.119279085717,-1912.2500458955765,2139.687335193157,223.7038066983223,-3.188166045845719,-0.4319438925595023
6000,0.022820593789219856,0.003369522513821721,1,"[12, 54]","[66, 486]",8,-5.028814079799954e-06,-5.311456557756554e-06,0.9769248458875944,0.9985172214914443,0.003097148695060503,0.003097148695060503,0.003102865348596162,0.0003598630428314209,0.00024822354316711426,1.0,1.0,0.018512027338147163,0.003907940816134214,68602.60078922559,8686.048982730654,-2381.264970302582,2601.527921319008,217.12015837430954,-3.865759528169292,-0.5210614116458601
7000,0.022989924997091293,0.003371017286553979,1,"[12, 57]","[69, 486]",8,-5.812956724557575e-06,-5.30989759746321e-06,0.9950805020143652,0.9983545740058927,0.003104157106938621,0.003104157106938621,0.003109785256020181,0.00032782554626464844,0.00025138258934020996,1.0,1.0,0.01841581240296364,0.003960119094699621,68135.02005939936,9149.28363099668,-2849.5199031829834,3064.6691536307335,212.66882991790771,-4.53996258234838,-0.6144773659470957
8000,0.023142123594880104,0.0033714345190674067,1,"[12, 60]","[72, 486]",8,-6.9546786226312185e-06,-5.301999605963163e-06,0.9843009625719489,0.9981430799289497,0.003115064050027705,0.003115064050027705,0.0031206515726165396,0.0002817809581756592,0.0002523362636566162,1.0,1.0,0.018598785623908043,0.003990973345935345,67666.97194717286,9612.387807154915,-3318.2433700561523,3527.6787071228027,207.6408184170723,-5.215317229012726,-0.7091000321124739
9000,0.023303888738155365,0.00337198399938643,1,"[12, 63]","[75, 486]",8,-6.462384133313737e-06,-5.2995800640037606e-06,0.9546553316171337,0.9979468012000732,0.003094707952347675,0.003094707952347675,0.003099106829022258,0.0002827942371368408,0.00025346875190734863,1.0,1.0,0.018960164859890938,0.003949255682528019,67198.96337125817,10075.446178713564,-3786.9315021038055,3990.6422100663185,202.60248285531998,-5.894873361976352,-0.8039686472457106
10000,0.023442551493644714,0.003372549545019865,1,"[12, 66]","[78, 486]",8,-5.943819025662409e-06,-5.296364115185773e-06,0.9200325458477469,0.997883527239959,0.00307614169795678,0.00307614169795678,0.0030803572936773937,0.0002905726432800293,0.0002543628215789795,1.0,1.0,0.0193526241928339,0.003946295473724604,66730.79761561801,10538.520469965737,-4255.772149682045,4453.6194388866425,197.41143649816513,-6.569765300053405,-0.9010310790945368
11000,0.023563247174024582,0.003373014274984598,1,"[12, 69]","[81, 486]",8,-5.438008208273338e-06,-5.2907116328735695e-06,0.9010639921572661,0.9978476936924764,0.003057224807346881,0.003057224807346881,0.0030611781202947164,0.00030094385147094727,0.000255584716796875,1.0,1.0,0.01970132812857628,0.003968941979110241,66262.51149601021,11001.736366794925,-4724.73514175415,4916.735528349876,192.220661342144,-7.246637764357729,-1.00083844504843
12000,0.023640885949134827,0.0033737095072865486,1,"[12, 72]","[84, 486]",8,-4.870701445642954e-06,-5.284297898002955e-06,0.9074334001754164,0.9977497498433858,0.003034133688722629,0.003034133688722629,0.0030380367673333297,0.00031432509422302246,0.0002567768096923828,1.0,1.0,0.020048948004841805,0.00401358911767602,65794.07565755583,11465.049155319863,-5193.843011260033,5379.945710241795,186.956194460392,-7.918668815866113,-1.1034450780680345
13000,0.02373431995511055,0.0033734445460140705,1,"[12, 75]","[87, 486]",8,-4.311082183674256e-06,-5.279521626718932e-06,0.8887995647685442,0.9977000384807095,0.0030094588214137907,0.0030094588214137907,0.0030133934371706084,0.0003286898136138916,0.0002575218677520752,1.0,1.0,0.02032167837023735,0.0039254166185855865,65325.48056352454,11928.515112175932,-5663.104691982269,5843.305035054684,181.6604900956154,-8.585255506812246,-1.210077121248105
