t,x_vol,x_cross
250,42.33397185496795,40.0
500,43.119087414863785,41.0
750,43.87401091746795,41.0
1000,44.75246957632211,42.0
1250,45.86667104867789,43.0
1500,47.05812111879006,45.0
1750,48.21543845152244,46.0
2000,49.39354529747596,47.0
2250,50.61519994491186,48.0
2500,51.8358154296875,49.0
2750,53.05081255008013,51.0
3000,54.27139673477564,52.0
3250,55.49690129206731,53.0
3500,56.718818860176285,54.0
3750,57.94417943709936,56.0
4000,59.17149313902244,57.0
4250,60.39973332331731,58.0
4500,61.62355393629808,59.0
4750,62.849556164863785,60.0
5000,64.08007499499199,62.0
5250,65.30901317107372,63.0
5500,66.53640825320514,64.0
5750,67.76044170673077,65.0
6000,68.99158653846155,67.0
6250,70.22246844951923,68.0
6500,71.45263671875,69.0
6750,72.67952473958334,70.0
7000,73.90922350761218,71.0
7250,75.14142002203525,73.0
7500,76.37322215544872,74.0
7750,77.60320888421474,75.0
8000,78.83210011017628,76.0
8250,80.06484124599359,78.0
8500,81.29731946113782,79.0
8750,82.52909029447116,80.0
9000,83.75893304286859,81.0
9250,84.9921123798077,83.0
9500,86.22491611578526,84.0
9750,87.45859625400641,85.0
10000,88.6899914863782,86.0
10250,89.9240472255609,88.0
10500,91.15689478165064,89.0
10750,92.39107572115384,90.0
11000,93.6247808994391,91.0
11250,94.85854867788461,92.0
11500,96.09390650040064,94.0
11750,97.3274426582532,95.0
12000,98.56238731971153,96.0
12250,99.7957043770032,97.0
12500,101.0326397235577,99.0
12750,102.26771584535257,100.0
13000,103.50347430889423,101.0
13250,104.73744240785257,102.0
13500,105.97451547475961,104.0
13750,107.21139448116988,105.0
14000,108.4480230869391,106.0
14250,109.68277994791667,107.0
14500,110.92014723557692,109.0
14750,112.15848482572116,110.0
15000,113.39654697516026,111.0
15250,114.63199243790064,112.0
15500,115.86870868389423,113.0
15750,117.10897435897436,115.0
16000,118.34779397035257,116.0
16250,119.5843975360577,117.0
16500,120.82011217948718,118.0
16750,122.06138571714743,120.0
17000,123.30130709134616,121.0
17250,124.53988882211539,122.0
17500,125.7748773036859,123.0
17750,127.01651392227564,125.0
18000,128.2574494190705,126.0
18250,129.49747095352564,127.0
18500,130.73388671875,128.0
18750,131.97478465544873,130.0
19000,133.21613331330127,131.0
19250,134.4569060496795,132.0
19500,135.6951872996795,133.0
19750,136.93611027644232,135.0
20000,138.1777844551282,136.0
20250,139.4194836738782,137.0
20500,140.65944260817307,138.0
20750,141.90107922676282,139.0
21000,143.14305388621796,141.0
21250,144.38495342548077,142.0
21500,145.62655248397436,143.0
21750,146.86836438301282,144.0
22000,148.11145332532053,146.0
22250,149.35305238381412,147.0
22500,150.59591596554486,148.0
22750,151.83762770432693,149.0
23000,153.08170572916666,151.0
23250,154.32396834935898,152.0
23500,155.56739533253204,153.0
23750,156.80911959134616,154.0
24000,158.05421173878204,156.0
24250,159.29776392227564,157.0
24500,160.54166666666666,158.0
24750,161.78306540464743,159.0
25000,163.02825771233975,161.0
25250,164.27307441907053,162.0
25500,165.51740284455127,163.0
25750,166.75876402243588,164.0
26000,168.00399389022436,166.0
26250,169.2499499198718,167.0
26500,170.49507962740384,168.0
26750,171.7364282852564,169.0
27000,172.98185847355768,171.0
27250,174.22862830528845,172.0
27500,175.47472205528845,173.0
27750,176.71639623397436,174.0
28000,177.96240234375,176.0
28250,179.20968549679486,177.0
28500,180.45633012820514,178.0
28750,181.69861778846155,179.0
29000,182.9452624198718,181.0
29250,184.19275841346155,182.0
29500,185.43965344551282,183.0
29750,186.68304286858975,184.0
30000,187.93001302083334,186.0
30250,189.17779697516025,187.0
30500,190.42472956730768,188.0
30750,191.66922075320514,189.0
31000,192.91642878605768,190.0
31250,194.16431290064102,192.0
31500,195.41124549278845,193.0
31750,196.65713892227564,194.0
32000,197.90455979567307,195.0
32250,199.15246895032053,197.0
32500,200.39935146233975,198.0
32750,201.6465845352564,199.0
33000,202.89406800881412,200.0
33250,204.14216496394232,202.0
33500,205.38909755608975,203.0
33750,206.63720703125,204.0
34000,207.88475310496796,205.0
34250,209.13310046073718,207.0
34500,210.38068409455127,208.0
34750,211.62866836939102,209.0
35000,212.87571364182693,210.0
35250,214.12409855769232,212.0
35500,215.37248347355768,213.0
35750,216.61986678685898,214.0
36000,217.8660606971154,215.0
36250,219.11453325320514,217.0
36500,220.36321864983975,218.0
36750,221.61033904246796,219.0
37000,222.85524338942307,220.0
37250,224.10359074519232,222.0
37500,225.35121193910257,223.0
37750,226.59610376602564,224.0
38000,227.8379407051282,225.0
38250,229.08390925480768,227.0
38500,230.32707331730768,228.0
38750,231.56658153044873,229.0
39000,232.80053084935898,230.0
39250,234.03878705929486,232.0
39500,235.27248597756412,233.0
39750,236.5008764022436,234.0
40000,237.72115384615384,235.0
40250,238.94298377403845,237.0
